product_ndc	text
0031-8735	ACTIVE INGREDIENTS (IN EACH 5 ML TSP) Acetaminophen, USP 160 mg Diphenhydramine HCl, USP 6.25 mg Phenylephrine HCl, USP 2.5 mg
0031-8736	Active ingredients (in each 10 ml) Purposes Dextromethorphan HBr, USP 20 mg Cough suppressant Guaifenesin, USP 200 mg Expectorant
0031-8737	Active ingredients (in each 10 ml) Purposes Dextromethorphan HBr, USP 20 mg Cough suppressant Guaifenesin, USP 200 mg Expectorant
0031-8738	ACTIVE INGREDIENTS (IN EACH 5 ML TSP) Dextromethorphan HBr, USP 10 mg Guaifenesin, USP 200 mg
0031-8740	ACTIVE INGREDIENT (IN EACH 5 ML TSP) Dextromethorphan HBr, USP 15 mg
0031-8741	Active ingredient (in each liquid-filled capsule) Dextromethorphan HBr, USP 15 mg
0031-8742	Active ingredients (in each 10 ml) Purposes Dextromethorphan HBr, USP 20 mg Cough suppressant Guaifenesin, USP 200 mg Expectorant Phenylephrine HCl, USP 10 mg Nasal decongestant
0037-6823	Active ingredient Pramoxine hydrochloride 1%
0054-3117	Active ingredient Each 5 mL delivers 1250 mg calcium carbonate (equivalent to 500 mg elemental calcium).
0054-3567	Active ingredient per 10 mL Magnesium hydroxide 2400 mg
0054-4120	Active ingredient Each 5 mL delivers 1250 mg calcium carbonate (equivalent to 500 mg elemental calcium).
0054-8120	Active ingredient Each 5 mL delivers 1250 mg calcium carbonate (equivalent to 500 mg elemental calcium).
0064-0300	Active Ingredient Dimethicone 1% w/w
0064-0850	Active Ingredient Dimethicone 1% w/w
0064-1011	Active Ingredient Ethyl Alcohol 73% w/w
0064-1030	Active ingredient Ethyl alcohol 70% v/v
0064-1040	Active Ingredient Ethyl Alcohol 61% w/w
0064-1050	Active ingredient Ethyl alcohol 70% v/v
0064-1080	Active ingredient Ethyl alcohol 70% w/w
0065-0085	OTC - ACTIVE INGREDIENT SECTION Naphazoline Hydrochloride 0.025% Pheniramine Maleate 0.3%
0065-0333	OTC - ACTIVE INGREDIENT SECTION Ketotifen (0.025%) (equivalent to ketotifen fumarate 0.035%)
0065-0416	OTC - ACTIVE INGREDIENT SECTION Dextran 70 0.1% Hypromellose 2910 0.3%
0065-0418	OTC - ACTIVE INGREDIENT SECTION Dextran 70 0.1% Hypromellose 2910 0.3%
0065-0419	OTC - ACTIVE INGREDIENT SECTION Dextran 70 0.1% Hypromellose 2910 0.3%
0065-0426	OTC - ACTIVE INGREDIENT SECTION Active Ingredients Dextran 70 0.1% Glycerin 0.2% Hypromellose 0.3%
0065-0429	OTC - ACTIVE INGREDIENT SECTION Polyethylene Glycol 400 0.4% Propylene Glycol 0.3%
0065-0431	Active Ingredients Polyethylene Glycol 400 0.4% . . . . . . . . . . . Lubricant Propylene Glycol 0.3%. . . . . . . . . . . . . . . . . . Lubricant
0065-0454	OTC - ACTIVE INGREDIENT SECTION Polyethylene Glycol 400 0.4% Propylene Glycol 0.3%
0065-0474	OTC - ACTIVE INGREDIENT SECTION Hypromellose (0.3%)
0065-0509	OTC - ACTIVE INGREDIENT SECTION Mineral Oil 3% White Petrolatum 94%
0065-0530	OTC - ACTIVE INGREDIENT SECTION Purified Water
0065-1431	OTC - ACTIVE INGREDIENT SECTION Polyethylene Glycol 400 0.4% Propylene Glycol 0.3%
0065-1432	Active Ingredients Polyethylene Glycol 400 0.4% . . . . . . . . . . . Lubricant Propylene Glycol 0.3%. . . . . . . . . . . . . . . . . . Lubricant
0065-1433	Active Ingredient Propylene Glycol 0.6%
0065-4011	OTC - ACTIVE INGREDIENT SECTION Ketotifen (0.025%) (equivalent to ketotifen fumarate 0.035%)
0067-0003	Active ingredient Sennosides, USP, 15 mg
0067-0005	Active ingredient Sennosides, 15 mg
0067-0016	Active ingredient Sennosides, USP, 25 mg
0067-0113	Active ingredient Simethicone 80 mg ……………………………..……………..………………………………..
0067-0116	Active ingredient Simethicone 80 mg ……………………………..……………..………………………………..
0067-0117	Active ingredient Simethicone 125 mg
0067-0129	Active ingredient Simethicone 125 mg
0067-0134	Active ingredient Simethicone 125mg
0067-0143	Active ingredient Buffered aspirin equal to 500 mg aspirin (NSAID)* (buffered with aluminum hydroxide, calcium carbonate, and magnesium hydroxide) *nonsteroidal anti-inflammatory drug
0067-0149	Active ingredient (in each tablet) Buffered aspirin equal to 325 mg aspirin (NSAID)* (buffered with aluminum hydroxide, calcium carbonate, and magnesium hydroxide) *nonsteroidal anti-inflammatory drug
0067-0949	Active ingredient Miconazole nitrate 2%
0067-0959	Active ingredient Miconazole nitrate 2%
0067-0969	Active ingredient Miconazole nitrate 2%
0067-1170	Active ingredient Trolamine salicylate
0067-1190	Active ingredient Clemastine fumarate, USP 1.34 mg (equivalent to 1 mg clemastine)
0067-2000	Active ingredient (in each caplet) Acetaminophen 250 mg Aspirin 250 mg (NSAID*) Caffeine 65 mg *nonsteroidal anti-inflammatory drug
0067-2021	Active ingredients (in each geltab) Acetaminophen 250 mg Aspirin 250 mg (NSAID)* Caffeine 65 mg *nonsteroidal anti-infammatory drug
0067-2030	Active ingredient (in each tablet) Acetaminophen 250 mg Aspirin 250 mg (NSAID)* Caffeine 65 mg *nonsteroidal anti-inflammatory drug
0067-2035	Active ingredients (in each geltab) Acetaminophen 250 mg Aspirin 250 mg (NSAID)* Caffeine 65 mg *nonsteroidal anti-inflammatory drug
0067-2037	Active ingredient Acetaminophen 250 mg Aspirin 250 mg (NSAID) * Caffeine 65 mg * nonsteroidal anti-inflammatory drug
0067-2039	Active ingredient Acetaminophen 250 mg Aspirin 250 mg (NSAID) * Caffeine 65 mg * nonsteroidal anti-inflammatory drug
0067-2045	Active ingredient Acetaminophen 500 mg Caffeine 65 mg
0067-2053	Active ingredient in each tablet Acetaminophen 500 mg Diphenhydramine citrate 38 mg
0067-2055	Active ingredient Acetaminophen 500 mg Diphenhydramine citrate 38 mg
0067-2067	Active ingredient Menthol 2%
0067-2070	Active ingredient (in each caplet) Caffeine 200 mg
0067-2077	Active ingredient Acetaminophen 325 mg Dextromethorphan HBr 10 mg Phenylephrine HCl 5 mg
0067-2083	Active ingredient Acetaminophen 325 mg Chlorpheniramine maleate 2 mg* Phenylephrine HCl 5 mg * antihistamine in nighttime dose only
0067-2086	Active ingredient Phenylephrine hydrochloride 1%
0067-2090	Active ingredient (in each applicator) Tioconazole 300 mg (6.5%)
0067-2091	Active ingredients Miconazole nitrate (200 mg in each suppository) Miconazole nitrate 2% (external cream)
0067-2094	Active ingredient Xylometazoline Hydrochloride
0067-3998	Active ingredient Terbinafine hydrochloride
0067-3999	Active ingredient Terbinafine hydrochloride
0067-4000	Active ingredient Terbinafine hydrochloride
0067-4850	Active ingredient Nicotine, 7mg delivered over 24 hours
0067-4860	Active ingredient Nicotine, 14mg delivered over 24 hours
0067-4870	Active ingredient Nicotine, 21mg delivered over 24 hours
0067-4990	Active Ingredient Step 3 Nicotine, 7 mg delivered over 24 hours
0067-4990	Active ingredient Step 1 Nicotine, 21 mg delivered over 24 hours
0067-4990	Active Ingredient Step 2 Nicotine, 14 mg delivered over 24 hours
0067-5000	Active ingredient Step 1 Nicotine, 21 mg delivered over 24 hours Active ingredient Step 2 Nicotine, 14 mg delivered over 24 hours Active ingredient Step 3 Nicotine, 7 mg delivered over 24 hours
0067-5010	Active ingredient Step 1 Nicotine, 21 mg delivered over 24 hours Active ingredient Step 2 Nicotine, 14 mg delivered over 24 hours Active ingredient Step 3 Nicotine, 7 mg delivered over 24 hours
0067-5020	Active ingredient Step 1 Nicotine, 21 mg delivered over 24 hours Active ingredient Step 2 Nicotine, 14 mg delivered over 24 hours Active ingredient Step 3 Nicotine, 7 mg delivered over 24 hours
0067-5050	Active ingredient Step 1 Nicotine, 21 mg delivered over 24 hours
0067-5070	Active ingredient Step 1 Nicotine, 21 mg delivered over 24 hours
0067-5070	Active Ingredient Step 3 Nicotine, 7 mg delivered over 24 hours
0067-5070	Active Ingredient Step 2 Nicotine, 14 mg delivered over 24 hours
0067-5080	Active Ingredient Step 3 Nicotine, 7 mg delivered over 24 hours
0067-5080	Active Ingredient Step 2 Nicotine, 14 mg delivered over 24 hours
0067-5080	Active ingredient Step 1 Nicotine, 21 mg delivered over 24 hours
0067-5124	Active ingredient Nicotine, 7 mg delivered over 24 hours
0067-5125	Active ingredient Nicotine, 14 mg delivered over 24 hours
0067-5126	Active ingredient Nicotine, 21 mg delivered over 24 hours
0067-6012	Active ingredient Step 2 Nicotine, 14 mg delivered over 24 hours
0067-6025	Active ingredient Sennosides, USP, 15 mg
0067-6045	Active ingredient Nicotine, 21 mg delivered over 24 hours Nicotine, 14 mg delivered over 24 hours Nicotine, 7 mg delivered over 24 hours
0067-6046	Active ingredient Step 3 Nicotine, 7 mg delivered over 24 hours
0067-6066	Active ingredient loratadine 10mg
0067-6070	Active ingredient Loratadine 10 mg
0067-6114	Active ingredient Tolnaftate 1%
0067-6117	Active ingredient Loratadine 10 mg
0067-6122	Active ingredient loratadine 10mg
0067-6128	Active ingredient Step 1 Nicotine, 21 mg delivered over 24 hours Active ingredient Step 2 Nicotine, 14 mg delivered over 24 hours Active ingredient Step 3 Nicotine, 7 mg delivered over 24 hours
0067-6129	Active ingredient Step 1 Nicotine, 21 mg delivered over 24 hours Active ingredient Step 2 Nicotine, 14 mg delivered over 24 hours Active ingredient Step 3 Nicotine, 7 mg delivered over 24 hours
0067-6130	Active ingredient Step 1 Nicotine, 21 mg delivered over 24 hours Active ingredient Step 2 Nicotine, 14 mg delivered over 24 hours Active ingredient Step 3 Nicotine, 7 mg delivered over 24 hours
0067-6171	Active ingredient Terbinafine hydrochloride
0067-6238	Active ingredient Acetaminophen 250 Buffered aspirin equal to 250 mg aspirin (NSAID)* (buffered with calcium carbonate) *nonsteroidal anti-inflammatory drug
0067-6239	Active ingredient Terbinafine1%
0067-6266	Active ingredient Tolnaftate
0067-6274	Active ingredient Simethicone
0067-6275	Active ingredient Simethicone 125mg
0067-6280	Active ingredient (in each 5mL = 1 teaspoonful) Aluminum Hydroxide (equiv. to dried gel, USP) 400 mg Magnesium Hydroxide 400 mg Simethicone 40 mg
0067-6281	Active ingredients (in each 5 mL = 1 teaspoonful) Aluminum hydroxide (equiv. to dried gel, USP) 200 mg Magnesium hydroxide 200 mg Simethicone 20 mg
0067-6282	Active ingredient (in each 5mL = 1 teaspoonful) Aluminum Hydroxide (equiv. to dried gel, USP) 400 mg Magnesium Hydroxide 400 mg Simethicone 40 mg
0067-6286	Active ingredient Lansoprazole 15mg
0067-6290	Active ingredient (in each 5mL = 1 teaspoonful) Aluminum Hydroxide (equiv. to dried gel, USP) 400 mg Magnesium Hydroxide 400 mg Simethicone 40 mg
0067-6291	Active ingredient Calcium carbonate 1000 mg Simethicone 60 mg
0067-6292	Active ingredient Terbinafine hydrochloride
0067-6293	Active ingredient Terbinafine hydrochloride
0067-6318	Active ingredient Acetaminophen, 650 mg Diphenhydramine hydrochloride, 25 mg phenylephrine hydrochloride, 10 mg
0067-6319	Active ingredient Acetaminophen, 325 mg Pheniramine maleate, 20 mg Phenylephrine hydrochloride, 10 mg
0067-6341	Active ingredient Active ingredients (in each gelcap) Acetaminophen 250 mg Aspirin 250 mg (NSAID)* Caffeine 65 mg *nonsteroidal anti-inflammatory drug
0067-6344	Active ingredient Diphenhydramine HCl 6.25 mg Phenylephrine HCl 2.5
0067-6345	Active ingredient (in each 5 mL, 1 teaspoonful) Dextromethorphan HBr 5 mg Phenylephrine HCl 2.5 mg
0067-6346	Active ingredient Chlorpheniramine maleate 1 mg Phenylephrine HCl 2.5 mg
0067-6347	Active ingredient (in each 5 mL, 1 teaspoonful) Guaifenesin 50 mg Phenylephrine HCl 2.5 mg
0067-6348	Active ingredients (in each 5 mL = 1 teaspoon) Acetaminophen 160 mg Dextromethorphan HBr 5 mg
0067-6350	Active ingredient Dextromethorphan HBr 7.5 mg
0067-6394	Active ingredient Acetaminophen 160 mg Chlorpheniramine maleate 1mg Dextromethorphan HBr 7.5mg
0067-6395	Active ingredient (in each caplet) Acetaminophen 325 mg Chlorpheniramine maleate 2 mg Dextromethorphan hydrobromide 10 mg Phenylephrine hydrochloride 5 mg
0067-6396	Active ingredient Acetaminophen 325 mg Dextromethorphan HBr 10 mg Phenylephrine HCl 5 mg
0067-6416	Active ingredient Terbinafine hydrochloridel 1%
0067-6424	Active ingredient (in each tablet) Buffered aspirin equal to 81 mg aspirin (NSAID)* (buffered with calcium carbonate, magnesium carbonate and magnesium oxide) *nonsteroidal anti-inflammatory drug
0067-6426	Active ingredient Acetaminophen, 500 mg Dextromethorphan hydrobromide, 20 mg Phenylephrine hydrochloride, 10 mg
0067-6427	Active ingredient (in each packet) Acetaminophen 1000 mg Dextromethorphan HBr 30 mg Guaifenesin 400 mg Pseudoephedrine HCl 60 mg
0067-6431	Active ingredient (in each 5 mL, 1 teaspoonful) Acetaminophen 160 mg
0067-6432	Active ingredient (in each 5 mL, 1 teaspoonful) Acetaminophen 160 mg
0067-6440	Active ingredient (in each 5 mL) Acetaminophen 160 mg
0067-6441	Active ingredient (in each 5 mL) Acetaminophen 160 mg
0067-6716	Active ingredient Acetaminophen, 325 mg Pheniramine maleate, 20 mg Phenylephrine hydrochloride, 10 mg
0067-7916	Active ingredient (in each packet) Acetaminophen, 650 mg Pheniramine maleate, 20 mg Phenylephrine hydrochloride, 10 mg
0067-7918	Active ingredient Acetaminophen, 650 mg Diphenhydramine HCl, 25 mg Phenylephrine HCl, 10 mg
0067-8100	Active ingredient Terbinafine hydrochloride 1%
0067-8103	Active Ingredient Aspirin 250 mg (NSAID*) *nonsteroidal anti-inflammatory drug
0067-8103	Active ingredient Acetaminophen 250 mg
0067-8103	Active Ingredient Caffeine 65 mg
0067-8104	Active ingredients (in each caplet) Acetaminophen 250 mg Aspirin 250 mg (NSAID*) Caffeine 65 mg *nonsteroidal anti-inflammatory drug
0067-8105	Active ingredient (in each 5 mL, 1 teaspoonful) Dextromethorphan HBr 5 mg Phenylephrine HCl 2.5 mg
0067-8106	Active ingredient Diphenhydramine HCl 6.25 mg Phenylephrine HCl 2.5 mg
0067-8114	Active ingredient Terbinafine hydrochloride 1%
0067-8115	Active ingredients (in each 5 mL, 1 teaspoonful) Acetaminophen 160 mg Dextromethorphan HBr 5 mg
0067-8116	Active ingredients (in each 5 mL, 1 teaspoonful) Acetaminophen 160 mg Chlorpheniramine maleate 1 mg Dextromethorphan HBr 5 mg Phenylephrine HCl 2.5 mg
0067-8117	Active ingredient (in each 5 mL teaspoonful) Brompheniramine maleate 1 mg Phenylephrine HCl 2.5 mg
0067-8118	Active ingredients (in each 5 mL, 1 teaspoonful) Dextromethorphan HBr 5 mg Guaifenesin 100 mg
0067-8119	Active ingredient (in each caplet) Acetaminophen 500 mg (formulated with 65 mg caffeine)
0074-3012	7.4 Iron Salts Iron salts or multi-vitamins containing iron salts can form chelates with levodopa, carbidopa, and can cause a reduction in the bioavailability of DUOPA. If iron salts or multi-vitamins containing iron salts are co-administered with DUOPA, monitor patients for worsening Parkinson’s symptoms.
0078-0425	OTC - ACTIVE INGREDIENT SECTION Carboxymethylcellulose sodium (0.25%) Hypromellose (0.3%)
0078-0429	Active ingredient Hypromellose (0.3%)
0078-0473	OTC - ACTIVE INGREDIENT SECTION Mineral oil (15%) White petrolatum (85%)
0078-0476	Active ingredient Ketotifen (0.025%) (equivalent to ketotifen fumarate 0.035%)
0078-0517	OTC - ACTIVE INGREDIENT SECTION Hypromellose (0.2%)
0078-0518	OTC - ACTIVE INGREDIENT SECTION Hypromellose (0.3%)
0078-0519	OTC - ACTIVE INGREDIENT SECTION Polyvinyl alcohol (1%) Polyethylene glycol 400 (1%)
0093-2748	Active ingredient (in each tablet) Famotidine USP, 10 mg
0095-0860	Active ingredient Each green and white, LODRANE D capsule contains: Brompheniramine maleate ............... 4 mg Pseudoephedrine hydrochloride .... 60 mg In an immediate release formulation.
0096-0682	OTC - ACTIVE INGREDIENT SECTION Homosalate Octinoxate Oxybenzone Avobenzone
0096-0685	OTC - ACTIVE INGREDIENT SECTION Homosalate Octinoxate Oxybenzone Avobenzone Octocrylene
0096-0687	OTC - ACTIVE INGREDIENT SECTION Homosalate Octinoxate Oxybenzone Avobenzone
0096-0688	OTC - ACTIVE INGREDIENT SECTION Homosalate Octinoxate Zinc Oxide
0096-0709	OTC - ACTIVE INGREDIENT SECTION Aluminum Chloride Hexahydrate
0096-0736	OTC - ACTIVE INGREDIENT SECTION Coal Tar
0096-0737	Active Ingredient Coal Tar
0096-0741	OTC - ACTIVE INGREDIENT SECTION Octocrylene Ethylhexyl Methoxycinnamate Oxybenzone Avobenzone
0113-0002	Active ingredients (in each 118 mL delivered dose) Dibasic sodium phosphate 7 g Monobasic sodium phosphate 19 g
0113-0008	Active ingredient (in each 0.8 mL) Acetaminophen 80 mg
0113-0013	Active ingredients (in each tablet) Loratadine 5 mg Pseudoephedrine sulfate 120 mg
0113-0014	Active ingredient (in each caplet) Acetaminophen 325 mg Chlorpheniramine maleate 2 mg Dextromethorphan HBr 10 mg Phenylephrine HCl 5 mg
0113-0020	Active ingredient (in each 5 mL = 1 teaspoonful) Acetaminophen 160 mg
0113-0022	Active ingredient (in each tablet) Cimetidine 200 mg
0113-0027	Active ingredient Ketotifen (0.025%) (equivalent to ketotifen fumarate 0.035%)
0113-0029	Active ingredient (in each chewing piece) Nicotine polacrilex (equal to 2 mg nicotine)
0113-0041	Active ingredient (in each 15 mL tablespoon) Acetaminophen 500 mg Dextromethorphan HBr 15 mg Doxylamine succinate 6.25 mg
0113-0046	Active ingredient (in each gelcap) Acetaminophen 500 mg
0113-0047	Active ingredient (in each tablet) Ranitidine 150 mg (as ranitidine hydrochloride 168 mg)
0113-0049	Active ingredient Camphor 4% Menthol 10% Methyl salicylate 30%
0113-0050	Active ingredient (in each caplet) Diphenhydramine citrate 38 mg Ibuprofen 200 mg (NSAID)* *nonsteroidal anti-inflammatory drug
0113-0052	Active ingredient (in each softgel) Diphenhydramine HCl 25 mg
0113-0054	Active ingredient (in each tablet) Pseudoephedrine HCl 120 mg
0113-0056	Active ingredients (in each softgel) Acetaminophen 325 mg Dextromethorphan HBr 15 mg Doxylamine succinate 6.25 mg
0113-0057	Active ingredient (in each 1.25 mL) Ibuprofen 50 mg (NSAID)* *nonsteroidal anti-inflammatory drug
0113-0061	Active ingredient (in each 10 mL) Guaifenesin, USP 200 mg
0113-0065	Active ingredient Oxymetazoline hydrochloride 0.05%
0113-0067	Active ingredient (in each gram) Bacitracin 400 units Neomycin sulfate equivalent to 3.5 mg of neomycin base Polymyxin B 5,000 units as polymyxin B sulfate
0113-0074	Active ingredient (in each tablet) Ibuprofen 200 mg (NSAID)* *nonsteroidal anti-inflammatory drug
0113-0081	Active ingredients Miconazole nitrate (200 mg in each suppository) Miconazole nitrate 2% (external cream)
0113-0083	Active ingredient (in each caplet) Ibuprofen, USP 200 mg (NSAID)* Pseudoephedrine HCl, USP 30 mg *nonsteroidal anti-inflammatory drug
0113-0084	Active ingredients (in each gram) Bacitracin zinc equivalent to 400 units bacitracin Neomycin sulfate equivalent to 3.5 mg of neomycin base Polymyxin B 5,000 units as polymyxin B sulfate
0113-0090	Active ingredients for NIGHTTIME (in each softgel) Acetaminophen 325 mg Dextromethorphan HBr 15 mg Doxylamine succinate 6.25 mg
0113-0090	Active ingredients for DAYTIME (in each softgel) Acetaminophen 325 mg Dextromethorphan HBr 10 mg Phenylephrine HCl 5 mg
0113-0094	Active ingredient (in each tablet) Phenylephrine hydrochloride 10 mg
0113-0096	Active ingredients (in each packet) Acetaminophen 650 mg Dextromethorphan hydrobromide 20 mg Phenylephrine hydrochloride 10 mg
0113-0105	Active ingredient (in each 5 mL = 1 teaspoon) Acetaminophen 160 mg
0113-0110	Active ingredient (in each bottle when mixed with packet) Povidone-iodine 0.3%
0113-0117	Active ingredient (in each capsule) Lansoprazole 15 mg
0113-0130	Active ingredient (in each 5 mL = 1 teaspoon) Acetaminophen 160 mg
0113-0131	Active ingredient (in each capsule) Solubilized ibuprofen equal to 200 mg ibuprofen (NSAID)* (present as the free acid and potassium salt) *nonsteroidal anti-inflammatory drug
0113-0133	Active ingredient (in each packet) Acetaminophen 650 mg Pheniramine maleate 20 mg Phenylephrine hydrochloride 10 mg
0113-0139	Active ingredient (in each tablet) Chlorpheniramine maleate 4 mg Phenylephrine HCl 10 mg
0113-0141	Active ingredient (in each tablet) Famotidine 10 mg
0113-0142	Active ingredient Benzocaine 20% Resorcinol 3%
0113-0145	Active ingredients (in each caplet) Acetaminophen 325 mg Guaifenesin 200 mg Phenylephrine HCl 5 mg
0113-0151	Active ingredient (in each caplet) Diphenhydramine HCl 25 mg
0113-0154	Active ingredient Tolnaftate 1%
0113-0160	Active ingredients (in each suppository) Cocoa butter 85.39% Phenylephrine HCl 0.25%
0113-0161	Active ingredient (in each 5 mL) Acetaminophen 160 mg
0113-0165	Active ingredient (in each tablet) Loratadine 10 mg Pseudoephedrine sulfate 240 mg
0113-0166	Active ingredient (in each 5 mL = 1 teaspoonful) Ibuprofen 100 mg (NSAID)* *nonsteroidal anti-inflammatory drug
0113-0170	Active ingredient (in each chewing piece) Nicotine polacrilex (equal to 4 mg nicotine)
0113-0173	Active ingredient Piperonyl butoxide 4% Pyrethrum extract (equivalent to 0.33% pyrethrins)
0113-0175	Active ingredient (in each 5 mL = 1 teaspoon) Acetaminophen 160 mg
0113-0176	Active ingredient (in each extended release tablet) Cetirizine HCl 5 mg Pseudoephedrine HCl 120 mg
0113-0179	Active ingredient (in each tablet) Calcium carbonate USP 750mg
0113-0186	Active ingredient (in each 30 mL dose cup) Diphenhydramine HCl 50 mg
0113-0187	Active ingredient (in each geltab) Acetaminophen 500 mg
0113-0188	Active ingredients Mineral oil 14% Petrolatum 74.9% Phenylephrine HCl 0.25%
0113-0189	Active ingredient (in each 5 mL teaspoonful) Cetirizine HCl 5 mg
0113-0194	Active ingredient (in each tablet) Famotidine 20 mg
0113-0202	Active ingredient Minoxidil 2% w/v
0113-0206	Active ingredient (in each chewing piece) Nicotine polacrilex (equal to 2 mg nicotine)
0113-0212	Active ingredient (in each 5 mL = 1 teaspoonful) Acetaminophen 160 mg
0113-0214	Active ingredient Miconazole nitrate 2% (100 mg in each applicator)
