product_ndc	class_name
0003-5194	Hydroxymethylglutaryl-coa Reductase Inhibitors
0003-5195	Hydroxymethylglutaryl-coa Reductase Inhibitors
0004-0028	Cyclooxygenase Inhibitors
0004-0038	Dna Polymerase Inhibitors
0004-0039	Dna Polymerase Inhibitors
0004-0244	Hiv Protease Inhibitors
0004-0245	Hiv Protease Inhibitors
0004-0257	Lipase Inhibitors
0004-0800	Neuraminidase Inhibitors
0004-0801	Neuraminidase Inhibitors
0004-0802	Neuraminidase Inhibitors
0004-0820	Neuraminidase Inhibitors
0004-0822	Neuraminidase Inhibitors
0004-6202	Cyclooxygenase Inhibitors
0004-6203	Cyclooxygenase Inhibitors
0004-6313	Cyclooxygenase Inhibitors
0004-6314	Cyclooxygenase Inhibitors
0004-6316	Cyclooxygenase Inhibitors
0004-6415	Cyclooxygenase Inhibitors
0004-6416	Cyclooxygenase Inhibitors
0004-6940	Dna Polymerase Inhibitors
0005-2500	Phosphate Chelating Activity
0006-0071	5-alpha Reductase Inhibitors
0006-0072	5-alpha Reductase Inhibitors
0006-0117	Leukotriene Receptor Antagonists
0006-0275	Leukotriene Receptor Antagonists
0006-0461	Neurokinin 1 Antagonists
0006-0462	Neurokinin 1 Antagonists
0006-0464	Neurokinin 1 Antagonists
0006-0533	Hydroxymethylglutaryl-coa Reductase Inhibitors
0006-0535	Hydroxymethylglutaryl-coa Reductase Inhibitors
0006-0537	Hydroxymethylglutaryl-coa Reductase Inhibitors
0006-0568	Histone Deacetylase Inhibitors
0006-0711	Leukotriene Receptor Antagonists
0006-0717	Angiotensin 2 Receptor Antagonists
0006-0731	Hydroxymethylglutaryl-coa Reductase Inhibitors
0006-0732	Hydroxymethylglutaryl-coa Reductase Inhibitors
0006-0745	Angiotensin 2 Receptor Antagonists
0006-0747	Angiotensin 2 Receptor Antagonists
0006-0753	Hydroxymethylglutaryl-coa Reductase Inhibitors
0006-0757	Hydroxymethylglutaryl-coa Reductase Inhibitors
0006-0773	Hydroxymethylglutaryl-coa Reductase Inhibitors
0006-0951	Angiotensin 2 Receptor Antagonists
0006-0952	Angiotensin 2 Receptor Antagonists
0006-0960	Angiotensin 2 Receptor Antagonists
0006-1711	Leukotriene Receptor Antagonists
0006-3514	Dipeptidase Inhibitors
0006-3516	Dipeptidase Inhibitors
0006-3519	Carbonic Anhydrase Inhibitors
0006-3551	Dipeptidase Inhibitors
0006-3552	Dipeptidase Inhibitors
0006-3628	Carbonic Anhydrase Inhibitors
0006-3629	Carbonic Anhydrase Inhibitors
0006-3841	Leukotriene Receptor Antagonists
0006-3862	Neurokinin 1 Antagonists
0006-3884	Neurokinin 1 Antagonists
0006-3915	Dopa Decarboxylase Inhibitors
0006-3916	Dopa Decarboxylase Inhibitors
0006-3917	Dopa Decarboxylase Inhibitors
0006-3918	Dopa Decarboxylase Inhibitors
0006-3919	Dopa Decarboxylase Inhibitors
0006-3931	Prostaglandin Receptor Agonists
0006-3941	Neurokinin 1 Antagonists
0006-9117	Leukotriene Receptor Antagonists
0006-9275	Leukotriene Receptor Antagonists
0007-3230	Factor Xa Inhibitors
0007-3232	Factor Xa Inhibitors
0007-3234	Factor Xa Inhibitors
0007-3236	Factor Xa Inhibitors
0007-3370	Adrenergic Beta1-antagonists
0007-3370	Adrenergic Beta2-antagonists
0007-3370	Adrenergic Alpha-antagonists
0007-3371	Adrenergic Beta2-antagonists
0007-3371	Adrenergic Alpha-antagonists
0007-3371	Adrenergic Beta1-antagonists
0007-3372	Adrenergic Beta2-antagonists
0007-3372	Adrenergic Beta1-antagonists
0007-3372	Adrenergic Alpha-antagonists
0007-3373	Adrenergic Alpha-antagonists
0007-3373	Adrenergic Beta1-antagonists
0007-3373	Adrenergic Beta2-antagonists
0007-4139	Adrenergic Beta1-antagonists
0007-4139	Adrenergic Alpha-antagonists
0007-4139	Adrenergic Beta2-antagonists
0007-4140	Adrenergic Beta2-antagonists
0007-4140	Adrenergic Beta1-antagonists
0007-4140	Adrenergic Alpha-antagonists
0007-4141	Adrenergic Beta1-antagonists
0007-4141	Adrenergic Beta2-antagonists
0007-4141	Adrenergic Alpha-antagonists
0007-4142	Adrenergic Beta1-antagonists
0007-4142	Adrenergic Beta2-antagonists
0007-4142	Adrenergic Alpha-antagonists
0007-4201	Topoisomerase Inhibitors
0007-4205	Topoisomerase Inhibitors
0007-4207	Topoisomerase Inhibitors
0007-4401	Nucleic Acid Synthesis Inhibitors
0007-4407	Thrombin Inhibitors
0007-4640	Thrombopoietin Receptor Interactions
0007-4640	Thrombopoietin Receptor Agonists
0007-4641	Thrombopoietin Receptor Agonists
0007-4641	Thrombopoietin Receptor Interactions
0007-4642	Thrombopoietin Receptor Agonists
0007-4642	Thrombopoietin Receptor Interactions
0007-4643	Thrombopoietin Receptor Interactions
0007-4643	Thrombopoietin Receptor Agonists
0007-4646	Thrombopoietin Receptor Agonists
0007-4646	Thrombopoietin Receptor Interactions
0007-4882	Dopamine Agonists
0007-4883	Dopamine Agonists
0007-4885	Dopamine Agonists
0007-4887	Dopamine Agonists
0007-4888	Dopamine Agonists
0007-4890	Dopamine Agonists
0007-4891	Dopamine Agonists
0007-4892	Dopamine Agonists
0007-4893	Dopamine Agonists
0007-4894	Dopamine Agonists
0007-4895	Dopamine Agonists
0007-4896	Dopamine Agonists
0008-0606	Proton Pump Inhibitors
0008-0607	Proton Pump Inhibitors
0008-0841	Proton Pump Inhibitors
0008-0843	Proton Pump Inhibitors
0008-0844	Proton Pump Inhibitors
0008-0923	Proton Pump Inhibitors
0008-0941	Proton Pump Inhibitors
0008-1030	Mtor Inhibitors
0008-1040	Mtor Inhibitors
0008-1041	Mtor Inhibitors
0008-1042	Mtor Inhibitors
0008-1123	Selective Estrogen Receptor Modulators
0008-1211	Norepinephrine Uptake Inhibitors
0008-1211	Serotonin Uptake Inhibitors
0008-1222	Norepinephrine Uptake Inhibitors
0008-1222	Serotonin Uptake Inhibitors
0008-2001	Proton Pump Inhibitors
0008-4001	Proton Pump Inhibitors
0009-0003	Corticosteroid Hormone Receptor Agonists
0009-0005	Corticosteroid Hormone Receptor Agonists
0009-0011	Corticosteroid Hormone Receptor Agonists
0009-0012	Corticosteroid Hormone Receptor Agonists
0009-0013	Corticosteroid Hormone Receptor Agonists
0009-0016	Corticosteroid Hormone Receptor Agonists
0009-0018	Corticosteroid Hormone Receptor Agonists
0009-0020	Corticosteroid Hormone Receptor Agonists
0009-0022	Corticosteroid Hormone Receptor Agonists
0009-0031	Corticosteroid Hormone Receptor Agonists
0009-0039	Corticosteroid Hormone Receptor Agonists
0009-0044	Corticosteroid Hormone Receptor Agonists
0009-0047	Corticosteroid Hormone Receptor Agonists
0009-0049	Corticosteroid Hormone Receptor Agonists
0009-0056	Corticosteroid Hormone Receptor Agonists
0009-0073	Corticosteroid Hormone Receptor Agonists
0009-0085	Androgen Receptor Agonists
0009-0086	Androgen Receptor Agonists
0009-0113	Corticosteroid Hormone Receptor Agonists
0009-0176	Corticosteroid Hormone Receptor Agonists
0009-0190	Corticosteroid Hormone Receptor Agonists
0009-0260	Bile-acid Binding Activity
0009-0271	Estrogen Receptor Agonists
0009-0274	Corticosteroid Hormone Receptor Agonists
0009-0280	Corticosteroid Hormone Receptor Agonists
0009-0306	Corticosteroid Hormone Receptor Agonists
0009-0370	Bile-acid Binding Activity
0009-0450	Bile-acid Binding Activity
0009-0520	Androgen Receptor Agonists
0009-0698	Corticosteroid Hormone Receptor Agonists
0009-0758	Corticosteroid Hormone Receptor Agonists
0009-0765	Corticosteroid Hormone Receptor Agonists
0009-0796	Corticosteroid Hormone Receptor Agonists
0009-0825	Corticosteroid Hormone Receptor Agonists
0009-0900	Corticosteroid Hormone Receptor Agonists
0009-0909	Corticosteroid Hormone Receptor Agonists
0009-0912	Corticosteroid Hormone Receptor Agonists
0009-0920	Corticosteroid Hormone Receptor Agonists
0009-1111	Topoisomerase Inhibitors
0009-3073	Corticosteroid Hormone Receptor Agonists
0009-3169	Prostaglandin Receptor Agonists
0009-3389	Corticosteroid Hormone Receptor Agonists
0009-3475	Corticosteroid Hormone Receptor Agonists
0009-3701	Prostaglandin Receptor Agonists
0009-3778	Prostaglandin Receptor Agonists
0009-4541	Cholinergic Muscarinic Antagonists
0009-4544	Cholinergic Muscarinic Antagonists
0009-5012	Alpha Glucosidase Inhibitors
0009-5013	Alpha Glucosidase Inhibitors
0009-5014	Alpha Glucosidase Inhibitors
0009-5091	Topoisomerase Inhibitors
0009-5093	Topoisomerase Inhibitors
0009-5131	Prostaglandin Receptor Agonists
0009-5181	Prostaglandin Receptor Agonists
0009-5182	Prostaglandin Receptor Agonists
0009-5190	Cholinergic Muscarinic Antagonists
0009-5191	Cholinergic Muscarinic Antagonists
0009-7224	Antibody-surface Protein Interactions
0009-7529	Topoisomerase Inhibitors
0009-7663	Aromatase Inhibitors
0009-7686	Prostaglandin Receptor Agonists
0013-0132	Alkylating Activity
0013-2150	Estrogen Receptor Agonists
0013-2200	Topoisomerase Inhibitors
0013-2201	Topoisomerase Inhibitors
0013-2202	Topoisomerase Inhibitors
0013-2576	Topoisomerase Inhibitors
0013-2586	Topoisomerase Inhibitors
0013-2596	Topoisomerase Inhibitors
0023-0313	Corticosteroid Hormone Receptor Agonists
0023-0316	Corticosteroid Hormone Receptor Agonists
0023-1145	Acetylcholine Release Inhibitors
0023-2181	Cyclooxygenase Inhibitors
0023-3348	Corticosteroid Hormone Receptor Agonists
0023-3507	Cyclooxygenase Inhibitors
0023-3513	Cholinergic Muscarinic Antagonists
0023-3919	Acetylcholine Release Inhibitors
0023-3921	Acetylcholine Release Inhibitors
0023-4385	Adrenergic Beta-antagonists
0023-4526	Adrenergic Beta-antagonists
0023-4857	Decarboxylase Inhibitors
0023-9163	Calcineurin Inhibitors
0023-9177	Adrenergic Alpha-agonists
0023-9201	Histamine H1 Receptor Antagonists
0023-9201	Adrenergic Agonists
0023-9211	Adrenergic Alpha-agonists
0023-9232	Acetylcholine Release Inhibitors
0023-9277	Cyclooxygenase Inhibitors
0023-9321	Adrenergic Alpha-agonists
0023-9350	Cholinergic Muscarinic Antagonists
0024-0335	Full Opioid Agonists
0024-0337	Full Opioid Agonists
0024-4200	Adrenergic Alpha-antagonists
0024-5401	Gaba A Agonists
0024-5421	Gaba A Agonists
0024-5501	Gaba A Agonists
0024-5521	Gaba A Agonists
0024-5800	Histamine H1 Receptor Antagonists
0024-5801	Histamine H1 Receptor Antagonists
0024-5810	Dopamine Uptake Inhibitors
0024-5810	Norepinephrine Uptake Inhibitors
0024-5811	Dopamine Uptake Inhibitors
0024-5811	Norepinephrine Uptake Inhibitors
0024-5812	Norepinephrine Uptake Inhibitors
0024-5812	Dopamine Uptake Inhibitors
0024-5820	Nucleic Acid Synthesis Inhibitors
0024-5831	Adrenergic Beta-agonists
0024-5831	Adrenergic Alpha-agonists
0024-5833	Adrenergic Alpha-agonists
0024-5833	Adrenergic Beta-agonists
0024-5850	Angiotensin 2 Receptor Antagonists
0024-5851	Angiotensin 2 Receptor Antagonists
0024-5852	Angiotensin 2 Receptor Antagonists
0024-5858	Topoisomerase Inhibitors
0024-5860	Nucleic Acid Synthesis Inhibitors
0025-0061	Cholinergic Antagonists
0025-0061	Cholinergic Muscarinic Antagonists
0025-0066	Cholinergic Muscarinic Antagonists
0025-0066	Cholinergic Antagonists
0025-0166	Gonadotropin Releasing Hormone Receptor Agonists
0025-1001	Aldosterone Antagonists
0025-1011	Aldosterone Antagonists
0025-1021	Aldosterone Antagonists
0025-1031	Aldosterone Antagonists
0025-1041	Aldosterone Antagonists
0025-1381	Cyclooxygenase Inhibitors
0025-1411	Cyclooxygenase Inhibitors
0025-1421	Cyclooxygenase Inhibitors
0025-1515	Cyclooxygenase Inhibitors
0025-1520	Cyclooxygenase Inhibitors
0025-1525	Cyclooxygenase Inhibitors
0025-1530	Cyclooxygenase Inhibitors
0025-1851	Calcium Channel Antagonists
0025-1861	Calcium Channel Antagonists
0025-1891	Calcium Channel Antagonists
0025-1901	Calcium Channel Antagonists
0025-1911	Calcium Channel Antagonists
0025-2011	Calcium Channel Antagonists
0025-2021	Calcium Channel Antagonists
0029-1525	Rna Synthetase Inhibitors
0029-1526	Rna Synthetase Inhibitors
0029-1527	Rna Synthetase Inhibitors
0031-2234	Sigma-1 Receptor Agonists
0031-2234	Uncompetitive Nmda Receptor Antagonists
0031-2235	Adrenergic Alpha1-agonists
0031-2238	Histamine H1 Receptor Antagonists
0031-2246	Histamine H1 Receptor Antagonists
0031-2247	Histamine H1 Receptor Antagonists
0031-2249	Histamine H1 Receptor Antagonists
0031-2293	Adrenergic Alpha1-agonists
0031-8649	Uncompetitive Nmda Receptor Antagonists
0031-8649	Sigma-1 Receptor Agonists
0031-8692	Histamine H1 Receptor Antagonists
0031-8693	Histamine H1 Receptor Antagonists
0031-8694	Sigma-1 Receptor Agonists
0031-8694	Uncompetitive Nmda Receptor Antagonists
0031-8698	Histamine H1 Receptor Antagonists
0031-8712	Uncompetitive Nmda Receptor Antagonists
0031-8712	Sigma-1 Receptor Agonists
0031-8713	Sigma-1 Receptor Agonists
0031-8713	Uncompetitive Nmda Receptor Antagonists
0031-8715	Sigma-1 Receptor Agonists
0031-8715	Uncompetitive Nmda Receptor Antagonists
0031-8716	Sigma-1 Receptor Agonists
0031-8716	Uncompetitive Nmda Receptor Antagonists
0031-8717	Sigma-1 Receptor Agonists
0031-8717	Uncompetitive Nmda Receptor Antagonists
0031-8719	Sigma-1 Receptor Agonists
0031-8719	Uncompetitive Nmda Receptor Antagonists
0031-8721	Uncompetitive Nmda Receptor Antagonists
0031-8721	Sigma-1 Receptor Agonists
0031-8722	Uncompetitive Nmda Receptor Antagonists
0031-8722	Sigma-1 Receptor Agonists
0031-8731	Adrenergic Alpha1-agonists
0031-8732	Histamine H1 Receptor Antagonists
0031-8734	Uncompetitive Nmda Receptor Antagonists
0031-8734	Sigma-1 Receptor Agonists
0031-8735	Histamine H1 Receptor Antagonists
0031-8736	Uncompetitive Nmda Receptor Antagonists
0031-8736	Sigma-1 Receptor Agonists
0031-8737	Uncompetitive Nmda Receptor Antagonists
0031-8737	Sigma-1 Receptor Agonists
0031-8738	Uncompetitive Nmda Receptor Antagonists
0031-8738	Sigma-1 Receptor Agonists
0031-8740	Uncompetitive Nmda Receptor Antagonists
0031-8740	Sigma-1 Receptor Agonists
0031-8741	Sigma-1 Receptor Agonists
0031-8741	Uncompetitive Nmda Receptor Antagonists
0031-8742	Uncompetitive Nmda Receptor Antagonists
0031-8742	Sigma-1 Receptor Agonists
0032-1101	Angiotensin-converting Enzyme Inhibitors
0032-1102	Angiotensin-converting Enzyme Inhibitors
0032-1103	Angiotensin-converting Enzyme Inhibitors
0037-0241	Histamine H1 Receptor Antagonists
0037-6010	Gaba A Agonists
0037-6050	Gaba A Agonists
0037-6820	Osmotic Activity
0037-6822	Corticosteroid Hormone Receptor Agonists
0037-6824	Corticosteroid Hormone Receptor Agonists
0037-7025	Histamine H1 Receptor Antagonists
0037-8110	Prostaglandin Receptor Agonists
0037-8120	Prostaglandin Receptor Agonists
0037-8130	Prostaglandin Receptor Agonists
0037-8140	Prostaglandin Receptor Agonists
0046-0749	Estrogen Receptor Agonists
0046-0872	Estrogen Receptor Agonists
0046-1100	Estrogen Receptor Agonists
0046-1101	Estrogen Receptor Agonists
0046-1102	Estrogen Receptor Agonists
0046-1103	Estrogen Receptor Agonists
0046-1104	Estrogen Receptor Agonists
0049-2710	Adrenergic Alpha-antagonists
0049-2720	Adrenergic Alpha-antagonists
0049-2750	Adrenergic Alpha-antagonists
0049-2760	Adrenergic Alpha-antagonists
0049-2770	Adrenergic Alpha-antagonists
0049-2780	Adrenergic Alpha-antagonists
0049-4900	Serotonin Uptake Inhibitors
0049-4910	Serotonin Uptake Inhibitors
0049-4940	Serotonin Uptake Inhibitors
0049-4960	Serotonin Uptake Inhibitors
0049-5460	Histamine Receptor Antagonists
0051-8425	Androgen Receptor Agonists
0051-8450	Androgen Receptor Agonists
0051-8462	Androgen Receptor Agonists
0051-8488	Androgen Receptor Agonists
0052-0273	Estrogen Receptor Agonists
0052-0301	Gonadotropin Releasing Hormone Receptor Antagonists
0053-7596	Antigen Neutralization
0054-0045	Cholinergic Antagonists
0054-0046	Cholinergic Antagonists
0054-0052	Nucleoside Reverse Transcriptase Inhibitors
0054-0056	Cholinergic Muscarinic Agonists
0054-0056	Cholinergic Agonists
0054-0062	Serotonin Uptake Inhibitors
0054-0080	Aromatase Inhibitors
0054-0084	Gaba A Agonists
0054-0085	Gaba A Agonists
0054-0086	Gaba A Agonists
0054-0087	Gaba A Agonists
0054-0088	Phosphate Chelating Activity
0054-0100	Calcium Channel Antagonists
0054-0101	Calcium Channel Antagonists
0054-0102	Calcium Channel Antagonists
0054-0106	Angiotensin-converting Enzyme Inhibitors
0054-0107	Angiotensin-converting Enzyme Inhibitors
0054-0108	Angiotensin-converting Enzyme Inhibitors
0054-0109	Angiotensin-converting Enzyme Inhibitors
0054-0110	Angiotensin-converting Enzyme Inhibitors
0054-0111	Angiotensin-converting Enzyme Inhibitors
0054-0112	Angiotensin-converting Enzyme Inhibitors
0054-0114	Dna Polymerase Inhibitors
0054-0115	Dna Polymerase Inhibitors
0054-0116	Dopamine Agonists
0054-0117	Dopamine Agonists
0054-0118	Dopamine Agonists
0054-0119	Dopamine Agonists
0054-0120	Dopamine Agonists
0054-0121	Dopamine Agonists
0054-0122	Dopamine Agonists
0054-0123	Angiotensin 2 Receptor Antagonists
0054-0124	Angiotensin 2 Receptor Antagonists
0054-0125	Angiotensin 2 Receptor Antagonists
0054-0126	Angiotensin 2 Receptor Antagonists
0054-0127	Angiotensin 2 Receptor Antagonists
0054-0137	Cholinesterase Inhibitors
0054-0140	Alpha Glucosidase Inhibitors
0054-0141	Alpha Glucosidase Inhibitors
0054-0142	Alpha Glucosidase Inhibitors
0054-0143	Serotonin 3 Receptor Antagonists
0054-0164	Aromatase Inhibitors
0054-0196	Dna Polymerase Inhibitors
0054-0197	Dna Polymerase Inhibitors
0054-0198	Dna Polymerase Inhibitors
0054-0228	Cyclooxygenase Inhibitors
0054-0235	Full Opioid Agonists
0054-0236	Full Opioid Agonists
0054-0237	Full Opioid Agonists
0054-0238	Full Opioid Agonists
0054-0250	Angiotensin 2 Receptor Antagonists
0054-0251	Angiotensin 2 Receptor Antagonists
0054-0252	Angiotensin 2 Receptor Antagonists
0054-0259	Leukotriene Receptor Antagonists
0054-0264	Full Opioid Agonists
0054-0265	Full Opioid Agonists
0054-0269	Aromatase Inhibitors
0054-0277	Angiotensin 2 Receptor Antagonists
0054-0278	Serotonin 1d Receptor Agonists
0054-0278	Serotonin 1b Receptor Agonists
0054-0279	Serotonin 1d Receptor Agonists
0054-0279	Serotonin 1b Receptor Agonists
0054-0283	Full Opioid Agonists
0054-0284	Full Opioid Agonists
0054-0288	Leukotriene Receptor Antagonists
0054-0289	Leukotriene Receptor Antagonists
0054-0334	Cholinergic Muscarinic Agonists
0054-0379	Potassium Ion Exchange Activity
0054-0386	Full Opioid Agonists
0054-0391	Full Opioid Agonists
0054-0392	Full Opioid Agonists
0054-0404	Full Opioid Agonists
0054-0438	Full Opioid Agonists
0054-0450	Non-nucleoside Reverse Transcriptase Inhibitors
0054-0459	Non-nucleoside Reverse Transcriptase Inhibitors
0054-0522	Full Opioid Agonists
0054-0542	Angiotensin 2 Receptor Antagonists
0054-0543	Angiotensin 2 Receptor Antagonists
0054-0544	Angiotensin 2 Receptor Antagonists
0054-0545	Angiotensin 2 Receptor Antagonists
0054-0546	Angiotensin 2 Receptor Antagonists
0054-0547	Angiotensin 2 Receptor Antagonists
0054-0551	Full Opioid Agonists
0054-2795	Full Opioid Agonists
0054-3025	Reduction Activity
0054-3026	Reduction Activity
0054-3027	Reduction Activity
0054-3028	Reduction Activity
0054-3090	Competitive Opioid Antagonists
0054-3090	Partial Opioid Agonists
0054-3117	Phosphate Chelating Activity
0054-3176	Corticosteroid Hormone Receptor Agonists
0054-3177	Corticosteroid Hormone Receptor Agonists
0054-3194	Cholinergic Antagonists
0054-3194	Cholinergic Muscarinic Antagonists
0054-3270	Corticosteroid Hormone Receptor Agonists
0054-3486	Osmotic Activity
0054-3486	Acidifying Activity
0054-3545	Full Opioid Agonists
0054-3553	Full Opioid Agonists
0054-3555	Full Opioid Agonists
0054-3556	Full Opioid Agonists
0054-3686	Full Opioid Agonists
0054-3727	Adrenergic Beta-antagonists
0054-3730	Adrenergic Beta-antagonists
0054-4084	Nucleic Acid Synthesis Inhibitors
0054-4120	Phosphate Chelating Activity
0054-4179	Corticosteroid Hormone Receptor Agonists
0054-4180	Corticosteroid Hormone Receptor Agonists
0054-4181	Corticosteroid Hormone Receptor Agonists
0054-4182	Corticosteroid Hormone Receptor Agonists
0054-4183	Corticosteroid Hormone Receptor Agonists
0054-4184	Corticosteroid Hormone Receptor Agonists
0054-4186	Corticosteroid Hormone Receptor Agonists
0054-4218	Full Opioid Agonists
0054-4219	Full Opioid Agonists
0054-4538	Full Opioid Agonists
0054-4550	Folic Acid Metabolism Inhibitors
0054-4570	Full Opioid Agonists
0054-4571	Full Opioid Agonists
0054-4595	Full Opioid Agonists
0054-4596	Full Opioid Agonists
0054-4650	Full Opioid Agonists
0054-4721	Cholinergic Antagonists
0054-4784	Full Opioid Agonists
0054-8084	Nucleic Acid Synthesis Inhibitors
0054-8120	Phosphate Chelating Activity
0054-8174	Corticosteroid Hormone Receptor Agonists
0054-8175	Corticosteroid Hormone Receptor Agonists
0054-8176	Corticosteroid Hormone Receptor Agonists
0054-8179	Corticosteroid Hormone Receptor Agonists
0054-8180	Corticosteroid Hormone Receptor Agonists
0054-8181	Corticosteroid Hormone Receptor Agonists
0054-8183	Corticosteroid Hormone Receptor Agonists
0054-8486	Acidifying Activity
0054-8486	Osmotic Activity
0054-8550	Folic Acid Metabolism Inhibitors
0054-8553	Full Opioid Agonists
0054-8554	Full Opioid Agonists
0054-8595	Full Opioid Agonists
0054-8648	Full Opioid Agonists
0054-8650	Full Opioid Agonists
0056-0168	Vitamin K Inhibitors
0056-0169	Vitamin K Inhibitors
0056-0170	Vitamin K Inhibitors
0056-0172	Vitamin K Inhibitors
0056-0173	Vitamin K Inhibitors
0056-0174	Vitamin K Inhibitors
0056-0176	Vitamin K Inhibitors
0056-0188	Vitamin K Inhibitors
0056-0189	Vitamin K Inhibitors
0056-0470	Non-nucleoside Reverse Transcriptase Inhibitors
0056-0474	Non-nucleoside Reverse Transcriptase Inhibitors
0056-0510	Non-nucleoside Reverse Transcriptase Inhibitors
0062-2080	Serotonin 1d Receptor Agonists
0062-2080	Serotonin 1b Receptor Agonists
0062-2085	Serotonin 1d Receptor Agonists
0062-2085	Serotonin 1b Receptor Agonists
0065-0002	Cyclooxygenase Inhibitors
0065-0092	Dyes
0065-0096	Corticosteroid Hormone Receptor Agonists
0065-0246	Adrenergic Beta-antagonists
0065-0271	Histamine H1 Receptor Antagonists
0065-0272	Histamine H1 Receptor Antagonists
0065-0275	Carbonic Anhydrase Inhibitors
0065-0325	Histamine H1 Receptor Antagonists
0065-0332	Histamine H1 Receptor Antagonists
0065-0333	Histamine H1 Receptor Antagonists
0065-0342	Adrenergic Alpha1-agonists
0065-0355	Cholinergic Antagonists
0065-0359	Adrenergic Alpha1-agonists
0065-0416	Osmotic Activity
0065-0418	Osmotic Activity
0065-0419	Osmotic Activity
0065-0426	Osmotic Activity
0065-0543	Corticosteroid Hormone Receptor Agonists
0065-0627	Corticosteroid Hormone Receptor Agonists
0065-0631	Corticosteroid Hormone Receptor Agonists
0065-0638	Corticosteroid Hormone Receptor Agonists
0065-0647	Corticosteroid Hormone Receptor Agonists
0065-0648	Corticosteroid Hormone Receptor Agonists
0065-0652	Corticosteroid Hormone Receptor Agonists
0065-0660	Adrenergic Alpha-agonists
0065-0665	Adrenergic Alpha-agonists
0065-0702	Cholinergic Muscarinic Antagonists
0065-0702	Cholinergic Antagonists
0065-0795	Phosphate Chelating Activity
0065-1750	Cyclooxygenase Inhibitors
0065-1795	Phosphate Chelating Activity
0065-4011	Histamine H1 Receptor Antagonists
0065-4147	Adrenergic Alpha-agonists
0066-0507	Corticosteroid Hormone Receptor Agonists
0066-0508	Corticosteroid Hormone Receptor Agonists
0066-7150	Nucleic Acid Synthesis Inhibitors
0067-0143	Cyclooxygenase Inhibitors
0067-0149	Cyclooxygenase Inhibitors
0067-2000	Cyclooxygenase Inhibitors
0067-2021	Cyclooxygenase Inhibitors
0067-2030	Cyclooxygenase Inhibitors
0067-2035	Cyclooxygenase Inhibitors
0067-2037	Cyclooxygenase Inhibitors
0067-2039	Cyclooxygenase Inhibitors
0067-2053	Histamine H1 Receptor Antagonists
0067-2055	Histamine H1 Receptor Antagonists
0067-2077	Uncompetitive Nmda Receptor Antagonists
0067-2077	Sigma-1 Receptor Agonists
0067-2086	Adrenergic Alpha1-agonists
0067-4345	Cholinergic Antagonists
0067-6024	Dna Polymerase Inhibitors
0067-6238	Cyclooxygenase Inhibitors
0067-6286	Proton Pump Inhibitors
0067-6318	Histamine H1 Receptor Antagonists
