Key	Value
0052-0309	Gonadotropins
0052-0313	Gonadotropins
0052-0316	Gonadotropins
0052-0326	Gonadotropins
0052-0602	Vaccines, Attenuated
0052-0602	Bcg Vaccine
0052-4330	Progesterone Congeners
0053-6871	Vasopressins
0053-7596	Immunoglobulins
0054-0002	Azoles
0054-0003	Azoles
0054-0007	Cholecalciferol
0054-0052	Nucleoside Analog
0054-0057	Cardiac Glycosides
0054-0079	Aminosalicylic Acids
0054-0086	Pyridines
0054-0087	Pyridines
0054-0088	Calcium
0054-0100	Dihydropyridines
0054-0101	Dihydropyridines
0054-0102	Dihydropyridines
0054-0114	Nucleoside Analog
0054-0115	Nucleoside Analog
0054-0196	Nucleoside Analog
0054-0197	Nucleoside Analog
0054-0198	Nucleoside Analog
0054-0228	Nonsteroidal Anti-inflammatory Compounds
0054-0254	Thiazides
0054-0255	Thiazides
0054-0273	Dietary Proteins
0054-0273	Grain Proteins
0054-0273	Allergens
0054-0274	Allergens
0054-0274	Dietary Proteins
0054-0274	Grain Proteins
0054-0275	Grain Proteins
0054-0275	Dietary Proteins
0054-0275	Allergens
0054-0276	Dietary Proteins
0054-0276	Grain Proteins
0054-0276	Allergens
0054-0338	Ergocalciferols
0054-0339	Ergocalciferols
0054-0347	Nitroimidazoles
0054-0348	Nitroimidazoles
0054-0388	Ergocalciferols
0054-0450	Non-nucleoside Analog
0054-0459	Non-nucleoside Analog
0054-3068	Benzodiazepines
0054-3117	Calcium
0054-3120	Cholecalciferol
0054-3185	Benzodiazepines
0054-3188	Benzodiazepines
0054-3500	Amides
0054-3505	Amides
0054-3532	Benzodiazepines
0054-3542	Progesterone Congeners
0054-3566	Benzodiazepines
0054-4084	Purines
0054-4084	Nucleoside Analog
0054-4120	Calcium
0054-4146	Azoles
0054-4496	Folic Acid
0054-4497	Folic Acid
0054-4498	Folic Acid
0054-4499	Folic Acid
0054-4603	Progesterone Congeners
0054-4604	Progesterone Congeners
0054-4858	Benzodiazepines
0054-4859	Benzodiazepines
0054-8084	Purines
0054-8084	Nucleoside Analog
0054-8120	Calcium
0054-8146	Azoles
0054-8207	Benzodiazepines
0054-8496	Folic Acid
0054-8500	Amides
0054-8603	Progesterone Congeners
0054-8604	Progesterone Congeners
0054-8858	Benzodiazepines
0054-8859	Benzodiazepines
0056-0470	Non-nucleoside Analog
0056-0474	Non-nucleoside Analog
0056-0510	Non-nucleoside Analog
0062-0165	Retinoids
0062-0175	Retinoids
0062-0187	Retinoids
0062-0190	Retinoids
0062-0204	Retinoids
0062-0275	Retinoids
0062-0475	Retinoids
0062-0575	Retinoids
0062-5350	Azoles
0062-5351	Azoles
0062-5356	Azoles
0064-0810	Platelet-derived Growth Factor
0064-5010	Collagenases
0065-0002	Nonsteroidal Anti-inflammatory Compounds
0065-0006	Quinolones
0065-0260	Prostaglandins
0065-0411	Iodine
0065-0643	Aminoglycosides
0065-0644	Aminoglycosides
0065-0645	Polyenes
0065-0654	Quinolones
0065-0656	Quinolones
0065-0741	Esters
0065-0795	Calcium
0065-1750	Nonsteroidal Anti-inflammatory Compounds
0065-1795	Calcium
0065-2800	Prostaglandins
0065-4013	Quinolones
0065-8531	Quinolones
0065-8533	Quinolones
0066-9850	Nitroimidazoles
0067-0143	Nonsteroidal Anti-inflammatory Compounds
0067-0149	Nonsteroidal Anti-inflammatory Compounds
0067-0949	Azoles
0067-0959	Azoles
0067-0969	Azoles
0067-2000	Nonsteroidal Anti-inflammatory Compounds
0067-2021	Nonsteroidal Anti-inflammatory Compounds
0067-2030	Nonsteroidal Anti-inflammatory Compounds
0067-2035	Nonsteroidal Anti-inflammatory Compounds
0067-2037	Nonsteroidal Anti-inflammatory Compounds
0067-2039	Nonsteroidal Anti-inflammatory Compounds
0067-2045	Xanthines
0067-2070	Xanthines
0067-2090	Azoles
0067-3998	Allylamine
0067-3999	Allylamine
0067-4000	Allylamine
0067-4850	Nicotine
0067-4860	Nicotine
0067-4870	Nicotine
0067-4990	Nicotine
0067-5000	Nicotine
0067-5010	Nicotine
0067-5020	Nicotine
0067-5050	Nicotine
0067-5070	Nicotine
0067-5080	Nicotine
0067-5124	Nicotine
0067-5125	Nicotine
0067-5126	Nicotine
0067-6012	Nicotine
0067-6024	Nucleoside Analog
0067-6046	Nicotine
0067-6128	Nicotine
0067-6129	Nicotine
0067-6130	Nicotine
0067-6171	Allylamine
0067-6238	Nonsteroidal Anti-inflammatory Compounds
0067-6239	Allylamine
0067-6292	Allylamine
0067-6293	Allylamine
0067-6341	Nonsteroidal Anti-inflammatory Compounds
0067-6416	Allylamine
0067-6424	Nonsteroidal Anti-inflammatory Compounds
0067-8100	Allylamine
0067-8103	Nonsteroidal Anti-inflammatory Compounds
0067-8104	Nonsteroidal Anti-inflammatory Compounds
0067-8114	Allylamine
0067-8119	Xanthines
0068-0508	Rifamycins
0068-0510	Rifamycins
0068-0597	Rifamycins
0069-0038	Azoles
0069-0043	Heparin
0069-0045	Azoles
0069-0058	Heparin
0069-0059	Heparin
0069-0062	Heparin
0069-0067	Platinum-containing Compounds
0069-0070	Platinum-containing Compounds
0069-0074	Platinum-containing Compounds
0069-0081	Platinum-containing Compounds
0069-0084	Platinum-containing Compounds
0069-0085	Nonsteroidal Anti-inflammatory Compounds
0069-0087	Nonsteroidal Anti-inflammatory Compounds
0069-0088	Aminoglycosides
0069-0091	Aminoglycosides
0069-0099	Vinca Alkaloids
0069-0103	Vinca Alkaloids
0069-0104	Tetracyclines
0069-0106	Glucosylceramidase
0069-0112	Rifamycins
0069-0137	Heparin
0069-0141	Rifamycins
0069-0170	Anthracyclines
0069-0171	Anthracyclines
0069-0205	Vinca Alkaloids
0069-0301	Aminoglycosides
0069-0302	Aminoglycosides
0069-0400	Macrolides
0069-0950	Tetracyclines
0069-0970	Tetracyclines
0069-0971	Tetracyclines
0069-0990	Tetracyclines
0069-1010	Platinum-containing Compounds
0069-1520	Dihydropyridines
0069-1530	Dihydropyridines
0069-1540	Dihydropyridines
0069-2150	Dihydropyridines
0069-2160	Dihydropyridines
0069-2170	Dihydropyridines
0069-2180	Dihydropyridines
0069-2190	Dihydropyridines
0069-2250	Dihydropyridines
0069-2260	Dihydropyridines
0069-2270	Dihydropyridines
0069-2390	Nitroimidazoles
0069-2587	Glycopeptides
0069-2589	Glycopeptides
0069-2590	Glycopeptides
0069-2599	Glycopeptides
0069-2600	Dihydropyridines
0069-2601	Glycopeptides
0069-2650	Dihydropyridines
0069-2660	Dihydropyridines
0069-2670	Dihydropyridines
0069-2960	Dihydropyridines
0069-2970	Dihydropyridines
0069-2980	Dihydropyridines
0069-3030	Anthracyclines
0069-3031	Anthracyclines
0069-3032	Anthracyclines
0069-3033	Anthracyclines
0069-3034	Anthracyclines
0069-3051	Macrolides
0069-3080	Macrolides
0069-3150	Macrolides
0069-3241	Quinolones
0069-3342	Quinolones
0069-4004	Anthracyclines
0069-4015	Anthracyclines
0069-4026	Anthracyclines
0069-4037	Anthracyclines
0069-4170	Macrolides
0069-4395	Quinolones
0069-4396	Quinolones
0071-0155	Calcium
0071-0156	Calcium
0071-0157	Calcium
0071-0158	Calcium
0071-0417	Nitrates
0071-0418	Nitrates
0071-0419	Nitrates
0071-0737	Ppar Alpha
0074-1564	Grain Proteins
0074-1564	Dietary Proteins
0074-1564	Allergens
0074-1658	Cholecalciferol
0074-2586	Macrolides
0074-3005	Nicotinic Acids
0074-3007	Nicotinic Acids
0074-3010	Nicotinic Acids
0074-3015	Thiazides
0074-3020	Thiazides
0074-3072	Nicotinic Acids
0074-3074	Nicotinic Acids
0074-3079	Nicotinic Acids
0074-3080	Nicotinic Acids
0074-3163	Macrolides
0074-3165	Macrolides
0074-3188	Macrolides
0074-3312	Nicotinic Acids
0074-3315	Nicotinic Acids
0074-3368	Macrolides
0074-3455	Nicotinic Acids
0074-3457	Nicotinic Acids
0074-3459	Nicotinic Acids
0074-3727	Thyroxine
0074-4314	Cholecalciferol
0074-4315	Cholecalciferol
0074-4317	Cholecalciferol
0074-4341	Thyroxine
0074-4552	Thyroxine
0074-4637	Cholecalciferol
0074-5182	Thyroxine
0074-6122	Ppar Alpha
0074-6123	Ppar Alpha
0074-6316	Macrolides
0074-6346	Macrolides
0074-6594	Thyroxine
0074-6624	Thyroxine
0074-7068	Thyroxine
0074-7069	Thyroxine
0074-7070	Thyroxine
0074-7148	Thyroxine
0074-7149	Thyroxine
0074-8110	Cholecalciferol
0074-9296	Thyroxine
0075-0016	Vasopressins
0075-0026	Vasopressins
0075-0620	Heparin, Low-molecular-weight
0075-0621	Heparin, Low-molecular-weight
0075-0622	Heparin, Low-molecular-weight
0075-0623	Heparin, Low-molecular-weight
0075-0624	Heparin, Low-molecular-weight
0075-0626	Heparin, Low-molecular-weight
0075-2450	Vasopressins
0075-2451	Vasopressins
0075-2452	Vasopressins
0075-2912	Heparin, Low-molecular-weight
0075-2915	Heparin, Low-molecular-weight
0075-7700	Benzothiazoles
0075-8013	Heparin, Low-molecular-weight
0075-8014	Heparin, Low-molecular-weight
0075-8016	Heparin, Low-molecular-weight
0075-8018	Heparin, Low-molecular-weight
0075-8020	Heparin, Low-molecular-weight
0075-8022	Heparin, Low-molecular-weight
0075-8025	Heparin, Low-molecular-weight
0075-8030	Heparin, Low-molecular-weight
0078-0017	Ergolines
0078-0053	Ergolines
0078-0054	Ergolines
0078-0102	Ergolines
0078-0149	Calcitonin
0078-0179	Allylamine
0078-0311	Calcitonin
0078-0314	Thiazides
0078-0315	Thiazides
0078-0331	Food Additives
0078-0331	Plant Proteins
0078-0331	Dietary Proteins
0078-0331	Allergens
0078-0343	Estradiol Congeners
0078-0344	Estradiol Congeners
0078-0345	Estradiol Congeners
0078-0346	Estradiol Congeners
0078-0364	Dihydropyridines
0078-0365	Estradiol Congeners
0078-0366	Nucleoside Analog
0078-0367	Nucleoside Analog
0078-0368	Nucleoside Analog
0078-0377	Progesterone Congeners
0078-0378	Progesterone Congeners
0078-0379	Dihydropyridines
0078-0380	Allergens
0078-0380	Fruit Proteins
0078-0380	Plant Proteins
0078-0380	Dietary Proteins
0078-0381	Dietary Proteins
0078-0381	Plant Proteins
0078-0381	Allergens
0078-0381	Fruit Proteins
0078-0382	Fruit Proteins
0078-0382	Plant Proteins
0078-0382	Dietary Proteins
0078-0382	Allergens
0078-0383	Thiazides
0078-0384	Dihydropyridines
0078-0393	Plant Proteins
0078-0393	Allergens
0078-0393	Food Additives
0078-0393	Dietary Proteins
0078-0404	Dihydropyridines
0078-0405	Dihydropyridines
0078-0406	Dihydropyridines
0078-0430	Plant Proteins
0078-0430	Allergens
0078-0430	Fruit Proteins
0078-0430	Dietary Proteins
0078-0431	Fruit Proteins
0078-0431	Dietary Proteins
0078-0431	Allergens
0078-0431	Plant Proteins
0078-0432	Allergens
0078-0432	Plant Proteins
0078-0432	Fruit Proteins
0078-0432	Dietary Proteins
0078-0433	Allergens
0078-0433	Plant Proteins
0078-0433	Dietary Proteins
0078-0433	Fruit Proteins
0078-0434	Plant Proteins
0078-0434	Allergens
0078-0434	Fruit Proteins
0078-0434	Dietary Proteins
0078-0436	Nonsteroidal Anti-inflammatory Compounds
0078-0439	Allergens
0078-0439	Plant Proteins
0078-0439	Dietary Proteins
0078-0439	Fruit Proteins
0078-0440	Plant Proteins
0078-0440	Fruit Proteins
0078-0440	Dietary Proteins
0078-0440	Allergens
0078-0441	Fruit Proteins
0078-0441	Allergens
0078-0441	Dietary Proteins
0078-0441	Plant Proteins
0078-0442	Fruit Proteins
0078-0442	Dietary Proteins
0078-0442	Plant Proteins
0078-0442	Allergens
0078-0446	Nonsteroidal Anti-inflammatory Compounds
0078-0471	Thiazides
0078-0472	Thiazides
0078-0478	Nonsteroidal Anti-inflammatory Compounds
0078-0488	Dihydropyridines
0078-0489	Dihydropyridines
0078-0490	Dihydropyridines
0078-0491	Dihydropyridines
0078-0493	Allergens
0078-0493	Fruit Proteins
0078-0493	Dietary Proteins
0078-0493	Plant Proteins
0078-0494	Aminoglycosides
0078-0495	Interleukin-2
0078-0499	Allylamine
0078-0500	Allylamine
0078-0538	Nucleoside Analog
0078-0539	Nucleoside Analog
0078-0559	Dihydropyridines
0078-0560	Dihydropyridines
0078-0561	Dihydropyridines
0078-0562	Dihydropyridines
0078-0563	Dihydropyridines
0078-0603	Dihydropyridines
0078-0604	Dihydropyridines
0078-0605	Dihydropyridines
0078-0606	Dihydropyridines
0078-0608	Dietary Proteins
0078-0608	Fruit Proteins
0078-0608	Plant Proteins
0078-0608	Allergens
0078-0609	Plant Proteins
0078-0609	Dietary Proteins
0078-0609	Allergens
0078-0609	Fruit Proteins
0078-0610	Dihydropyridines
0078-0611	Dihydropyridines
0078-0612	Dihydropyridines
0078-0613	Dihydropyridines
0078-0614	Dihydropyridines
0078-0630	Aminoglycosides
0085-0091	Nitrates
0085-0370	Allergens
0085-0370	Dietary Proteins
0085-0370	Grain Proteins
0085-0819	Nitrates
0085-0854	Allergens
0085-0854	Grain Proteins
0085-0854	Dietary Proteins
0085-1133	Interferon Alfa-2b
0085-1133	Interferon-alpha
0085-1168	Interferon Alfa-2b
0085-1168	Interferon-alpha
0085-1194	Nucleoside Analog
0085-1288	Grain Proteins
0085-1288	Dietary Proteins
0085-1288	Allergens
0085-1297	Interferon Alfa-2b
0085-1297	Interferon-alpha
0085-1316	Interferon Alfa-2b
0085-1316	Interferon-alpha
0085-1318	Nucleoside Analog
0085-1323	Interferon Alfa-2b
0085-1323	Interferon-alpha
0085-1328	Azoles
0085-1341	Allergens
0085-1341	Dietary Proteins
0085-1341	Grain Proteins
0085-1351	Nucleoside Analog
0085-1370	Interferon-alpha
0085-1370	Interferon Alfa-2b
0085-1374	Nitrates
0085-1385	Nucleoside Analog
0085-1461	Grain Proteins
0085-1461	Dietary Proteins
0085-1461	Allergens
0085-1733	Quinolones
0085-1737	Quinolones
0085-2028	Nitrates
0085-3305	Nitrates
0085-3310	Nitrates
0085-3315	Nitrates
0085-3320	Nitrates
0085-3330	Nitrates
0085-4324	Azoles
0085-4331	Azoles
0085-4333	Allergens
0085-4333	Grain Proteins
0085-4333	Dietary Proteins
0085-4334	Dietary Proteins
0085-4334	Allergens
0085-4334	Grain Proteins
0085-4350	Interferon-alpha
0085-4350	Interferon Alfa-2b
0085-4351	Interferon-alpha
0085-4351	Interferon Alfa-2b
0085-4352	Interferon Alfa-2b
0085-4352	Interferon-alpha
0085-4353	Interferon-alpha
0085-4353	Interferon Alfa-2b
0085-4354	Interferon Alfa-2b
0085-4354	Interferon-alpha
0085-4355	Interferon Alfa-2b
0085-4355	Interferon-alpha
0085-4356	Interferon Alfa-2b
0085-4356	Interferon-alpha
0087-2775	Thiazides
0087-2776	Thiazides
0087-2788	Thiazides
0087-2875	Thiazides
0087-2876	Thiazides
0087-6060	Biguanides
0087-6063	Biguanides
0087-6064	Biguanides
0087-6070	Biguanides
0087-6071	Biguanides
0087-6072	Sulfonylurea Compounds
0087-6073	Sulfonylurea Compounds
0087-6074	Sulfonylurea Compounds
0087-6632	Nucleoside Analog
0087-6633	Nucleoside Analog
0087-6671	Nucleoside Analog
0087-6672	Nucleoside Analog
0087-6673	Nucleoside Analog
0087-6674	Nucleoside Analog
0088-2223	Ketolides
0088-2225	Ketolides
0093-0073	Pyridines
0093-0074	Pyridines
0093-0083	Dihydropyridines
0093-0129	Benzodiazepines
0093-0130	Benzodiazepines
0093-0147	Nonsteroidal Anti-inflammatory Compounds
0093-0148	Nonsteroidal Anti-inflammatory Compounds
0093-0149	Nonsteroidal Anti-inflammatory Compounds
0093-0248	Azoles
0093-0314	Nonsteroidal Anti-inflammatory Compounds
0093-0536	Nonsteroidal Anti-inflammatory Compounds
0093-0537	Nonsteroidal Anti-inflammatory Compounds
0093-0657	Cholecalciferol
0093-0658	Cholecalciferol
0093-0670	Ppar Alpha
0093-0711	Nonsteroidal Anti-inflammatory Compounds
0093-0755	Nonsteroidal Anti-inflammatory Compounds
0093-0756	Nonsteroidal Anti-inflammatory Compounds
0093-0757	Nonsteroidal Anti-inflammatory Compounds
0093-0819	Dihydropyridines
0093-0832	Benzodiazepines
0093-0833	Benzodiazepines
0093-0834	Benzodiazepines
0093-0840	Azoles
0093-0892	Nonsteroidal Anti-inflammatory Compounds
0093-0900	Azoles
0093-0924	Nonsteroidal Anti-inflammatory Compounds
0093-0948	Nonsteroidal Anti-inflammatory Compounds
0093-0983	Polyenes
0093-1005	Nonsteroidal Anti-inflammatory Compounds
0093-1006	Nonsteroidal Anti-inflammatory Compounds
0093-1015	Nonsteroidal Anti-inflammatory Compounds
0093-1016	Nonsteroidal Anti-inflammatory Compounds
0093-1041	Nonsteroidal Anti-inflammatory Compounds
0093-1048	Biguanides
0093-1049	Biguanides
0093-1075	Cephalosporins
0093-1076	Cephalosporins
0093-1077	Cephalosporins
0093-1078	Cephalosporins
0093-1118	Nonsteroidal Anti-inflammatory Compounds
0093-1122	Nonsteroidal Anti-inflammatory Compounds
0093-1135	Retinoids
0093-1136	Retinoids
0093-1138	Retinoids
0093-1177	Aminoglycosides
0093-1893	Nonsteroidal Anti-inflammatory Compounds
0093-2026	Macrolides
0093-2027	Macrolides
0093-2046	Ppar Alpha
0093-2046	Thiazolidinediones
0093-2046	Ppar Gamma
0093-2047	Ppar Alpha
0093-2047	Thiazolidinediones
0093-2047	Ppar Gamma
0093-2048	Ppar Alpha
0093-2048	Ppar Gamma
0093-2048	Thiazolidinediones
0093-2057	Dihydropyridines
0093-2058	Dihydropyridines
0093-2059	Dihydropyridines
0093-2060	Ppar Alpha
0093-2061	Ppar Alpha
0093-2075	Nonsteroidal Anti-inflammatory Compounds
0093-2130	Nitrofurans
0093-2131	Nitrofurans
0093-2210	Organometallic Compounds
0093-3123	Penicillins
0093-3125	Penicillins
0093-3160	Cephalosporins
0093-3165	Tetracyclines
0093-3167	Tetracyclines
0093-3171	Lincosamides
0093-3193	Nonsteroidal Anti-inflammatory Compounds
0093-3195	Nonsteroidal Anti-inflammatory Compounds
0093-4029	Nonsteroidal Anti-inflammatory Compounds
0093-4030	Nonsteroidal Anti-inflammatory Compounds
0093-4085	Aminoglycosides
0093-4136	Cephalosporins
0093-4137	Cephalosporins
0093-4820	Benzodiazepines
0093-4821	Benzodiazepines
0093-4822	Benzodiazepines
0093-5049	Biguanides
0093-5050	Biguanides
0093-5173	Dihydropyridines
0093-5256	Lincosamides
0093-5275	Allergens
0093-5275	Fruit Proteins
0093-5275	Dietary Proteins
0093-5275	Plant Proteins
0093-5276	Dietary Proteins
0093-5276	Fruit Proteins
0093-5276	Allergens
0093-5276	Plant Proteins
0093-5277	Allergens
0093-5277	Dietary Proteins
0093-5277	Plant Proteins
0093-5277	Fruit Proteins
0093-5289	Azoles
0093-5290	Azoles
0093-5292	Plant Proteins
0093-5292	Fruit Proteins
0093-5292	Dietary Proteins
0093-5292	Allergens
0093-5293	Allergens
0093-5293	Fruit Proteins
0093-5293	Dietary Proteins
0093-5293	Plant Proteins
0093-5295	Fruit Proteins
0093-5295	Dietary Proteins
0093-5295	Allergens
0093-5295	Plant Proteins
0093-5296	Allergens
0093-5296	Dietary Proteins
0093-5296	Fruit Proteins
0093-5296	Plant Proteins
0093-5297	Plant Proteins
0093-5297	Allergens
0093-5297	Dietary Proteins
0093-5297	Fruit Proteins
0093-5298	Allergens
0093-5298	Plant Proteins
0093-5298	Fruit Proteins
0093-5298	Dietary Proteins
0093-5346	Allergens
0093-5346	Fruit Proteins
0093-5346	Plant Proteins
0093-5346	Dietary Proteins
0093-5347	Allergens
0093-5347	Fruit Proteins
0093-5347	Dietary Proteins
0093-5347	Plant Proteins
0093-5348	Plant Proteins
0093-5348	Allergens
