Key	Value
0003-6335	Hydroxyurea
0003-6336	Hydroxyurea
0003-6337	Hydroxyurea
0004-0028	Naproxen
0004-0038	Valganciclovir Hydrochloride
0004-0039	Valganciclovir Hydrochloride
0004-0058	Clonazepam
0004-0068	Clonazepam
0004-0086	Ribavirin
0004-0098	Clonazepam
0004-0244	Saquinavir Mesylate
0004-0245	Saquinavir Mesylate
0004-0257	Orlistat
0004-0259	Mycophenolate Mofetil
0004-0260	Mycophenolate Mofetil
0004-0261	Mycophenolate Mofetil
0004-0298	Mycophenolate Mofetil
0004-0800	Oseltamivir Phosphate
0004-0801	Oseltamivir Phosphate
0004-0802	Oseltamivir Phosphate
0004-0820	Oseltamivir Phosphate
0004-0822	Oseltamivir Phosphate
0004-1963	Ceftriaxone Sodium
0004-1964	Ceftriaxone Sodium
0004-6202	Naproxen
0004-6203	Naproxen
0004-6313	Naproxen
0004-6314	Naproxen
0004-6316	Naproxen
0004-6415	Naproxen
0004-6416	Naproxen
0004-6940	Ganciclovir Sodium
0005-2500	Calcium Polycarbophil
0006-0005	Suvorexant
0006-0019	Lisinopril
0006-0032	Ivermectin
0006-0033	Suvorexant
0006-0071	Finasteride
0006-0072	Finasteride
0006-0106	Lisinopril
0006-0117	Montelukast Sodium
0006-0207	Lisinopril
0006-0266	Rizatriptan Benzoate
0006-0267	Rizatriptan Benzoate
0006-0275	Montelukast Sodium
0006-0325	Suvorexant
0006-0335	Suvorexant
0006-0351	Vorapaxar Sulfate
0006-0461	Aprepitant
0006-0462	Aprepitant
0006-0464	Aprepitant
0006-0533	Sitagliptin Phosphate
0006-0533	Simvastatin
0006-0535	Simvastatin
0006-0535	Sitagliptin Phosphate
0006-0537	Sitagliptin Phosphate
0006-0537	Simvastatin
0006-0568	Vorinostat
0006-0570	Indinavir Sulfate
0006-0571	Indinavir Sulfate
0006-0573	Indinavir Sulfate
0006-0705	Norfloxacin
0006-0711	Montelukast Sodium
0006-0717	Hydrochlorothiazide
0006-0717	Losartan Potassium
0006-0731	Lovastatin
0006-0732	Lovastatin
0006-0745	Losartan Potassium
0006-0745	Hydrochlorothiazide
0006-0747	Hydrochlorothiazide
0006-0747	Losartan Potassium
0006-0753	Simvastatin
0006-0753	Sitagliptin Phosphate
0006-0757	Simvastatin
0006-0757	Sitagliptin Phosphate
0006-0773	Sitagliptin Phosphate
0006-0773	Simvastatin
0006-0951	Losartan Potassium
0006-0952	Losartan Potassium
0006-0960	Losartan Potassium
0006-1711	Montelukast Sodium
0006-3029	Pembrolizumab
0006-3395	Aminohippurate Sodium
0006-3514	Cilastatin Sodium
0006-3514	Imipenem
0006-3516	Imipenem
0006-3516	Cilastatin Sodium
0006-3519	Dorzolamide Hydrochloride
0006-3551	Imipenem
0006-3551	Cilastatin Sodium
0006-3552	Imipenem
0006-3552	Cilastatin Sodium
0006-3628	Timolol Maleate
0006-3628	Dorzolamide Hydrochloride
0006-3629	Dorzolamide Hydrochloride
0006-3629	Timolol Maleate
0006-3800	Rizatriptan Benzoate
0006-3801	Rizatriptan Benzoate
0006-3822	Caspofungin Acetate
0006-3823	Caspofungin Acetate
0006-3841	Montelukast Sodium
0006-3843	Ertapenem Sodium
0006-3845	Ertapenem Sodium
0006-3862	Aprepitant
0006-3884	Fosaprepitant Dimeglumine
0006-3915	Carbidopa
0006-3915	Levodopa
0006-3916	Carbidopa
0006-3916	Levodopa
0006-3917	Carbidopa
0006-3917	Levodopa
0006-3918	Carbidopa
0006-3918	Levodopa
0006-3919	Carbidopa
0006-3919	Levodopa
0006-3931	Tafluprost
0006-3941	Fosaprepitant Dimeglumine
0006-9117	Montelukast Sodium
0006-9275	Montelukast Sodium
0007-3230	Fondaparinux Sodium
0007-3232	Fondaparinux Sodium
0007-3234	Fondaparinux Sodium
0007-3236	Fondaparinux Sodium
0007-3370	Carvedilol Phosphate
0007-3371	Carvedilol Phosphate
0007-3372	Carvedilol Phosphate
0007-3373	Carvedilol Phosphate
0007-3650	Triamterene
0007-3650	Hydrochlorothiazide
0007-4139	Carvedilol
0007-4140	Carvedilol
0007-4141	Carvedilol
0007-4142	Carvedilol
0007-4201	Topotecan Hydrochloride
0007-4205	Topotecan Hydrochloride
0007-4207	Topotecan Hydrochloride
0007-4401	Nelarabine
0007-4407	Argatroban
0007-4640	Eltrombopag Olamine
0007-4641	Eltrombopag Olamine
0007-4642	Eltrombopag Olamine
0007-4643	Eltrombopag Olamine
0007-4646	Eltrombopag Olamine
0007-4882	Ropinirole Hydrochloride
0007-4883	Ropinirole Hydrochloride
0007-4885	Ropinirole Hydrochloride
0007-4887	Ropinirole Hydrochloride
0007-4888	Ropinirole Hydrochloride
0007-4890	Ropinirole Hydrochloride
0007-4891	Ropinirole Hydrochloride
0007-4892	Ropinirole Hydrochloride
0007-4893	Ropinirole Hydrochloride
0007-4894	Ropinirole Hydrochloride
0007-4895	Ropinirole Hydrochloride
0007-4896	Ropinirole Hydrochloride
0007-5180	Retapamulin
0008-0407	North American Coral Snake Antivenin (micrurus Fulvius) (equine)
0008-0606	Pantoprazole Sodium
0008-0607	Pantoprazole Sodium
0008-0841	Pantoprazole Sodium
0008-0843	Pantoprazole Sodium
0008-0844	Pantoprazole Sodium
0008-0923	Pantoprazole Sodium
0008-0941	Pantoprazole Sodium
0008-1030	Sirolimus
0008-1040	Sirolimus
0008-1041	Sirolimus
0008-1042	Sirolimus
0008-1123	Estrogens, Conjugated
0008-1123	Bazedoxifene Acetate
0008-1211	Desvenlafaxine Succinate
0008-1222	Desvenlafaxine Succinate
0008-2001	Pantoprazole Sodium
0008-4001	Pantoprazole Sodium
0008-4117	Ethionamide
0008-4188	Amiodarone Hydrochloride
0008-4990	Tigecycline
0009-0003	Methylprednisolone Sodium Succinate
0009-0005	Hydrocortisone Sodium Succinate
0009-0011	Hydrocortisone Sodium Succinate
0009-0012	Hydrocortisone
0009-0013	Hydrocortisone Sodium Succinate
0009-0016	Hydrocortisone Sodium Succinate
0009-0017	Triazolam
0009-0018	Methylprednisolone Sodium Succinate
0009-0020	Methylprednisolone
0009-0022	Methylprednisolone
0009-0024	Benzphetamine Hydrochloride
0009-0029	Alprazolam
0009-0031	Hydrocortisone
0009-0039	Methylprednisolone Sodium Succinate
0009-0044	Hydrocortisone
0009-0047	Methylprednisolone Sodium Succinate
0009-0049	Methylprednisolone
0009-0050	Medroxyprogesterone Acetate
0009-0055	Alprazolam
0009-0056	Methylprednisolone
0009-0057	Alprazolam
0009-0059	Alprazolam
0009-0064	Medroxyprogesterone Acetate
0009-0066	Alprazolam
0009-0068	Alprazolam
0009-0073	Methylprednisolone
0009-0085	Testosterone Cypionate
0009-0086	Testosterone Cypionate
0009-0090	Alprazolam
0009-0094	Alprazolam
0009-0113	Methylprednisolone Sodium Succinate
0009-0176	Methylprednisolone
0009-0190	Methylprednisolone Sodium Succinate
0009-0233	Bacitracin A
0009-0234	Bacitracin
0009-0241	Bacitracin A
0009-0260	Colestipol Hydrochloride
0009-0271	Estradiol Cypionate
0009-0274	Methylprednisolone Acetate
0009-0280	Methylprednisolone Acetate
0009-0286	Medroxyprogesterone Acetate
0009-0302	Clindamycin Phosphate
0009-0306	Methylprednisolone Acetate
0009-0341	Glyburide
0009-0352	Glyburide
0009-0370	Colestipol Hydrochloride
0009-0436	Arginine Hydrochloride
0009-0450	Colestipol Hydrochloride
0009-0520	Testosterone Cypionate
0009-0602	Clindamycin Phosphate
0009-0626	Medroxyprogesterone Acetate
0009-0698	Methylprednisolone Sodium Succinate
0009-0728	Clindamycin Phosphate
0009-0758	Methylprednisolone Sodium Succinate
0009-0760	Clindamycin Palmitate Hydrochloride
0009-0765	Methylprednisolone Sodium Succinate
0009-0775	Clindamycin Phosphate
0009-0796	Methylprednisolone Sodium Succinate
0009-0825	Hydrocortisone Sodium Succinate
0009-0827	Dinoprostone
0009-0856	Carboprost Tromethamine
0009-0870	Clindamycin Phosphate
0009-0900	Hydrocortisone Sodium Succinate
0009-0901	Clindamycin Phosphate
0009-0902	Clindamycin Phosphate
0009-0909	Hydrocortisone Sodium Succinate
0009-0912	Hydrocortisone Sodium Succinate
0009-0920	Hydrocortisone Sodium Succinate
0009-1111	Irinotecan Hydrochloride
0009-3073	Methylprednisolone Acetate
0009-3116	Clindamycin Phosphate
0009-3124	Clindamycin Phosphate
0009-3169	Alprostadil
0009-3329	Clindamycin Phosphate
0009-3331	Clindamycin Phosphate
0009-3359	Dinoprostone
0009-3375	Clindamycin Phosphate
0009-3381	Clindamycin Phosphate
0009-3382	Clindamycin Phosphate
0009-3389	Methylprednisolone Sodium Succinate
0009-3447	Clindamycin Phosphate
0009-3448	Clindamycin Phosphate
0009-3449	Glyburide
0009-3475	Methylprednisolone Acetate
0009-3701	Alprostadil
0009-3778	Alprostadil
0009-3794	Ibutilide Fumarate
0009-4541	Tolterodine Tartrate
0009-4544	Tolterodine Tartrate
0009-5012	Miglitol
0009-5013	Miglitol
0009-5014	Miglitol
0009-5091	Epirubicin Hydrochloride
0009-5093	Epirubicin Hydrochloride
0009-5131	Alprostadil
0009-5134	Linezolid
0009-5135	Linezolid
0009-5136	Linezolid
0009-5137	Linezolid
0009-5139	Linezolid
0009-5140	Linezolid
0009-5181	Alprostadil
0009-5182	Alprostadil
0009-5190	Tolterodine Tartrate
0009-5191	Tolterodine Tartrate
0009-5400	Nicotine
0009-5401	Nicotine
0009-7224	Equine Thymocyte Immune Globulin
0009-7529	Irinotecan Hydrochloride
0009-7663	Exemestane
0009-7667	Clindamycin Phosphate
0009-7686	Alprostadil
0013-0101	Sulfasalazine
0013-0102	Sulfasalazine
0013-0132	Estramustine Phosphate Sodium
0013-2150	Estradiol
0013-2200	Idarubicin Hydrochloride
0013-2201	Idarubicin Hydrochloride
0013-2202	Idarubicin Hydrochloride
0013-2576	Idarubicin Hydrochloride
0013-2586	Idarubicin Hydrochloride
0013-2596	Idarubicin Hydrochloride
0013-5301	Rifabutin
0013-8303	Latanoprost
0013-8717	Dexrazoxane Hydrochloride
0013-8727	Dexrazoxane Hydrochloride
0023-0042	Tazarotene
0023-0066	Prednisolone Acetate
0023-0066	Gentamicin Sulfate
0023-0106	Gentamicin
0023-0106	Prednisolone Acetate
0023-0240	Mineral OIL
0023-0240	Petrolatum
0023-0312	Mineral OIL
0023-0312	Petrolatum
0023-0313	Prednisolone Acetate
0023-0313	Sulfacetamide Sodium
0023-0316	Fluorometholone
0023-0403	Carboxymethylcellulose Sodium
0023-0506	Povidone
0023-0506	Polyvinyl Alcohol
0023-0798	Carboxymethylcellulose Sodium
0023-1145	Botulinum Toxin Type A
0023-2181	Ketorolac Tromethamine
0023-3205	Bimatoprost
0023-3240	Carboxymethylcellulose Sodium
0023-3240	Glycerin
0023-3348	Dexamethasone
0023-3416	Carboxymethylcellulose Sodium
0023-3416	Glycerin
0023-3459	Octinoxate
0023-3459	Octisalate
0023-3459	Oxybenzone
0023-3507	Ketorolac Tromethamine
0023-3513	Trospium Chloride
0023-3615	Gatifloxacin
0023-3616	Bimatoprost
0023-3670	Dapsone
0023-3919	Botulinum Toxin Type A
0023-3921	Botulinum Toxin Type A
0023-4290	Alcaftadine
0023-4307	Glycerin
0023-4307	Polysorbate 80
0023-4307	Carboxymethylcellulose Sodium
0023-4383	Zinc Oxide
0023-4383	Octisalate
0023-4383	Octinoxate
0023-4385	Levobunolol Hydrochloride
0023-4491	Carboxymethylcellulose Sodium
0023-4491	Polysorbate 80
0023-4491	Glycerin
0023-4526	Levobunolol Hydrochloride
0023-4554	Carboxymethylcellulose Sodium
0023-4857	Eflornithine Hydrochloride
0023-4948	Salicylic Acid
0023-4951	Salicylic Acid
0023-4953	Zinc Oxide
0023-4953	Octinoxate
0023-4963	Zinc Oxide
0023-4963	Titanium Dioxide
0023-4964	Zinc Oxide
0023-4964	Octocrylene
0023-4964	Octisalate
0023-4964	Oxybenzone
0023-4964	Octinoxate
0023-4965	Benzoyl Peroxide
0023-7824	Polymyxin B Sulfate
0023-7824	Trimethoprim Sulfate
0023-8335	Tazarotene
0023-8694	Azelaic Acid
0023-8842	Nedocromil Sodium
0023-9155	Tazarotene
0023-9156	Tazarotene
0023-9163	Cyclosporine
0023-9177	Brimonidine Tartrate
0023-9187	Bimatoprost
0023-9201	Epinastine Hydrochloride
0023-9205	Carboxymethylcellulose Sodium
0023-9211	Brimonidine Tartrate
0023-9211	Timolol Maleate
0023-9232	Botulinum Toxin Type A
0023-9236	Tazarotene
0023-9277	Ketorolac Tromethamine
0023-9321	Brimonidine Tartrate
0023-9350	Trospium Chloride
0024-0335	Meperidine Hydrochloride
0024-0337	Meperidine Hydrochloride
0024-0393	Ergocalciferol
0024-0590	Oxaliplatin
0024-0591	Oxaliplatin
0024-1535	Hexachlorophene
0024-1562	Hydroxychloroquine Sulfate
0024-1596	Primaquine Phosphate
0024-2791	Sodium Ferric Gluconate Complex
0024-2792	Sodium Ferric Gluconate Complex
0024-2794	Sodium Ferric Gluconate Complex
0024-4142	Dronedarone
0024-4200	Alfuzosin Hydrochloride
0024-5401	Zolpidem Tartrate
0024-5421	Zolpidem Tartrate
0024-5501	Zolpidem Tartrate
0024-5521	Zolpidem Tartrate
0024-5800	Levocetirizine Dihydrochloride
0024-5801	Levocetirizine Dihydrochloride
0024-5810	Bupropion Hydrobromide
0024-5811	Bupropion Hydrobromide
0024-5812	Bupropion Hydrobromide
0024-5820	Fludarabine Phosphate
0024-5831	Epinephrine
0024-5833	Epinephrine
0024-5840	Ziv-aflibercept
0024-5841	Ziv-aflibercept
0024-5843	Sargramostim
0024-5844	Sargramostim
0024-5850	Irbesartan
0024-5851	Irbesartan
0024-5852	Irbesartan
0024-5855	Hydrochlorothiazide
0024-5855	Irbesartan
0024-5856	Irbesartan
0024-5856	Hydrochlorothiazide
0024-5858	Daunorubicin Hydrochloride
0024-5860	Clofarabine
0024-5862	Plerixafor
0024-5874	Insulin Human
0024-5882	Insulin Human
0024-5884	Insulin Human
0025-0061	Atropine Sulfate
0025-0061	Diphenoxylate Hydrochloride
0025-0066	Diphenoxylate Hydrochloride
0025-0066	Atropine Sulfate
0025-0166	Nafarelin Acetate
0025-1001	Spironolactone
0025-1011	Hydrochlorothiazide
0025-1011	Spironolactone
0025-1021	Spironolactone
0025-1021	Hydrochlorothiazide
0025-1031	Spironolactone
0025-1041	Spironolactone
0025-1381	Oxaprozin
0025-1411	Misoprostol
0025-1411	Diclofenac Sodium
0025-1421	Misoprostol
0025-1421	Diclofenac Sodium
0025-1451	Misoprostol
0025-1461	Misoprostol
0025-1515	Celecoxib
0025-1520	Celecoxib
0025-1525	Celecoxib
0025-1530	Celecoxib
0025-1821	Metronidazole
0025-1831	Metronidazole
0025-1851	Verapamil Hydrochloride
0025-1861	Verapamil Hydrochloride
0025-1891	Verapamil Hydrochloride
0025-1901	Verapamil Hydrochloride
0025-1911	Verapamil Hydrochloride
0025-1942	Metronidazole
0025-1961	Metronidazole
0025-2011	Verapamil Hydrochloride
0025-2021	Verapamil Hydrochloride
0025-2732	Disopyramide Phosphate
0025-2742	Disopyramide Phosphate
0025-2752	Disopyramide Phosphate
0025-2762	Disopyramide Phosphate
0029-1525	Mupirocin
0029-1526	Mupirocin Calcium
0029-1527	Mupirocin Calcium
0029-6571	Clavulanate Potassium
0029-6571	Ticarcillin Disodium
0029-6575	Clavulanate Potassium
0029-6575	Ticarcillin Disodium
0029-6579	Ticarcillin Disodium
0029-6579	Clavulanate Potassium
0031-2234	Phenylephrine Hydrochloride
0031-2234	Dextromethorphan Hydrobromide
0031-2234	Brompheniramine Maleate
0031-2235	Phenylephrine Hydrochloride
0031-2235	Brompheniramine Maleate
0031-2238	Dextromethorphan Hydrobromide
0031-2238	Chlorpheniramine Maleate
0031-2246	Phenylephrine Hydrochloride
0031-2246	Dextromethorphan Hydrobromide
0031-2246	Chlorpheniramine Maleate
0031-2246	Acetaminophen
0031-2247	Phenylephrine Hydrochloride
0031-2247	Diphenhydramine Hydrochloride
0031-2249	Diphenhydramine Hydrochloride
0031-2249	Acetaminophen
0031-2249	Phenylephrine Hydrochloride
0031-2293	Phenylephrine Hydrochloride
0031-2293	Brompheniramine Maleate
0031-8649	Dextromethorphan Hydrobromide
0031-8649	Menthol
0031-8692	Chlorpheniramine Maleate
0031-8692	Dextromethorphan Hydrobromide
0031-8693	Chlorpheniramine Maleate
0031-8693	Dextromethorphan Hydrobromide
0031-8694	Dextromethorphan Hydrobromide
0031-8698	Phenylephrine Hydrochloride
0031-8698	Diphenhydramine Hydrochloride
0031-8712	Dextromethorphan Hydrobromide
0031-8712	Guaifenesin
0031-8713	Phenylephrine Hydrochloride
0031-8713	Dextromethorphan Hydrobromide
0031-8713	Guaifenesin
0031-8715	Dextromethorphan Hydrobromide
0031-8715	Guaifenesin
0031-8716	Guaifenesin
0031-8716	Dextromethorphan Hydrobromide
0031-8716	Phenylephrine Hydrochloride
0031-8717	Dextromethorphan Hydrobromide
0031-8717	Doxylamine Succinate
0031-8719	Guaifenesin
0031-8719	Dextromethorphan Hydrobromide
0031-8721	Phenylephrine Hydrochloride
0031-8721	Acetaminophen
0031-8721	Dextromethorphan Hydrobromide
0031-8722	Acetaminophen
0031-8722	Dextromethorphan Hydrobromide
0031-8722	Doxylamine Succinate
0031-8724	Guaifenesin
0031-8731	Acetaminophen
0031-8731	Phenylephrine Hydrochloride
0031-8732	Acetaminophen
0031-8732	Chlorpheniramine Maleate
0031-8732	Phenylephrine Hydrochloride
0031-8734	Dextromethorphan Hydrobromide
0031-8734	Phenylephrine Hydrochloride
0031-8734	Guaifenesin
0031-8735	Diphenhydramine Hydrochloride
0031-8735	Acetaminophen
0031-8735	Phenylephrine Hydrochloride
0031-8736	Guaifenesin
0031-8736	Dextromethorphan Hydrobromide
0031-8737	Guaifenesin
0031-8737	Dextromethorphan Hydrobromide
0031-8738	Dextromethorphan Hydrobromide
0031-8738	Guaifenesin
0031-8740	Dextromethorphan Hydrobromide
0031-8741	Dextromethorphan Hydrobromide
0031-8742	Dextromethorphan Hydrobromide
0031-8742	Guaifenesin
0031-8742	Phenylephrine Hydrochloride
0032-1101	Perindopril Erbumine
0032-1102	Perindopril Erbumine
0032-1103	Perindopril Erbumine
0032-1203	Pancrelipase Amylase
0032-1203	Pancrelipase Protease
0032-1203	Pancrelipase Lipase
0032-1206	Pancrelipase Amylase
0032-1206	Pancrelipase Protease
0032-1206	Pancrelipase Lipase
0032-1212	Pancrelipase Amylase
0032-1212	Pancrelipase Lipase
0032-1212	Pancrelipase Protease
0032-1224	Pancrelipase Protease
0032-1224	Pancrelipase Amylase
0032-1224	Pancrelipase Lipase
0032-1708	Progesterone
0032-1711	Progesterone
0032-3016	Pancrelipase Lipase
0032-3016	Pancrelipase Protease
0032-3016	Pancrelipase Amylase
0037-0110	Butabarbital Sodium
0037-0113	Butabarbital Sodium
0037-0114	Butabarbital Sodium
0037-0241	Azelastine Hydrochloride
0037-0430	Felbamate
0037-0431	Felbamate
0037-0442	Felbamate
0037-0521	Dyphylline
0037-0731	Dyphylline
0037-1221	Nabilone
0037-2001	Carisoprodol
0037-2250	Carisoprodol
0037-4401	Penicillamine
0037-5001	Torsemide
0037-5005	Torsemide
0037-5010	Torsemide
0037-5020	Torsemide
0037-6010	Zolpidem Tartrate
0037-6050	Zolpidem Tartrate
0037-6820	Sodium Sulfate
0037-6820	Potassium Chloride
0037-6820	Sodium Bicarbonate
0037-6820	Sodium Chloride
0037-6820	Polyethylene Glycol 3350
0037-6822	Pramoxine Hydrochloride
0037-6822	Hydrocortisone Acetate
0037-6823	Pramoxine Hydrochloride
0037-6824	Hydrocortisone Acetate
0037-6824	Pramoxine Hydrochloride
0037-6885	Heme Iron Polypeptide
0037-6885	Folic Acid
0037-6885	Iron Dextran
0037-6885	Cyanocobalamin
0037-7025	Azelastine Hydrochloride
0037-8110	Alprostadil
0037-8120	Alprostadil
0037-8130	Alprostadil
0037-8140	Alprostadil
0039-0017	Cefotaxime Sodium
0039-0018	Cefotaxime Sodium
0039-0019	Cefotaxime Sodium
0039-0020	Cefotaxime Sodium
0039-0023	Cefotaxime Sodium
0039-0024	Cefotaxime Sodium
0039-0037	Cefotaxime Sodium
0039-0038	Cefotaxime Sodium
0039-0051	Glyburide
0039-0052	Glyburide
0039-0053	Glyburide
0039-0060	Furosemide
0039-0066	Furosemide
0039-0067	Furosemide
0039-0221	Glimepiride
0039-0222	Glimepiride
0039-0223	Glimepiride
0046-0749	Estrogens, Conjugated
0046-0872	Estrogens, Conjugated
0046-1100	Estrogens, Conjugated
0046-1101	Estrogens, Conjugated
0046-1102	Estrogens, Conjugated
0046-1103	Estrogens, Conjugated
0046-1104	Estrogens, Conjugated
0049-0013	Ampicillin Sodium
0049-0013	Sulbactam Sodium
0049-0014	Sulbactam Sodium
0049-0014	Ampicillin Sodium
0049-0022	Ampicillin Sodium
0049-0022	Sulbactam Sodium
0049-0023	Ampicillin Sodium
0049-0023	Sulbactam Sodium
0049-0024	Ampicillin Sodium
0049-0024	Sulbactam Sodium
0049-0031	Sulbactam Sodium
0049-0031	Ampicillin Sodium
0049-0032	Sulbactam Sodium
0049-0032	Ampicillin Sodium
0049-0052	Ziprasidone Hydrochloride
0049-0054	Ziprasidone Hydrochloride
0049-0056	Ziprasidone Hydrochloride
0049-0058	Ziprasidone Hydrochloride
0049-0170	Glipizide
0049-0174	Glipizide
0049-0178	Glipizide
0049-0520	Penicillin G Potassium
0049-0530	Penicillin G Potassium
0049-1550	Glipizide
0049-1560	Glipizide
0049-1620	Glipizide
0049-2100	Meclizine Hydrochloride
0049-2110	Meclizine Hydrochloride
0049-2140	Meclizine Hydrochloride
0049-2710	Doxazosin Mesylate
0049-2720	Doxazosin Mesylate
0049-2750	Doxazosin Mesylate
0049-2760	Doxazosin Mesylate
0049-2770	Doxazosin Mesylate
0049-2780	Doxazosin Mesylate
0049-3160	Voriconazole
0049-3170	Voriconazole
0049-3180	Voriconazole
0049-3190	Voriconazole
0049-3371	Fluconazole
0049-3372	Fluconazole
0049-3410	Fluconazole
0049-3420	Fluconazole
0049-3430	Fluconazole
0049-3435	Fluconazole
0049-3436	Fluconazole
0049-3437	Fluconazole
0049-3438	Fluconazole
0049-3440	Fluconazole
0049-3450	Fluconazole
0049-3500	Fluconazole
0049-3920	Ziprasidone Hydrochloride
0049-3960	Ziprasidone Hydrochloride
0049-3970	Ziprasidone Hydrochloride
0049-3980	Ziprasidone Hydrochloride
0049-3990	Ziprasidone Hydrochloride
0049-4110	Glipizide
0049-4120	Glipizide
0049-4190	Voriconazole
0049-4900	Sertraline Hydrochloride
0049-4910	Sertraline Hydrochloride
0049-4940	Sertraline Hydrochloride
0049-4960	Sertraline Hydrochloride
0049-5460	Hydroxyzine Hydrochloride
0049-5710	Thiothixene
0049-5720	Thiothixene
0049-5730	Thiothixene
0049-5740	Thiothixene
0049-5750	Thiothixene
0049-5770	Thiothixene
0051-8425	Testosterone
0051-8450	Testosterone
0051-8462	Testosterone
0051-8488	Testosterone
0052-0105	Mirtazapine
0052-0106	Mirtazapine
0052-0107	Mirtazapine
0052-0108	Mirtazapine
0052-0109	Mirtazapine
0052-0110	Mirtazapine
0052-0118	Asenapine Maleate
0052-0119	Asenapine Maleate
0052-0272	Etonogestrel
0052-0273	Etonogestrel
0052-0273	Ethinyl Estradiol
0052-0274	Etonogestrel
0052-0301	Ganirelix Acetate
0052-0308	Follitropin
0052-0309	Follitropin
0052-0313	Follitropin
0052-0316	Follitropin
0052-0326	Follitropin
0052-0450	Rocuronium Bromide
0052-0602	Bacillus Calmette-guerin Substrain Tice Live Antigen
0052-2139	Asenapine Maleate
0052-2142	Asenapine Maleate
0052-4330	Etonogestrel
0053-6871	Desmopressin Acetate
0053-7596	Human Immunoglobulin G
0054-0002	Fluconazole
0054-0003	Fluconazole
0054-0007	Calcitriol
0054-0010	Flecainide Acetate
0054-0011	Flecainide Acetate
0054-0012	Flecainide Acetate
0054-0017	Prednisone
0054-0018	Prednisone
0054-0019	Prednisone
0054-0020	Lithium Carbonate
0054-0021	Lithium Carbonate
0054-0025	Mefloquine Hydrochloride
0054-0045	Ipratropium Bromide
0054-0046	Ipratropium Bromide
0054-0052	Zidovudine
0054-0056	Pilocarpine Hydrochloride
0054-0057	Digoxin
0054-0062	Citalopram Hydrobromide
0054-0063	Risperidone
0054-0077	Torsemide
0054-0079	Balsalazide Disodium
0054-0080	Exemestane
0054-0084	Zaleplon
0054-0085	Zaleplon
0054-0086	Zolpidem Tartrate
0054-0087	Zolpidem Tartrate
0054-0088	Calcium Acetate
0054-0097	Oxcarbazepine
0054-0098	Oxcarbazepine
0054-0099	Oxcarbazepine
0054-0100	Amlodipine Besylate
0054-0101	Amlodipine Besylate
0054-0102	Amlodipine Besylate
