product_ndc	name
0037-0241	Astelin
0037-0430	Felbatol
0037-0431	Felbatol
0037-0442	Felbatol
0037-0521	Lufyllin
0037-0731	Lufyllin
0037-1221	Cesamet
0037-2001	Soma
0037-2250	Soma
0037-4401	Depen
0037-5001	Demadex
0037-5005	Demadex
0037-5010	Demadex
0037-5020	Demadex
0037-6010	Edluar
0037-6050	Edluar
0037-6820	Colyte
0037-6822	Proctofoam HC
0037-6823	Proctofoam NS
0037-6824	Epifoam
0037-6885	Biferarx
0037-7025	Optivar
0037-8110	Muse
0037-8120	Muse
0037-8130	Muse
0037-8140	Muse
0039-0017	Claforan
0039-0018	Claforan
0039-0019	Claforan
0039-0020	Claforan
0039-0023	Claforan
0039-0024	Claforan
0039-0037	Claforan
0039-0038	Claforan
0039-0051	Diabeta
0039-0052	Diabeta
0039-0053	Diabeta
0039-0060	Lasix
0039-0066	Lasix
0039-0067	Lasix
0039-0221	Amaryl
0039-0222	Amaryl
0039-0223	Amaryl
0046-0749	Premarin
0046-0872	Premarin Vaginal
0046-1065	Phospholine Iodide Ophthalmic
0046-1100	Premarin
0046-1101	Premarin
0046-1102	Premarin
0046-1103	Premarin
0046-1104	Premarin
0049-0013	Unasyn
0049-0014	Unasyn
0049-0022	Unasyn
0049-0023	Unasyn
0049-0024	Unasyn
0049-0031	Unasyn
0049-0032	Unasyn
0049-0052	Geodon
0049-0054	Geodon
0049-0056	Geodon
0049-0058	Geodon
0049-0170	Glucotrol XL
0049-0174	Glucotrol XL
0049-0178	Glucotrol XL
0049-0520	Pfizerpen
0049-0530	Pfizerpen
0049-1550	Glucotrol XL
0049-1560	Glucotrol XL
0049-1620	Glucotrol XL
0049-2100	Antivert
0049-2110	Antivert
0049-2140	Antivert
0049-2710	Cardura XL
0049-2720	Cardura XL
0049-2750	Cardura
0049-2760	Cardura
0049-2770	Cardura
0049-2780	Cardura
0049-3160	Vfend
0049-3170	Vfend
0049-3180	Vfend
0049-3190	Vfend
0049-3371	Diflucan
0049-3372	Diflucan
0049-3410	Diflucan
0049-3420	Diflucan
0049-3430	Diflucan
0049-3435	Diflucan
0049-3436	Diflucan
0049-3437	Diflucan
0049-3438	Diflucan
0049-3440	Diflucan
0049-3450	Diflucan
0049-3500	Diflucan
0049-3920	Geodon
0049-3960	Geodon
0049-3970	Geodon
0049-3980	Geodon
0049-3990	Geodon
0049-4110	Glucotrol
0049-4120	Glucotrol
0049-4190	Vfend
0049-4900	Zoloft
0049-4910	Zoloft
0049-4940	Zoloft
0049-4960	Zoloft
0049-5460	Vistaril
0049-5710	Navane
0049-5720	Navane
0049-5730	Navane
0049-5740	Navane
0049-5750	Navane
0049-5770	Navane
0051-8425	Androgel
0051-8450	Androgel
0051-8462	Androgel
0051-8488	Androgel
0052-0105	Remeron
0052-0106	Remeronsoltab
0052-0107	Remeron
0052-0108	Remeronsoltab
0052-0109	Remeron
0052-0110	Remeronsoltab
0052-0118	Saphris
0052-0119	Saphris
0052-0261	Desogen
0052-0272	Implanon
0052-0273	Nuvaring
0052-0274	Nexplanon
0052-0283	Cyclessa
0052-0301	Ganirelix Acetate
0052-0308	Follistim AQ
0052-0309	Follistim AQ
0052-0313	Follistim AQ
0052-0315	Pregnyl
0052-0316	Follistim AQ
0052-0326	Follistim AQ
0052-0450	Zemuron
0052-0602	Tice BCG
0052-2139	Saphris
0052-2142	Saphris
0052-4330	Nexplanon
0053-6871	Stimate
0053-7596	Vivaglobin
0054-0002	Fluconazole
0054-0003	Fluconazole
0054-0007	Calcitriol
0054-0010	Flecainide Acetate
0054-0011	Flecainide Acetate
0054-0012	Flecainide Acetate
0054-0017	Prednisone
0054-0018	Prednisone
0054-0019	Prednisone
0054-0020	Lithium Carbonate
0054-0021	Lithium Carbonate
0054-0025	Mefloquine Hydrochloride
0054-0045	Ipratropium Bromide
0054-0046	Ipratropium Bromide
0054-0052	Zidovudine
0054-0056	Pilocarpine Hydrochloride
0054-0057	Digoxin
0054-0062	Citalopram
0054-0063	Risperidone
0054-0077	Torsemide
0054-0079	Balsalazide Disodium
0054-0080	Exemestane
0054-0084	Zaleplon
0054-0085	Zaleplon
0054-0086	Zolpidem Tartrate
0054-0087	Zolpidem Tartrate
0054-0088	Calcium Acetate
0054-0097	Oxcarbazepine
0054-0098	Oxcarbazepine
0054-0099	Oxcarbazepine
0054-0100	Amlodipine Besylate
0054-0101	Amlodipine Besylate
0054-0102	Amlodipine Besylate
0054-0106	Ramipril
0054-0107	Ramipril
0054-0108	Ramipril
0054-0109	Ramipril
0054-0110	Perindopril Erbumine
0054-0111	Perindopril Erbumine
0054-0112	Perindopril Erbumine
0054-0114	Valacyclovir Hydrochloride
0054-0115	Valacyclovir Hydrochloride
0054-0116	Ropinirole
0054-0117	Ropinirole
0054-0118	Ropinirole
0054-0119	Ropinirole
0054-0120	Ropinirole
0054-0121	Ropinirole
0054-0122	Ropinirole
0054-0123	Losartan Potassium
0054-0124	Losartan Potassium
0054-0125	Losartan Potassium
0054-0126	Losartan Potassium and Hydrochlorothiazide
0054-0127	Losartan Potassium and Hydrochlorothiazide
0054-0137	Galantamine Hydrobromide Oral Solution
0054-0140	Acarbose
0054-0141	Acarbose
0054-0142	Acarbose
0054-0143	Granisetron Hydrochloride
0054-0163	Mycophenolate Mofetil
0054-0164	Anastrozole
0054-0166	Mycophenolate Mofetil
0054-0196	Famciclovir
0054-0197	Famciclovir
0054-0198	Famciclovir
0054-0199	Oxcarbazepine
0054-0210	Protriptyline Hydrochloride
0054-0211	Protriptyline Hydrochloride
0054-0220	Quetiapine Fumarate
0054-0221	Quetiapine Fumarate
0054-0222	Quetiapine Fumarate
0054-0223	Quetiapine Fumarate
0054-0224	Levetiracetam
0054-0228	Meloxicam
0054-0229	Quetiapine Fumarate
0054-0230	Quetiapine Fumarate
0054-0235	Morphine Sulfate
0054-0236	Morphine Sulfate
0054-0237	Morphine Sulfate
0054-0238	Morphine Sulfate
0054-0243	Codeine Sulfate
0054-0244	Codeine Sulfate
0054-0245	Codeine Sulfate
0054-0250	Irbesartan
0054-0251	Irbesartan
0054-0252	Irbesartan
0054-0254	Irbesartan and Hydrochlorothiazide
0054-0255	Irbesartan and Hydrochlorothiazide
0054-0259	Montelukast Sodium
0054-0264	Hydromorphone Hydrochloride
0054-0265	Hydromorphone Hydrochloride
0054-0269	Letrozole
0054-0273	Imipramine Pamoate
0054-0274	Imipramine Pamoate
0054-0275	Imipramine Pamoate
0054-0276	Imipramine Pamoate
0054-0277	Losartan Potassium and Hydrochlorothiazide
0054-0278	Naratriptan
0054-0279	Naratriptan
0054-0283	Oxymorphone Hydrochloride
0054-0284	Oxymorphone Hydrochloride
0054-0288	Montelukast Sodium
0054-0289	Montelukast Sodium
0054-0290	Eszopiclone
0054-0291	Eszopiclone
0054-0292	Eszopiclone
0054-0334	Cevimeline Hydrochloride
0054-0338	Doxercalciferol
0054-0339	Doxercalciferol
0054-0347	Tinidazole
0054-0348	Tinidazole
0054-0379	Sodium Polystyrene Sulfonate
0054-0382	Cyclophosphamide
0054-0383	Cyclophosphamide
0054-0386	Hydromorphone Hydrochloride
0054-0388	Doxercalciferol
0054-0391	Methadone Hydrochloride
0054-0392	Methadone Hydrochloride
0054-0404	Morphine Sulfate
0054-0434	Dipyridamole
0054-0435	Dipyridamole
0054-0436	Dipyridamole
0054-0438	Levorphanol Tartrate
0054-0450	Nevirapine
0054-0459	Nevirapine
0054-0522	Oxycodone Hydrochloride
0054-0542	Telmisartan
0054-0543	Telmisartan
0054-0544	Telmisartan
0054-0545	Telmisartan and Hydrochlorothiazide
0054-0546	Telmisartan and Hydrochlorothiazide
0054-0547	Telmisartan and Hydrochlorothiazide
0054-0551	Oxycodone and Acetaminophen
0054-2526	Lithium Carbonate
0054-2527	Lithium Carbonate
0054-2531	Lithium Carbonate
0054-2795	Oxycodone Hydrochloride and Acetaminophen
0054-3025	Acetylcysteine
0054-3026	Acetylcysteine
0054-3027	Acetylcysteine
0054-3028	Acetylcysteine
0054-3068	Alprazolam
0054-3090	Butorphanol Tartrate
0054-3117	Calcium Carbonate
0054-3120	Calcitriol
0054-3176	Dexamethasone Intensol
0054-3177	Dexamethasone Intensol
0054-3185	Diazepam Intensol
0054-3188	Diazepam Intensol
0054-3194	Diphenoxylate Hydrochloride and Atropine Sulfate
0054-3270	Fluticasone Propionate
0054-3294	Furosemide
0054-3298	Furosemide
0054-3486	Lactulose
0054-3500	Lidocaine Viscous
0054-3505	Lidocaine Hydrochloride
0054-3527	Lithium Carbonate
0054-3532	Lorazepam
0054-3542	Megestrol Acetate
0054-3545	Meperidine Hydrochloride
0054-3553	Methadone Hydrochloride
0054-3555	Methadone Hydrochloride
0054-3556	Methadone Hydrochloride
0054-3566	Midazolam Hydrochloride
0054-3567	Milk of Magnesia
0054-3686	Roxicet
0054-3721	Prednisone
0054-3722	Prednisone
0054-3727	Propranolol Hydrochloride
0054-3730	Propranolol Hydrochloride
0054-4084	Azathioprine
0054-4120	Calcium Carbonate
0054-4129	Cyclophosphamide
0054-4130	Cyclophosphamide
0054-4146	Clotrimazole
0054-4179	Dexamethasone Intensol
0054-4180	Dexamethasone Intensol
0054-4181	Dexamethasone Intensol
0054-4182	Dexamethasone Intensol
0054-4183	Dexamethasone Intensol
0054-4184	Dexamethasone Intensol
0054-4186	Dexamethasone Intensol
0054-4218	Dolophine
0054-4219	Dolophine
0054-4297	Furosemide
0054-4299	Furosemide
0054-4301	Furosemide
0054-4496	Leucovorin Calcium
0054-4497	Leucovorin Calcium
0054-4498	Leucovorin Calcium
0054-4499	Leucovorin Calcium
0054-4527	Lithium Carbonate
0054-4538	Diskets
0054-4550	Methotrexate Sodium
0054-4570	Methadone Hydrochloride
0054-4571	Methadone Hydrochloride
0054-4581	Mercaptopurine
0054-4595	Meperidine Hydrochloride
0054-4596	Meperidine Hydrochloride
0054-4603	Megestrol Acetate
0054-4604	Megestrol Acetate
0054-4650	Roxicet
0054-4721	Propantheline Bromide
0054-4728	Prednisone
0054-4741	Prednisone
0054-4742	Prednisone
0054-4784	Roxicet
0054-4858	Triazolam
0054-4859	Triazolam
0054-8084	Azathioprine
0054-8120	Calcium Carbonate
0054-8146	Clotrimazole
0054-8174	Dexamethasone Intensol
0054-8175	Dexamethasone Intensol
0054-8176	Dexamethasone Intensol
0054-8179	Dexamethasone Intensol
0054-8180	Dexamethasone Intensol
0054-8181	Dexamethasone Intensol
0054-8183	Dexamethasone Intensol
0054-8207	Diazepam Intensol
0054-8297	Furosemide
0054-8298	Furosemide
0054-8299	Furosemide
0054-8301	Furosemide
0054-8486	Lactulose
0054-8496	Leucovorin Calcium
0054-8500	Lidocaine Viscous
0054-8526	Lithium Carbonate
0054-8527	Lithium Carbonate
0054-8528	Lithium Carbonate
0054-8529	Lithium Carbonate
0054-8531	Lithium Carbonate
0054-8550	Methotrexate Sodium
0054-8553	Methadone Hydrochloride
0054-8554	Methadone Hydrochloride
0054-8595	Meperidine Hydrochloride
0054-8603	Megestrol Acetate
0054-8604	Megestrol Acetate
0054-8648	Roxicet
0054-8650	Roxicet
0054-8722	Prednisone
0054-8724	Prednisone
0054-8739	Prednisone
0054-8740	Prednisone
0054-8858	Triazolam
0054-8859	Triazolam
0056-0168	Coumadin
0056-0169	Coumadin
0056-0170	Coumadin
0056-0172	Coumadin
0056-0173	Coumadin
0056-0174	Coumadin
0056-0176	Coumadin
0056-0188	Coumadin
0056-0189	Coumadin
0056-0470	Sustiva
0056-0474	Sustiva
0056-0510	Sustiva
0062-0165	Retin-a
0062-0175	Retin-a
0062-0187	Renova
0062-0190	Retin-a Micro
0062-0204	Retin-a Micro
0062-0275	Retin-a
0062-0475	Retin-a
0062-0575	Retin-a
0062-2080	Axert
0062-2085	Axert
0062-5350	Terazol 7
0062-5351	Terazol 7
0062-5356	Terazol 7
0064-0300	Proshield Plus Skin Protectant
0064-0810	Regranex
