product_ndc	type_name
0013-2626	Human Prescription Drug
0013-2646	Human Prescription Drug
0013-2649	Human Prescription Drug
0013-2650	Human Prescription Drug
0013-2651	Human Prescription Drug
0013-2652	Human Prescription Drug
0013-2653	Human Prescription Drug
0013-2654	Human Prescription Drug
0013-2655	Human Prescription Drug
0013-2656	Human Prescription Drug
0013-2657	Human Prescription Drug
0013-2658	Human Prescription Drug
0013-5301	Human Prescription Drug
0013-8303	Human Prescription Drug
0013-8717	Human Prescription Drug
0013-8727	Human Prescription Drug
0023-0042	Human Prescription Drug
0023-0066	Human Prescription Drug
0023-0106	Human Prescription Drug
0023-0240	Human OTC Drug
0023-0312	Human OTC Drug
0023-0313	Human Prescription Drug
0023-0316	Human Prescription Drug
0023-0403	Human OTC Drug
0023-0506	Human OTC Drug
0023-0798	Human OTC Drug
0023-1145	Human Prescription Drug
0023-2181	Human Prescription Drug
0023-3205	Human Prescription Drug
0023-3240	Human OTC Drug
0023-3348	Human Prescription Drug
0023-3416	Human OTC Drug
0023-3459	Human OTC Drug
0023-3507	Human Prescription Drug
0023-3513	Human Prescription Drug
0023-3615	Human Prescription Drug
0023-3616	Human Prescription Drug
0023-3670	Human Prescription Drug
0023-3919	Human Prescription Drug
0023-3921	Human Prescription Drug
0023-4290	Human Prescription Drug
0023-4307	Human OTC Drug
0023-4383	Human OTC Drug
0023-4385	Human Prescription Drug
0023-4491	Human OTC Drug
0023-4526	Human Prescription Drug
0023-4554	Human OTC Drug
0023-4857	Human Prescription Drug
0023-4948	Human OTC Drug
0023-4951	Human OTC Drug
0023-4953	Human OTC Drug
0023-4963	Human OTC Drug
0023-4964	Human OTC Drug
0023-4965	Human OTC Drug
0023-7824	Human Prescription Drug
0023-8335	Human Prescription Drug
0023-8694	Human Prescription Drug
0023-8842	Human Prescription Drug
0023-9155	Human Prescription Drug
0023-9156	Human Prescription Drug
0023-9163	Human Prescription Drug
0023-9177	Human Prescription Drug
0023-9187	Human Prescription Drug
0023-9201	Human Prescription Drug
0023-9205	Human OTC Drug
0023-9211	Human Prescription Drug
0023-9232	Human Prescription Drug
0023-9236	Human Prescription Drug
0023-9277	Human Prescription Drug
0023-9321	Human Prescription Drug
0023-9350	Human Prescription Drug
0024-0222	Human Prescription Drug
0024-0335	Human Prescription Drug
0024-0337	Human Prescription Drug
0024-0393	Human Prescription Drug
0024-0590	Human Prescription Drug
0024-0591	Human Prescription Drug
0024-0605	Human Prescription Drug
0024-0610	Human Prescription Drug
0024-0793	Human Prescription Drug
0024-1535	Human Prescription Drug
0024-1562	Human Prescription Drug
0024-1596	Human Prescription Drug
0024-2791	Human Prescription Drug
0024-2792	Human Prescription Drug
0024-2794	Human Prescription Drug
0024-4142	Human Prescription Drug
0024-4200	Human Prescription Drug
0024-5150	Human Prescription Drug
0024-5151	Human Prescription Drug
0024-5401	Human Prescription Drug
0024-5421	Human Prescription Drug
0024-5501	Human Prescription Drug
0024-5521	Human Prescription Drug
0024-5800	Human Prescription Drug
0024-5801	Human Prescription Drug
0024-5810	Human Prescription Drug
0024-5811	Human Prescription Drug
0024-5812	Human Prescription Drug
0024-5820	Human Prescription Drug
0024-5824	Human Prescription Drug
0024-5831	Human Prescription Drug
0024-5833	Human Prescription Drug
0024-5840	Human Prescription Drug
0024-5841	Human Prescription Drug
0024-5843	Human Prescription Drug
0024-5844	Human Prescription Drug
0024-5850	Human Prescription Drug
0024-5851	Human Prescription Drug
0024-5852	Human Prescription Drug
0024-5855	Human Prescription Drug
0024-5856	Human Prescription Drug
0024-5858	Human Prescription Drug
0024-5860	Human Prescription Drug
0024-5862	Human Prescription Drug
0024-5874	Human Prescription Drug
0024-5882	Human Prescription Drug
0024-5884	Human Prescription Drug
0025-0061	Human Prescription Drug
0025-0066	Human Prescription Drug
0025-0166	Human Prescription Drug
0025-1001	Human Prescription Drug
0025-1011	Human Prescription Drug
0025-1021	Human Prescription Drug
0025-1031	Human Prescription Drug
0025-1041	Human Prescription Drug
0025-1381	Human Prescription Drug
0025-1411	Human Prescription Drug
0025-1421	Human Prescription Drug
0025-1451	Human Prescription Drug
0025-1461	Human Prescription Drug
0025-1515	Human Prescription Drug
0025-1520	Human Prescription Drug
0025-1525	Human Prescription Drug
0025-1530	Human Prescription Drug
0025-1821	Human Prescription Drug
0025-1831	Human Prescription Drug
0025-1851	Human Prescription Drug
0025-1861	Human Prescription Drug
0025-1891	Human Prescription Drug
0025-1901	Human Prescription Drug
0025-1911	Human Prescription Drug
0025-1942	Human Prescription Drug
0025-1961	Human Prescription Drug
0025-2011	Human Prescription Drug
0025-2021	Human Prescription Drug
0025-2732	Human Prescription Drug
0025-2742	Human Prescription Drug
0025-2752	Human Prescription Drug
0025-2762	Human Prescription Drug
0029-1525	Human Prescription Drug
0029-1526	Human Prescription Drug
0029-1527	Human Prescription Drug
0029-6571	Human Prescription Drug
0029-6575	Human Prescription Drug
0029-6579	Human Prescription Drug
0031-2234	Human OTC Drug
0031-2235	Human OTC Drug
0031-2238	Human OTC Drug
0031-2246	Human OTC Drug
0031-2247	Human OTC Drug
0031-2249	Human OTC Drug
0031-2293	Human OTC Drug
0031-8649	Human OTC Drug
0031-8692	Human OTC Drug
0031-8693	Human OTC Drug
0031-8694	Human OTC Drug
0031-8698	Human OTC Drug
0031-8712	Human OTC Drug
0031-8713	Human OTC Drug
0031-8715	Human OTC Drug
0031-8716	Human OTC Drug
0031-8717	Human OTC Drug
0031-8719	Human OTC Drug
0031-8721	Human OTC Drug
0031-8722	Human OTC Drug
0031-8724	Human OTC Drug
0031-8731	Human OTC Drug
0031-8732	Human OTC Drug
0031-8734	Human OTC Drug
0031-8735	Human OTC Drug
0031-8736	Human OTC Drug
0031-8737	Human OTC Drug
0031-8738	Human OTC Drug
0031-8740	Human OTC Drug
0031-8741	Human OTC Drug
0031-8742	Human OTC Drug
0032-1101	Human Prescription Drug
0032-1102	Human Prescription Drug
0032-1103	Human Prescription Drug
0032-1203	Human Prescription Drug
0032-1206	Human Prescription Drug
0032-1212	Human Prescription Drug
0032-1224	Human Prescription Drug
0032-1708	Human Prescription Drug
0032-1711	Human Prescription Drug
0032-3016	Human Prescription Drug
0037-0110	Human Prescription Drug
0037-0113	Human Prescription Drug
0037-0114	Human Prescription Drug
0037-0241	Human Prescription Drug
0037-0430	Human Prescription Drug
0037-0431	Human Prescription Drug
0037-0442	Human Prescription Drug
0037-0521	Human Prescription Drug
0037-0731	Human Prescription Drug
0037-1221	Human Prescription Drug
0037-2001	Human Prescription Drug
0037-2250	Human Prescription Drug
0037-4401	Human Prescription Drug
0037-5001	Human Prescription Drug
0037-5005	Human Prescription Drug
0037-5010	Human Prescription Drug
0037-5020	Human Prescription Drug
0037-6010	Human Prescription Drug
0037-6050	Human Prescription Drug
0037-6820	Human Prescription Drug
0037-6822	Human Prescription Drug
0037-6823	Human OTC Drug
0037-6824	Human Prescription Drug
0037-6885	Human Prescription Drug
0037-7025	Human Prescription Drug
0037-8110	Human Prescription Drug
0037-8120	Human Prescription Drug
0037-8130	Human Prescription Drug
0037-8140	Human Prescription Drug
0039-0017	Human Prescription Drug
0039-0018	Human Prescription Drug
0039-0019	Human Prescription Drug
0039-0020	Human Prescription Drug
0039-0023	Human Prescription Drug
0039-0024	Human Prescription Drug
0039-0037	Human Prescription Drug
0039-0038	Human Prescription Drug
0039-0051	Human Prescription Drug
0039-0052	Human Prescription Drug
0039-0053	Human Prescription Drug
0039-0060	Human Prescription Drug
0039-0066	Human Prescription Drug
0039-0067	Human Prescription Drug
0039-0221	Human Prescription Drug
0039-0222	Human Prescription Drug
0039-0223	Human Prescription Drug
0046-0749	Human Prescription Drug
0046-0872	Human Prescription Drug
0046-1065	Human Prescription Drug
0046-1100	Human Prescription Drug
0046-1101	Human Prescription Drug
0046-1102	Human Prescription Drug
0046-1103	Human Prescription Drug
0046-1104	Human Prescription Drug
0049-0013	Human Prescription Drug
0049-0014	Human Prescription Drug
0049-0022	Human Prescription Drug
0049-0023	Human Prescription Drug
0049-0024	Human Prescription Drug
0049-0031	Human Prescription Drug
0049-0032	Human Prescription Drug
0049-0052	Human Prescription Drug
0049-0054	Human Prescription Drug
0049-0056	Human Prescription Drug
0049-0058	Human Prescription Drug
0049-0170	Human Prescription Drug
0049-0174	Human Prescription Drug
0049-0178	Human Prescription Drug
0049-0520	Human Prescription Drug
0049-0530	Human Prescription Drug
0049-1550	Human Prescription Drug
0049-1560	Human Prescription Drug
0049-1620	Human Prescription Drug
0049-2100	Human Prescription Drug
0049-2110	Human Prescription Drug
0049-2140	Human Prescription Drug
0049-2710	Human Prescription Drug
0049-2720	Human Prescription Drug
0049-2750	Human Prescription Drug
0049-2760	Human Prescription Drug
0049-2770	Human Prescription Drug
0049-2780	Human Prescription Drug
0049-3160	Human Prescription Drug
0049-3170	Human Prescription Drug
0049-3180	Human Prescription Drug
0049-3190	Human Prescription Drug
0049-3371	Human Prescription Drug
0049-3372	Human Prescription Drug
0049-3410	Human Prescription Drug
0049-3420	Human Prescription Drug
0049-3430	Human Prescription Drug
0049-3435	Human Prescription Drug
0049-3436	Human Prescription Drug
0049-3437	Human Prescription Drug
0049-3438	Human Prescription Drug
0049-3440	Human Prescription Drug
0049-3450	Human Prescription Drug
0049-3500	Human Prescription Drug
0049-3920	Human Prescription Drug
0049-3960	Human Prescription Drug
0049-3970	Human Prescription Drug
0049-3980	Human Prescription Drug
0049-3990	Human Prescription Drug
0049-4110	Human Prescription Drug
0049-4120	Human Prescription Drug
0049-4190	Human Prescription Drug
0049-4900	Human Prescription Drug
0049-4910	Human Prescription Drug
0049-4940	Human Prescription Drug
0049-4960	Human Prescription Drug
0049-5460	Human Prescription Drug
0049-5710	Human Prescription Drug
0049-5720	Human Prescription Drug
0049-5730	Human Prescription Drug
0049-5740	Human Prescription Drug
0049-5750	Human Prescription Drug
0049-5770	Human Prescription Drug
0051-8425	Human Prescription Drug
0051-8450	Human Prescription Drug
0051-8462	Human Prescription Drug
0051-8488	Human Prescription Drug
0052-0105	Human Prescription Drug
0052-0106	Human Prescription Drug
0052-0107	Human Prescription Drug
0052-0108	Human Prescription Drug
0052-0109	Human Prescription Drug
0052-0110	Human Prescription Drug
0052-0118	Human Prescription Drug
0052-0119	Human Prescription Drug
0052-0261	Human Prescription Drug
0052-0272	Human Prescription Drug
0052-0273	Human Prescription Drug
0052-0274	Human Prescription Drug
0052-0283	Human Prescription Drug
0052-0301	Human Prescription Drug
0052-0308	Human Prescription Drug
0052-0309	Human Prescription Drug
0052-0313	Human Prescription Drug
0052-0315	Human Prescription Drug
0052-0316	Human Prescription Drug
0052-0326	Human Prescription Drug
0052-0450	Human Prescription Drug
0052-0602	Human Prescription Drug
0052-2139	Human Prescription Drug
0052-2142	Human Prescription Drug
0052-4330	Human Prescription Drug
0053-6871	Human Prescription Drug
0053-7596	Human Prescription Drug
0054-0002	Human Prescription Drug
0054-0003	Human Prescription Drug
0054-0007	Human Prescription Drug
0054-0010	Human Prescription Drug
0054-0011	Human Prescription Drug
0054-0012	Human Prescription Drug
0054-0017	Human Prescription Drug
0054-0018	Human Prescription Drug
0054-0019	Human Prescription Drug
0054-0020	Human Prescription Drug
0054-0021	Human Prescription Drug
0054-0025	Human Prescription Drug
0054-0045	Human Prescription Drug
0054-0046	Human Prescription Drug
0054-0052	Human Prescription Drug
0054-0056	Human Prescription Drug
0054-0057	Human Prescription Drug
0054-0062	Human Prescription Drug
0054-0063	Human Prescription Drug
0054-0077	Human Prescription Drug
0054-0079	Human Prescription Drug
0054-0080	Human Prescription Drug
0054-0084	Human Prescription Drug
0054-0085	Human Prescription Drug
0054-0086	Human Prescription Drug
0054-0087	Human Prescription Drug
0054-0088	Human Prescription Drug
0054-0097	Human Prescription Drug
0054-0098	Human Prescription Drug
0054-0099	Human Prescription Drug
0054-0100	Human Prescription Drug
0054-0101	Human Prescription Drug
0054-0102	Human Prescription Drug
0054-0106	Human Prescription Drug
0054-0107	Human Prescription Drug
0054-0108	Human Prescription Drug
0054-0109	Human Prescription Drug
0054-0110	Human Prescription Drug
0054-0111	Human Prescription Drug
0054-0112	Human Prescription Drug
0054-0114	Human Prescription Drug
0054-0115	Human Prescription Drug
0054-0116	Human Prescription Drug
0054-0117	Human Prescription Drug
0054-0118	Human Prescription Drug
0054-0119	Human Prescription Drug
0054-0120	Human Prescription Drug
0054-0121	Human Prescription Drug
0054-0122	Human Prescription Drug
0054-0123	Human Prescription Drug
0054-0124	Human Prescription Drug
0054-0125	Human Prescription Drug
0054-0126	Human Prescription Drug
0054-0127	Human Prescription Drug
0054-0137	Human Prescription Drug
0054-0140	Human Prescription Drug
0054-0141	Human Prescription Drug
0054-0142	Human Prescription Drug
0054-0143	Human Prescription Drug
0054-0163	Human Prescription Drug
0054-0164	Human Prescription Drug
0054-0166	Human Prescription Drug
0054-0196	Human Prescription Drug
0054-0197	Human Prescription Drug
0054-0198	Human Prescription Drug
0054-0199	Human Prescription Drug
0054-0210	Human Prescription Drug
0054-0211	Human Prescription Drug
0054-0220	Human Prescription Drug
0054-0221	Human Prescription Drug
0054-0222	Human Prescription Drug
0054-0223	Human Prescription Drug
0054-0224	Human Prescription Drug
0054-0228	Human Prescription Drug
0054-0229	Human Prescription Drug
0054-0230	Human Prescription Drug
0054-0235	Human Prescription Drug
0054-0236	Human Prescription Drug
0054-0237	Human Prescription Drug
0054-0238	Human Prescription Drug
0054-0243	Human Prescription Drug
0054-0244	Human Prescription Drug
0054-0245	Human Prescription Drug
0054-0250	Human Prescription Drug
0054-0251	Human Prescription Drug
0054-0252	Human Prescription Drug
0054-0254	Human Prescription Drug
0054-0255	Human Prescription Drug
0054-0259	Human Prescription Drug
0054-0264	Human Prescription Drug
0054-0265	Human Prescription Drug
0054-0269	Human Prescription Drug
0054-0273	Human Prescription Drug
0054-0274	Human Prescription Drug
0054-0275	Human Prescription Drug
0054-0276	Human Prescription Drug
0054-0277	Human Prescription Drug
0054-0278	Human Prescription Drug
0054-0279	Human Prescription Drug
0054-0283	Human Prescription Drug
0054-0284	Human Prescription Drug
0054-0288	Human Prescription Drug
0054-0289	Human Prescription Drug
0054-0290	Human Prescription Drug
0054-0291	Human Prescription Drug
0054-0292	Human Prescription Drug
0054-0334	Human Prescription Drug
0054-0338	Human Prescription Drug
0054-0339	Human Prescription Drug
0054-0347	Human Prescription Drug
0054-0348	Human Prescription Drug
0054-0379	Human Prescription Drug
0054-0382	Human Prescription Drug
0054-0383	Human Prescription Drug
0054-0386	Human Prescription Drug
0054-0388	Human Prescription Drug
0054-0391	Human Prescription Drug
0054-0392	Human Prescription Drug
0054-0404	Human Prescription Drug
0054-0434	Human Prescription Drug
0054-0435	Human Prescription Drug
0054-0436	Human Prescription Drug
0054-0438	Human Prescription Drug
0054-0450	Human Prescription Drug
0054-0459	Human Prescription Drug
0054-0522	Human Prescription Drug
0054-0542	Human Prescription Drug
0054-0543	Human Prescription Drug
0054-0544	Human Prescription Drug
0054-0545	Human Prescription Drug
0054-0546	Human Prescription Drug
0054-0547	Human Prescription Drug
0054-0551	Human Prescription Drug
0054-2526	Human Prescription Drug
0054-2527	Human Prescription Drug
0054-2531	Human Prescription Drug
0054-2795	Human Prescription Drug
0054-3025	Human Prescription Drug
0054-3026	Human Prescription Drug
0054-3027	Human Prescription Drug
0054-3028	Human Prescription Drug
0054-3068	Human Prescription Drug
0054-3090	Human Prescription Drug
0054-3117	Human OTC Drug
0054-3120	Human Prescription Drug
0054-3176	Human Prescription Drug
0054-3177	Human Prescription Drug
