NDC Description	NDC	NADAC Per Unit	Effective Date	Pricing Unit	Pharmacy Type Indicator	OTC	Explanation Code	Classification for Rate Setting	Corresponding Generic Drug NADAC Per Unit	Corresponding Generic Drug Effective Date
ACCUPRIL 10 MG TABLET	00071053040	2.99259	06/01/2015	EA	C/I	N	4	B	0.15211	06/17/2015	
ACCUPRIL 20 MG TABLET	00071053223	3.01058	06/01/2015	EA	C/I	N	4	B	0.14587	06/17/2015	
ACCUPRIL 20 MG TABLET	00071053240	3.01058	06/01/2015	EA	C/I	N	4	B	0.14587	06/17/2015	
ACCUPRIL 40 MG TABLET	00071053523	3.00972	06/01/2015	EA	C/I	N	4	B	0.15320	06/17/2015	
ACEBUTOLOL 200 MG CAPSULE	00378120001	0.17800	06/17/2015	EA	C/I	N	1	G			
ACEBUTOLOL 200 MG CAPSULE	65162066910	0.17800	06/17/2015	EA	C/I	N	1	G			
ACEBUTOLOL 400 MG CAPSULE	00378140001	0.21829	06/17/2015	EA	C/I	N	1	G			
ACEBUTOLOL 400 MG CAPSULE	65162067010	0.21829	06/17/2015	EA	C/I	N	1	G			
ACEPHEN 120 MG SUPPOSITORY	00713011801	0.34245	06/17/2015	EA	C/I	Y	1	G			
ACEPHEN 120 MG SUPPOSITORY	00713011812	0.34245	06/17/2015	EA	C/I	Y	1	G			
ACEPHEN 120 MG SUPPOSITORY	00713011850	0.34245	06/17/2015	EA	C/I	Y	1	G			
ACEPHEN 325 MG SUPPOSITORY	00713016401	0.51972	06/17/2015	EA	C/I	Y	1	G			
ACEPHEN 325 MG SUPPOSITORY	00713016412	0.51972	06/17/2015	EA	C/I	Y	1	G			
ACEPHEN 325 MG SUPPOSITORY	00713016450	0.51972	06/17/2015	EA	C/I	Y	1	G			
ACEPHEN 650 MG SUPPOSITORY	00713016501	0.39393	06/17/2015	EA	C/I	Y	1	G			
ACEPHEN 650 MG SUPPOSITORY	00713016512	0.39393	06/17/2015	EA	C/I	Y	1	G			
ACEPHEN 650 MG SUPPOSITORY	00713016550	0.39393	06/17/2015	EA	C/I	Y	1	G			
ACETA-GESIC 325-12.5 MG TABLET	00536100301	0.01892	04/22/2015	EA	C/I	Y	4	G			
ACETA-GESIC 325-12.5 MG TABLET	00536360501	0.01892	04/22/2015	EA	C/I	Y	4	G			
ACETAMINOPHEN 120 MG SUPPOS	45802073230	0.34245	06/17/2015	EA	C/I	Y	1	G			
ACETAMINOPHEN 120 MG SUPPOS	45802073233	0.34245	06/17/2015	EA	C/I	Y	1	G			
ACETAMINOPHEN 325 MG TABLET	51645070301	0.01351	06/17/2015	EA	C/I	Y	1	G			
ACETAMINOPHEN 325 MG TABLET	51645070310	0.01351	06/17/2015	EA	C/I	Y	1	G			
ACETAMINOPHEN 325 MG TABLET	51645070399	0.01351	06/17/2015	EA	C/I	Y	1	G			
ACETAMINOPHEN 325 MG TABLET	63739044001	0.01351	06/17/2015	EA	C/I	Y	1	G			
ACETAMINOPHEN 500 MG CAPLET	10267119001	0.02310	06/17/2015	EA	C/I	Y	1	G			
ACETAMINOPHEN 500 MG CAPLET	10267119004	0.02310	06/17/2015	EA	C/I	Y	1	G			
ACETAMINOPHEN 500 MG CAPLET	10267119005	0.02310	06/17/2015	EA	C/I	Y	1	G			
ACETAMINOPHEN 500 MG CAPLET	10267119006	0.02310	06/17/2015	EA	C/I	Y	1	G			
ACETAMINOPHEN 500 MG CAPLET	45802048478	0.02310	06/17/2015	EA	C/I	Y	1	G			
ACETAMINOPHEN 500 MG CAPLET	45802048490	0.02310	06/17/2015	EA	C/I	Y	1	G			
ACETAMINOPHEN 500 MG CAPLET	51645070501	0.02310	06/17/2015	EA	C/I	Y	1	G			
ACETAMINOPHEN 500 MG CAPLET	51645070510	0.02310	06/17/2015	EA	C/I	Y	1	G			
ACETAMINOPHEN 500 MG TABLET	51645070601	0.02310	06/17/2015	EA	C/I	Y	1	G			
ACETAMINOPHEN 500 MG TABLET	51645070610	0.02310	06/17/2015	EA	C/I	Y	1	G			
ACETAMINOPHEN 650 MG SUPPOS	45802073030	0.39393	06/17/2015	EA	C/I	Y	1	G			
ACETAMINOPHEN 650 MG SUPPOS	45802073032	0.39393	06/17/2015	EA	C/I	Y	1	G			
ACETAMINOPHEN 650 MG SUPPOS	45802073033	0.39393	06/17/2015	EA	C/I	Y	1	G			
ACETAMINOPHEN ER 650 MG TABLET	68084077725	0.06081	06/17/2015	EA	C/I	Y	1	G			
ACETAMINOPHEN PM CAPLET	51645070905	0.03742	06/17/2015	EA	C/I	Y	1	G			
ACETAMINOPHEN-BUTALBITAL 325-50 TAB	00603254021	0.94509	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #2 TABLET	00093005001	0.12116	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #2 TABLET	00406048301	0.12116	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #2 TABLET	00603233721	0.12116	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #2 TABLET	13107005801	0.12116	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	00093015001	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	00093015010	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	00406048401	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	00406048403	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	00406048410	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	00406048420	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	00406048450	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	00406048462	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	00603233802	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	00603233804	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	00603233816	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	00603233820	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	00603233821	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	00603233822	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	00603233832	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	13107005901	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	13107005999	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	51079016101	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	51079016120	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	51079016121	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	63739000410	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	65162003310	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	65162003311	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	68084037201	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #3 TABLET	68084037211	0.10441	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #4 TABLET	00093035001	0.22051	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #4 TABLET	00093035005	0.22051	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #4 TABLET	00093035010	0.22051	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #4 TABLET	00406048501	0.22051	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #4 TABLET	00406048505	0.22051	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #4 TABLET	00603233921	0.22051	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #4 TABLET	00603233928	0.22051	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #4 TABLET	13107006001	0.22051	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #4 TABLET	13107006005	0.22051	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #4 TABLET	13107006099	0.22051	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #4 TABLET	68084037301	0.22051	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-COD #4 TABLET	68084037311	0.22051	06/17/2015	EA	C/I	N	1	G			
ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML SOLUTION	00121050416	0.01238	06/17/2015	ML	C/I	N	"1, 5"	G			
ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML SOLUTION	00603102058	0.01238	06/17/2015	ML	C/I	N	"1, 5"	G			
ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML SOLUTION	00603901358	0.01238	06/17/2015	ML	C/I	N	"1, 5"	G			
ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML SOLUTION	50383007916	0.01238	06/17/2015	ML	C/I	N	"1, 5"	G			
ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML SOLUTION	60432024516	0.01238	06/17/2015	ML	C/I	N	"1, 5"	G			
ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML SOLUTION	00121050404	0.02340	06/17/2015	ML	C/I	N	"1, 5"	G			
ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML SOLUTION	60432024504	0.02340	06/17/2015	ML	C/I	N	"1, 5"	G			
ACETAMINOPHEN-DIPHENHYDRAMINE 500 MG-25 MG TABLET	00536101506	0.03742	06/17/2015	EA	C/I	Y	1	G			
ACETAMINOPHEN-DIPHENHYDRAMINE 500 MG-25 MG TABLET	00536347906	0.03742	06/17/2015	EA	C/I	Y	1	G			
ACETASOL HC EAR DROPS	00472088282	8.95948	06/17/2015	ML	C/I	N	"1, 5"	G			
ACETAZOLAMIDE 125 MG TABLET	51672402201	1.68603	06/17/2015	EA	C/I	N	1	G			
ACETAZOLAMIDE 250 MG TABLET	00527105001	2.24013	06/17/2015	EA	C/I	N	1	G			
ACETAZOLAMIDE 250 MG TABLET	51672402301	2.24013	06/17/2015	EA	C/I	N	1	G			
ACETAZOLAMIDE 250 MG TABLET	68084054101	2.24013	06/17/2015	EA	C/I	N	1	G			
ACETAZOLAMIDE 250 MG TABLET	68084054111	2.24013	06/17/2015	EA	C/I	N	1	G			
ACETAZOLAMIDE ER 500 MG CAP	00555051302	2.58189	06/17/2015	EA	C/I	N	"1, 6"	G			
ACETAZOLAMIDE ER 500 MG CAP	23155012001	2.58189	06/17/2015	EA	C/I	N	1	G			
ACETAZOLAMIDE ER 500 MG CAP	68084040111	2.58189	06/17/2015	EA	C/I	N	1	G			
ACETAZOLAMIDE ER 500 MG CAP	68084040121	2.58189	06/17/2015	EA	C/I	N	1	G			
ACETAZOLAMIDE ER 500 MG CAP	68382026101	2.58189	06/17/2015	EA	C/I	N	1	G			
ACETIC ACID 0.25% IRRIG SOLN	00409614309	0.00302	06/18/2014	ML	C/I	N	"4, 5"	G			
ACETIC ACID 2% EAR SOLUTION	00603703841	1.39950	06/17/2015	ML	C/I	N	"1, 5"	G			
ACETIC ACID 2% EAR SOLUTION	50383088915	1.39950	06/17/2015	ML	C/I	N	"1, 5, 6"	G			
ACETIC ACID 2% EAR SOLUTION	60432074115	1.39950	06/17/2015	ML	C/I	N	"1, 5"	G			
ACETIC ACID-ALUMINUM DROPS	24208061577	0.98467	06/17/2015	ML	C/I	N	"1, 5"	G			
ACETYLCYSTEINE 10% VIAL	00409330703	0.30661	06/17/2015	ML	C/I	N	"1, 5"	G			
ACETYLCYSTEINE 10% VIAL	63323069130	0.30661	06/17/2015	ML	C/I	N	"1, 5"	G			
ACETYLCYSTEINE 20% VIAL	00409330803	0.30883	06/17/2015	ML	C/I	N	"1, 5"	G			
ACETYLCYSTEINE 20% VIAL	63323069030	0.30883	06/17/2015	ML	C/I	N	"1, 5"	G			
ACID CONTROL 150 MG TABLET	24385026862	0.14216	06/17/2015	EA	C/I	Y	1	G			
ACID CONTROL 150 MG TABLET	24385026871	0.14216	06/17/2015	EA	C/I	Y	1	G			
ACID CONTROL 150 MG TABLET	46122004162	0.14216	06/17/2015	EA	C/I	Y	1	G			
ACID CONTROL 150 MG TABLET	46122004171	0.14216	06/17/2015	EA	C/I	Y	1	G			
ACID CONTROL 75 MG TABLET	24385029665	0.07309	06/17/2015	EA	C/I	Y	1	G			
ACID CONTROL 75 MG TABLET	24385029672	0.07309	06/17/2015	EA	C/I	Y	1	G			
ACID CONTROLLER 20 MG TABLET	63868048625	0.18160	06/17/2015	EA	C/I	Y	1	G			
ACID GONE ANTACID LIQUID	00904772714	0.01018	04/22/2015	ML	C/I	Y	"4, 5"	G			
ACID GONE TABLET CHEW	00904536560	0.02674	06/17/2015	EA	C/I	Y	1	G			
ACID REDUCER 10 MG TABLET	00113014165	0.12930	06/17/2015	EA	C/I	Y	1	G			
ACID REDUCER 10 MG TABLET	24385025565	0.12930	06/17/2015	EA	C/I	Y	1	G			
ACID REDUCER 10 MG TABLET	24385025572	0.12930	06/17/2015	EA	C/I	Y	1	G			
ACID REDUCER 10 MG TABLET	36800014165	0.12930	06/17/2015	EA	C/I	Y	1	G			
ACID REDUCER 10 MG TABLET	36800014172	0.12930	06/17/2015	EA	C/I	Y	1	G			
ACID REDUCER 10 MG TABLET	37205061465	0.12930	06/17/2015	EA	C/I	Y	1	G			
ACID REDUCER 20 MG TABLET	00113019402	0.18160	06/17/2015	EA	C/I	Y	1	G			
ACID REDUCER 20 MG TABLET	24385038551	0.18160	06/17/2015	EA	C/I	Y	1	G			
ACID REDUCER 20 MG TABLET	24385038563	0.18160	06/17/2015	EA	C/I	Y	1	G			
ACID REDUCER 20 MG TABLET	24385038571	0.18160	06/17/2015	EA	C/I	Y	1	G			
ACID REDUCER 20 MG TABLET	24385038578	0.18160	06/17/2015	EA	C/I	Y	1	G			
ACID REDUCER 20 MG TABLET	36800019402	0.18160	06/17/2015	EA	C/I	Y	1	G			
ACID REDUCER 20 MG TABLET	36800019451	0.18160	06/17/2015	EA	C/I	Y	1	G			
ACID REDUCER 20 MG TABLET	36800019471	0.18160	06/17/2015	EA	C/I	Y	1	G			
ACID REDUCER 20 MG TABLET	37205086163	0.18160	06/17/2015	EA	C/I	Y	1	G			
ACID REDUCER 75 MG TABLET	46122022365	0.07309	06/17/2015	EA	C/I	Y	1	G			
ACID REDUCER 75 MG TABLET	46122022372	0.07309	06/17/2015	EA	C/I	Y	1	G			
ACID REDUCER 75 MG TABLET	51660035230	0.07309	06/17/2015	EA	C/I	Y	1	G			
ACID REDUCER 75 MG TABLET	51660035260	0.07309	06/17/2015	EA	C/I	Y	1	G			
ACIPHEX DR 20 MG TABLET	62856024330	13.52315	01/29/2015	EA	C/I	N	2	B	0.78056	06/17/2015	
ACIPHEX DR 20 MG TABLET	62856024390	13.52315	01/29/2015	EA	C/I	N	2	B	0.78056	06/17/2015	
ACITRETIN 10 MG CAPSULE	00093113556	19.75633	06/17/2015	EA	C/I	N	1	G			
ACITRETIN 10 MG CAPSULE	66993089430	19.75633	06/17/2015	EA	C/I	N	"1, 6"	G			
ACITRETIN 17.5 MG CAPSULE	00093113856	24.16873	02/18/2015	EA	C/I	N	4	G			
ACITRETIN 25 MG CAPSULE	00093113656	23.00822	06/17/2015	EA	C/I	N	1	G			
ACITRETIN 25 MG CAPSULE	66993089630	23.00822	06/17/2015	EA	C/I	N	"1, 6"	G			
ACNE MEDICATION 10% GEL	00536105656	0.06587	06/17/2015	GM	C/I	Y	"1, 5"	G			
ACNE MEDICATION 10% LOTION	00536105875	0.06631	06/17/2015	ML	C/I	Y	"1, 5"	G			
ACNE MEDICATION 5% GEL	00536105556	0.04889	06/17/2015	GM	C/I	Y	"1, 5"	G			
ACNE TREATMENT 10% CREAM	46122004403	0.08257	06/18/2014	GM	C/I	Y	"4, 5"	G			
ACTEMRA 162 MG/0.9 ML SYRINGE	50242013801	765.97667	01/05/2015	ML	C/I	N	"2, 5"	B			
ACTIVE FE TABLET	58809072530	2.89345	06/17/2015	EA	C/I	N	1	G			
ACTONEL 150 MG TABLET	00430047801	239.63621	01/05/2015	EA	C/I	N	2	B	136.63393	06/17/2015	
ACTONEL 150 MG TABLET	00430047802	239.63621	01/05/2015	EA	C/I	N	2	B	136.63393	06/17/2015	
ACTONEL 35 MG TABLET	00430047203	55.48231	10/01/2014	EA	C/I	N	2	B			
ACTONEL 35 MG TABLET	00430047207	55.48231	10/01/2014	EA	C/I	N	2	B			
ACTONEL 5 MG TABLET	00430047115	7.85257	01/05/2015	EA	C/I	N	4	B			
ACTOPLUS MET 15 MG-500 MG TAB	64764015518	7.66223	01/06/2015	EA	C/I	N	4	B	1.73108	06/17/2015	
ACTOPLUS MET 15 MG-500 MG TAB	64764015560	7.66223	01/06/2015	EA	C/I	N	4	B	1.73108	06/17/2015	
ACTOPLUS MET 15 MG-850 MG TAB	64764015818	7.64802	01/06/2015	EA	C/I	N	4	B	1.72923	06/17/2015	
ACTOPLUS MET 15 MG-850 MG TAB	64764015860	7.64802	01/06/2015	EA	C/I	N	4	B	1.72923	06/17/2015	
"ACTOPLUS MET XR 15-1,000 MG TB"	64764051030	8.26597	01/06/2015	EA	C/I	N	4	B			
"ACTOPLUS MET XR 30-1,000 MG TB"	64764031030	16.46268	01/06/2015	EA	C/I	N	2	B			
ACTOS 15 MG TABLET	64764015104	10.03407	01/06/2015	EA	C/I	N	4	B	0.16026	06/17/2015	
ACTOS 15 MG TABLET	64764015105	10.03407	01/06/2015	EA	C/I	N	4	B	0.16026	06/17/2015	
ACTOS 15 MG TABLET	64764015106	10.03407	01/06/2015	EA	C/I	N	4	B	0.16026	06/17/2015	
ACTOS 30 MG TABLET	64764030114	15.28989	01/06/2015	EA	C/I	N	4	B	0.22138	06/17/2015	
ACTOS 30 MG TABLET	64764030115	15.28989	01/06/2015	EA	C/I	N	4	B	0.22138	06/17/2015	
ACTOS 30 MG TABLET	64764030116	15.28989	01/06/2015	EA	C/I	N	4	B	0.22138	06/17/2015	
ACTOS 45 MG TABLET	64764045124	16.82310	01/06/2015	EA	C/I	N	4	B	0.24849	06/17/2015	
ACTOS 45 MG TABLET	64764045125	16.82310	01/06/2015	EA	C/I	N	4	B	0.24849	06/17/2015	
ACTOS 45 MG TABLET	64764045126	16.82310	01/06/2015	EA	C/I	N	4	B	0.24849	06/17/2015	
ACULAR 0.5% EYE DROPS	00023218105	39.99629	05/30/2015	ML	C/I	N	"4, 5"	B	1.77076	06/17/2015	
ACULAR LS 0.4% OPHTH SOL	00023927705	41.17881	05/30/2015	ML	C/I	N	"4, 5"	B	9.01026	06/17/2015	
ACUVAIL 0.45% OPHTH SOLUTION	00023350730	7.45002	05/30/2015	EA	C/I	N	"4, 5"	B			
ACYCLOVIR 200 MG CAPSULE	00093894001	0.11049	06/17/2015	EA	C/I	N	1	G			
ACYCLOVIR 200 MG CAPSULE	00093894005	0.11049	06/17/2015	EA	C/I	N	1	G			
ACYCLOVIR 200 MG CAPSULE	00904578961	0.11049	06/17/2015	EA	C/I	N	1	G			
ACYCLOVIR 200 MG CAPSULE	23155014601	0.11049	06/17/2015	EA	C/I	N	1	G			
ACYCLOVIR 200 MG CAPSULE	60505004206	0.11049	06/17/2015	EA	C/I	N	1	G			
