product_ndc	text
0023-4965	Inactive ingredients Allantoin, Bisabolol, Butylene Glycol, C12-15 Alkyl Benzoate, Disodium EDTA, Ethylhexylglycerin, Hamamelis Virginiana (Witch Hazel) Bark/Leaf/Twig Extract, Hydroxyphenyl Propamidobenzoic Acid, Methyl Methacrylate/Glycol Dimethylacrylate Crosspolymer, Pentylene Glycol, Phenoxyethanol, Polyacrylate-13, Polyisobutene, Polysorbate 20, Potassium Sorbate, Salix Nigra (Willow) Bark Extract, Salvia Officinalis (Sage) Leaf Extract, Water/Aqua/Eau, Xanthan Gum
0023-9205	Inactive ingredients Boric acid; calcium chloride; magnesium chloride; potassium chloride; purified water; PURITE® (stabilized oxychloro complex); sodium borate; and sodium chloride.
0031-2234	INACTIVE INGREDIENTS anhydrous citric acid, artificial flavor, FD&C blue no. 1, FD&C red no. 40, glycerin, propylene glycol, purified water, sodium benzoate, sodium citrate, sorbitol solution, sucralose
0031-2235	INACTIVE INGREDIENTS anhydrous citric acid, artificial flavor, FD&C blue no. 1, FD&C red no. 40, glycerin, propylene glycol, purified water, sodium benzoate, sodium citrate, sorbitol solution, sucralose
0031-2238	INACTIVE INGREDIENTS anhydrous citric acid, artificial flavor, FD&C blue no. 1, FD&C red no. 40, glycerin, propylene glycol, purified water, sodium benzoate, sodium citrate, sorbitol solution, sucralose
0031-2246	INACTIVE INGREDIENTS anhydrous citric acid, artificial flavor, FD&C red no. 40, glycerin, menthol, polyethylene glycol, propyl gallate, propylene glycol, purified water, sodium benzoate, sodium citrate, sorbitol solution, sucralose
0031-2247	INACTIVE INGREDIENTS anhydrous citric acid, artificial flavor, FD&C blue no.1, FD&C red no. 40, glycerin, propyl gallate, propylene glycol, purified water, sodium benzoate, sodium citrate, sorbitol solution, sucralose
0031-2249	Inactive ingredients anhydrous citric acid, artificial flavor, edetate disodium, FD&C red no. 40, glycerin, menthol, polyethylene glycol, propyl gallate, propylene glycol, purified water, sodium benzoate, sodium citrate, sorbitol solution, sucralose
0031-2293	INACTIVE INGREDIENTS carmine, carrageenan, croscarmellose sodium, fructose, fumaric acid, glycine, magnesium stearate, maltodextrin, mannitol, microcrystalline cellulose, modified starch, natural and artificial flavor, polyethylene oxide, silicon dioxide, sorbitol, sucralose, tribasic calcium phosphate
0031-8649	Inactive ingredients acacia, ascorbyl palmitate, beta-carotene, caramel, corn syrup, dehydrated alcohol, dextrin, glycerin, high fructose corn syrup, lecithin, natural & artificial flavors, propylene glycol, purified water, sucralose, sucrose, sunflower oil, vitamin E
0031-8692	Inactive ingredients anhydrous citric acid, artificial & natural flavors, FD&C red no. 40, glycerin, lactic acid, propylene glycol, purified water, sodium benzoate, sodium citrate, sorbitol solution, sucralose
0031-8693	INACTIVE INGREDIENTS anhydrous citric acid, artificial & natural flavors, FD&C red no. 40, glycerin, lactic acid, propylene glycol, purified water, sodium benzoate, sodium citrate, sorbitol solution, sucralose
0031-8694	Inactive ingredients anhydrous citric acid, artificial flavor, FD&C red no. 40, glycerin, high fructose corn syrup, propylene glycol, purified water, saccharin sodium, sodium benzoate, sodium chloride, sodium citrate
0031-8698	INACTIVE INGREDIENTS anhydrous citric acid, artificial flavors, FD&C red no. 40, glycerin, menthol, polyethylene glycol, propyl gallate, propylene glycol, purified water, sodium benzoate, sodium citrate, sorbitol solution, sucralose
0031-8712	INACTIVE INGREDIENTS anhydrous citric acid, FD&C red no. 40, glycerin, high fructose corn syrup, menthol, natural flavor, propylene glycol, purified water, sodium benzoate, sodium citrate, sucralose
0031-8713	INACTIVE INGREDIENTS anhydrous citric acid, FD&C red no. 40, glycerin, menthol, natural & artificial flavor, propylene glycol, purified water, sodium benzoate, sodium citrate, sorbitol solution, sucralose
0031-8715	Inactive ingredients anhydrous citric acid, artificial flavor, FD&C blue no. 1, FD&C red no. 40, glycerin, natural flavor, polyethylene glycol, propylene glycol, purified water, sodium benzoate, sodium citrate, sorbitol solution, sucralose
0031-8716	Inactive ingredients anhydrous citric acid, artificial flavor, FD&C red no. 40, glycerin, propylene glycol, purified water, sodium benzoate, sodium citrate, sorbitol solution, sucralose
0031-8717	Inactive ingredients anhydrous citric acid, FD&C Red No. 40, glycerin, high fructose corn syrup, menthol, natural flavor, polyethylene glycol, propylene glycol, purified water, sodium benzoate, sodium citrate, sucralose, xanthan gum
0031-8719	Inactive ingredients FD&C Red No. 40, gelatin, glycerin, light mineral oil, pharmaceutical ink, polyethylene glycol, povidone, propylene glycol, purified water, sorbitol sorbitan solution
0031-8721	Inactive ingredients FD&C red no. 40, FD&C yellow no. 6, gelatin, glycerin, mineral oil, pharmaceutical ink, polyethylene glycol, povidone, propylene glycol, purified water, sorbitol sorbitan solution
0031-8722	Inactive ingredients D&C yellow no. 10, FD&C blue no. 1, gelatin, glycerin, pharmaceutical ink, polyethylene glycol, povidone, propylene glycol, purified water, sorbitol sorbitan solution
0031-8724	Inactive ingredients anhydrous citric acid, artificial flavor, caramel, FD&C red no. 40, glycerin, high fructose corn syrup, liquid glucose, menthol, propylene glycol, purified water, saccharin sodium, sodium benzoate
0031-8731	INACTIVE INGREDIENTS calcium stearate, croscarmellose sodium, crospovidone, hypromellose, microcrystalline cellulose, polyethylene glycol, povidone, pregelatinized starch, stearic acid
0031-8732	INACTIVE INGREDIENTS calcium stearate, croscarmellose sodium, crospovidone, D&C yellow no. 10 aluminum lake, FD&C yellow no. 6 aluminum lake, hypromellose, microcrystalline cellulose, polyethylene glycol, povidone, pregelatinized starch, stearic acid
0031-8734	INACTIVE INGREDIENTS anhydrous citric acid, FD&C red no. 40, glycerin, menthol, natural flavor, polyethylene glycol, propylene glycol, purified water, sodium benzoate, sodium citrate, sorbitol solution, sucralose , xanthan gum QUESTIONS OR COMMENTS? call weekdays from 9 AM to 5 PM EST at 1-800-762-4675
0031-8735	INACTIVE INGREDIENTS anhydrous citric acid, artificial flavor, edetate disodium, FD&C red no. 40, glycerin, menthol, polyethylene glycol, propyl gallate, propylene glycol, purified water, sodium benzoate, sodium citrate, sorbitol solution, sucralose
0031-8736	Inactive ingredients Robitussin Peak Cold Cough+Chest Congestion DM anhydrous citric acid, FD&C red no. 40, glycerin, high fructose corn syrup, menthol, natural flavor, polyethylene glycol, propylene glycol, purified water, sodium benzoate, sodium citrate, sucralose Robitussin Peak Cold Sugar-Free Cough+Chest Congestion DM acesulfame potassium, artificial & natural flavor, citric acid monohydrate, glycerin, methylparaben, polyethylene glycol, povidone, propylene glycol, purified water, saccharin sodium, sodium benzoate
0031-8737	Inactive ingredients Robitussin Peak Cold Cough+Chest Congestion DM anhydrous citric acid, FD&C red no. 40, glycerin, high fructose corn syrup, menthol, natural flavor, polyethylene glycol, propylene glycol, purified water, sodium benzoate, sodium citrate, sucralose Robitussin Peak Cold Sugar-Free Cough+Chest Congestion DM acesulfame potassium, artificial & natural flavor, citric acid monohydrate, glycerin, methylparaben, polyethylene glycol, povidone, propylene glycol, purified water, saccharin sodium, sodium benzoate
0031-8738	INACTIVE INGREDIENTS anhydrous citric acid, carboxymethylcellulose sodium, D&C red no. 33, FD&C red no. 40, glycerin, high fructose corn syrup, menthol, microcrystalline cellulose, natural and artificial flavor, polyethylene glycol, povidone, propylene glycol, purified water, saccharin sodium, sodium benzoate, sorbitol solution, xanthan gum
0031-8740	INACTIVE INGREDIENTS alcohol, anhydrous citric acid, artificial & natural flavors, FD&C red no. 40, glycerin, high fructose corn syrup, liquid glucose, menthol, purified water, saccharin sodium, sodium benzoate
0031-8741	Inactive ingredients FD&C blue no. 1, FD&C red no. 40, fractionated coconut oil, gelatin, glycerin, mannitol, pharmaceutical ink, polyethylene glycol, povidone, propyl gallate, propylene glycol, purified water, sorbitol, sorbitol anhydrides
0031-8742	Inactive ingredients anhydrous citric acid, FD&C red no. 40, glycerin, menthol, natural & artificial flavor, propylene glycol, purified water, sodium benzoate, sodium citrate, sorbitol solution, sucralose
0037-6823	Inactive ingredients cetyl alcohol, glyceryl monostearate and PEG-100 stearate blend, methylparaben, polyoxyethylene 23 lauryl ether, polyoxyl 40 stearate, propylene glycol, propylparaben, purified water, trolamine and inert propellants: isobutane and propane.
0054-3117	Inactive ingredients Methylparaben, propylene glycol, propylparaben, purified water, sodium hypochlorite solution, sorbitol solution, spearmint flavor, and xanthan gum. Sodium content: 0 mg per 5 mL
0054-3567	Inactive ingredients, benzyl alcohol, carboxymethylcellulose sodium, citric acid anhydrous, glycerin, lemon oil, purified water, sodium citrate, sodium hexametaphosphate, sodium hyprochlorite, sorbitol sugar, vanillin.
0054-4120	Inactive ingredients Methylparaben, propylene glycol, propylparaben, purified water, sodium hypochlorite solution, sorbitol solution, spearmint flavor, and xanthan gum. Sodium content: 0 mg per 5 mL
0054-8120	Inactive ingredients Methylparaben, propylene glycol, propylparaben, purified water, sodium hypochlorite solution, sorbitol solution, spearmint flavor, and xanthan gum. Sodium content: 0 mg per 5 mL
0064-0300	Inactive Ingredients Calcium/Sodium PVM/MA Copolymer (Gantrez MS-955), Polyethylene Glycol 400 NF, Polyethylene Glycol 3350 NF, Povidone USP.
0064-0850	Inactive Ingredients Purified water, cyclomethicone, cyclomethicone aluminum magnesium hydroxide stearate, cetyl dimethicone copolyol and polyglyceryl-4-isostearate and hexyl laurate, sodium chloride, imidurea.
0064-1011	Inactive Ingredient Ascorbyl Palmitate, Benzyl Alcohol, Citric Acid Monohydrate, D&C Orange #4, Fragrance, Glyceryl Laurate, Hydroxypropylcellulose, Isopropyl Myristate, Linoleic Acid, Phenylethyl Alcohol, Polyoxyl 40 Stearate, Povidone, Propylene Glycol, Purified Water, Zinc Pyrithione.
0064-1030	Inactive ingredients Benzethonium chloride, citric acid, cocamine oxide, fragrance, glyceryl laurate, hydroxypropylcellulose, phenylethyl alcohol, phosphoric acid, polyoxyl 40 stearate, propyl gallate, propylene glycol, purified water, zinc pyrithione. Questions? Please call 1-800-523-0502 (M-F 8 a.m.-5 p.m. CST) or visit our web site www.triseptin.com. Marketed by CareFusion, Leawood, KS 66211 Manufactured for Healthpoint, Ltd., Fort Worth, TX 76107 by DPT Laboratories, Ltd., San Antonio, Texas 78215 REORDER NO. 0064-1030-32 PATENT NO. 6,110,908 32 fl oz (1 qt) (946 ml) 129480-0411 PRINCIPAL DISPLAY PANEL NDC 0064-1030-32 Triseptin® Ethyl alcohol 70% v/v WATER-AIDED Surgical Hand Scrub Alcohol with Persistence™ Directions: Clean under nails with a nail pick. Nails should be maintained with a 1 mm free edge. Wet hands and forearms. Dispense palmful (approx. 7 ml) of TRISEPTIN Scrub into the palm of one hand. Twist fingertips of the opposite hand, working TRISEPTIN under the nails. Transfer TRISEPTIN to the opposite hand and repeat with fingertips of the other hand. Rub TRISEPTIN over the hands and up the forearms to just past the elbow, paying particular attention to the nails, cuticles and interdigital spaces for 90 seconds. Rinse and repeat the procedure to just below the elbows. Rinse completely. Warnings: Flammable, keep away from fire or flame. For external use only. Do not use if you are allergic to or have a known or suspected hypersensitivity to any ingredient in this product. or on or near the eyes, mucous membranes, genital skin, or mouth. If product gets into the eyes, flush immediately with water. Avoid contact with broken skin. Stop use and ask doctor if irritation and redness develop. If condition persists for more than 72 hours consult a physician. Read Drug Facts Before Use. 32 fl oz (1 qt) (946 ml) 129479-0411 CareFusion
0064-1040	Inactive Ingredients Ammonium acryloyldimethltaurate/VP copolymer, capryl glycol, citric acid, cyclomethicone, diisopropyl sebacate, dimethicone copolyol, fragrance, glycerin, glyceryl laurate, isopropyl myristate, lauryl lactate, linoleic acid, poloxamer, purified water, zinc pyrithione.
0064-1050	Inactive ingredients Benzethonium chloride, citric acid, cocamine oxide, fragrance, glyceryl laurate, hydroxypropylcellulose, phenylethyl alcohol, phosphoric acid, polyoxyl 40 stearate, propyl gallate, propylene glycol, purified water, zinc pyrithione. Questions? Please call 1-800-523-0502 (M-F 8 a.m.-5 p.m. CST) or visit our web site www.triseptin.com. Marketed by: CareFusion Leawood, KS 66211 Manufactured for: Healthpoint, Ltd. Fort Worth, TX 76107 by DPT Laboratories, Ltd. San Antonio, Texas 78215 REORDER NO. 0064-1050-04 PATENT NO. 6,110,908 4 fl oz (118 ml) 129478-0411 PRINCIPAL DISPLAY PANEL NDC 0064-1050-04 Triseptin® Ethyl alcohol 70% v/v Hand & Body Antiseptic Surgical Hand Scrub Used by surgeons in hospital operating rooms Patient Preoperative Skin Preparation Helps reduce bacteria that can potentially cause skin infection Alcohol and other skin-conditioning ingredients Fast antibacterial action 4 fl oz (118 ml) 129477-0411 CareFusion
0064-1080	Inactive ingredients Behentrimonium methosulfate, benzalkonium chloride, butylene glycol, cetyl alcohol, chlorhexidine gluconate, ethylhexylglycerin, isopropyl alcohol, phenoxyethanol, polyquaternium-10, PPG-3 myristyl ether, water.
0065-0085	INACTIVE INGREDIENT SECTION Inactive Ingredients benzalkonium chloride, boric acid, edetate disodium, purified water, sodium borate, sodium chloride, sodium hydroxide and/or hydrochloric acid
0065-0333	INACTIVE INGREDIENT SECTION benzalkonium chloride 0.01%, glycerol, sodium hydroxide and/or hydrochloric acid, and purified water
0065-0416	INACTIVE INGREDIENT SECTION Potassium chloride, purified water, sodium borate, sodium chloride. May contain hydrochloric acid and/or sodium hydroxide to adjust pH.
0065-0418	INACTIVE INGREDIENT SECTION POLYQUAD® (polyquaternium-1) 0.001%, potassium chloride, purified water, sodium borate and sodium chloride. May contain hydrochloric acid and/or sodium hydroxide to adjust pH.
0065-0419	INACTIVE INGREDIENT SECTION Calcium chloride, magnesium chloride, potassium chloride, purified water, sodium bicarbonate, sodium chloride, zinc chloride, hydrochloric acid and/or sodium hydroxide and/or carbon dioxide to adjust pH.
0065-0426	INACTIVE INGREDIENT SECTION Inactive Ingredients Boric acid, calcium chloride, glycine, hydrochloric acid and/or sodium hydroxide (to adjust pH), magnesium chloride, POLYQUAD® (polyquaternium-1) 0.001% preservative, polysorbate 80, potassium chloride, purified water, sodium chloride, zinc chloride.
0065-0429	INACTIVE INGREDIENT SECTION Boric acid, calcium chloride, hydroxypropyl guar, magnesium chloride, polyquaternium-1 as a preservative, potassium chloride, purified water, sodium chloride, zinc chloride. May contain hydrochloric acid and/or sodium hydroxide to adjust pH.
0065-0431	Inactive Ingredients Boric acid, calcium chloride, hydroxypropyl guar, magnesium chloride, potassium chloride, purified water, sodium chloride, zinc chloride. May contain hydrochloric acid and/or sodium hydroxide to adjust pH.
0065-0454	INACTIVE INGREDIENT SECTION Aminomethylpropanol, boric acid, edetate disodium, hydroxypropyl guar, POLYQUAD® (polyquaternium-1) 0.001% preservative, potassium chloride, sodium chloride, sorbitol and purified water. May contain hydrochloric acid and/or sodium hydroxide to adjust pH
0065-0474	INACTIVE INGREDIENT SECTION Carbopol 980, phosphonic acid, purified water, sodium perborate and sorbitol. May contain sodium hydroxide to adjust pH.
0065-0509	INACTIVE INGREDIENT SECTION Anhydrous Liquid Lanolin 3%.
0065-0530	INACTIVE INGREDIENT SECTION Benzalkonium Chloride 0.013% as preservative, Calcium Chloride Dihydrate, Magnesium Chloride Hexahydrate, Potassium Chloride, Sodium Acetate Trihydrate, Sodium Chloride, Sodium Citrate Dihydrate, Sodium Hydroxide and/or Hydrochloric Acid to adjust pH. The pH of the solution is in the physiologic range.
0065-1431	INACTIVE INGREDIENT SECTION Aminomethylpropanol, boric acid, hydroxypropyl guar, POLYQUAD® (polyquaternium-1) 0.001% preservative, potassium chloride, purified water, sodium chloride, sorbitol. May contain hydrochloric acid and/or sodium hydroxide to adjust pH.
0065-1432	Inactive Ingredients Aminomethylpropanol, boric acid, hydroxypropyl guar, potassium chloride, purified water, sodium chloride, sorbitol. May contain hydrochloric acid and/or sodium hydroxide to adjust pH.
0065-1433	Inactive Ingredients: Boric acid, dimyristoyl phosphatidylglycerol, edetate disodium, hydroxypropyl guar, mineral oil, polyoxyl 40 stearate, POLYQUAD® (polyquaternium-1) 0.001% preservative, sorbitan tristearate, sorbitol and purified water. May contain hydrochloric acid and/or sodium hydroxide to adjust pH.
0065-4011	INACTIVE INGREDIENT SECTION benzalkonium chloride 0.01%, glycerol, purified water, sodium hydroxide and/or hydrochloric acid
0067-0003	Inactive ingredients acacia, alginic acid, carnauba wax, colloidal silicon dioxide, dibasic calcium phosphate, iron oxides, magnesium stearate, microcrystalline cellulose, potassium hydroxide, pregelatinized starch, propylene glycol, shellac, sodium benzoate, sodium lauryl sulfate, stearic acid, sucrose, talc, titanium dioxide
0067-0005	Inactive ingredients cocoa, confectioners’ sugar, hydrogenated palm kernel oil, lecithin, non-fat dry milk, vanillin
0067-0016	Inactive ingredients acacia, alginic acid, carnauba wax, colloidal silicon dioxide, dibasic calcium phosphate, FD&C blue no.1 aluminum lake, iron oxide black, magnesium stearate, microcrystalline cellulose, potassium hydroxide, povidone, pregelatinized starch, propylene glycol, shellac, sodium benzoate, sodium lauryl sulfate, stearic acid, sucrose, talc, titanium dioxide
0067-0113	Inactive Ingredients calcium carbonate, D&C Red 30 aluminum lake, dextrose, flavors, maltodextrin, propylene glycol, soy protein isolate
0067-0116	Inactive Ingredients calcium carbonate, dextrose, flavors, maltodextrin, starch
0067-0117	Inactive Ingredients calcium phosphate tribasic, colloidal silicon dioxide, D&C Red 30, aluminum lake, D&C Yellow 10 aluminum lake, dextrose, flavors, maltodextrin, starch
0067-0129	Inactive Ingredients calcium phosphate tribasic, colloidal silicon dioxide, D&C Red 30 aluminum lake, D&C Yellow 10 aluminum lake, dextrose, flavors, maltodextrin, starch Questions or comments? call 1-800-452-0051 www.gas-x.com
0067-0134	Inactive ingredients D&C yellow 10, FD&C blue 1, FD&C red 40, gelatin, glycerin, hypromellose, peppermint oil, purified water, sorbitan, sorbitol, titanium dioxide
0067-0143	Inactive ingredients carnauba wax, corn starch, croscarmellose sodium, FD&C blue #1 lake, granular sugar, hypromellose, magnesium stearate, mannitol, methylparaben, microcrystalline cellulose, pregelatinized starch, propylene glycol, shellac, sodium saccharin, sorbitol, talc, titanium dioxide
0067-0149	Inactive ingredients Inactive ingredients carnauba wax, corn starch, croscarmellose sodium, FD&C red #40 lake, granular sugar, hypromellose, magnesium stearate, mannitol, methylparaben, microcrystalline cellulose, pregelatinized starch, propylene glycol, shellac, sodium saccharin, sorbitol, talc, titanium dioxide
0067-0949	Inactive ingredients corn starch, fragrance, talc
0067-0959	Inactive ingredients aloe vera gel, aluminum starch octenyl succinate, isopropyl myristate, propylene carbonate, SD alcohol 40-B (10%w/w), sorbitan monooleate, stearalkonium hectorite Propellant: isobutane, propane
0067-0969	Inactive ingredients polyethylene glycol 300, polysorbate 20, SD alcohol 40-B (15%w/w) Propellant: dimethyl ether
0067-1170	Inactive Ingredients Cetyl alcohol, disodium EDTA, fragrance, propylene glycol, purified water, sodium lauryl sulfate, stearyl alcohol, white wax Questions? Call 1-800 -452-0051
0067-1190	Inactive ingredients lactose, povidone, starch, stearic acid, talc
0067-2000	Inactive ingredients benzoic acid, carnauba wax, FD&C blue #1, hydroxypropylcellulose, hypromellose, light mineral oil, microcrystalline cellulose, polysorbate 20, povidone, propylene glycol, simethicone emulsion, sorbitan monolaurate, stearic acid, titanium dioxide
0067-2021	Inactive ingredients benzoic acid, D&C yellow #10 lake, disodium EDTA, FD&C blue #1 lake, FD&C red #40 lake, ferric oxide, gelatin, glycerin, hydroxypropylcellulose, hypromellose, light mineral oil, maltitol solution, microcrystalline cellulose, pepsin, polysorbate 20, povidone, propylene glycol, propyl gallate, simethicone emulsion, sorbitan monolaurate, stearic acid, titanium dioxide
0067-2030	Inactive ingredients benzoic acid, carnauba wax, FD&C blue #1, hydroxypropyl cellulose, hypromellose, light mineral oil, microcrystalline cellulose, polysorbate 20, povidone, propylene glycol, simethicone emulsion, sorbitan monolaurate, stearic acid, titanium dioxide
0067-2035	Inactive ingredients benzoic acid, D&C yellow #10 lake, disodium EDTA, FD&C blue #1 lake, FD&C red #40 lake, ferric oxide, gelatin, glycerin hydroxypropylcellulose, hypromellose, light mineral oil, maltitol solution, microcrystalline cellulose, pepsin, polysorbate 20, povidone, propylene glycol, propyl gallate, simethicone emulsion, sorbitan monolaurate, stearic acid, titanium dioxide
0067-2037	Inactive Ingredients benzoic acid, carnauba wax, FD&C blue #1, hydroxypropylcellulose, hypromellose, light mineral oil, microcrystalline cellulose, polysorbate 20, povidone, propylene glycol, simethicone emulsion, sorbitan monolaurate, stearic acid, titanium dioxide
0067-2039	Inactive Ingredients benzoic acid, carnauba wax, FD&C blue #1, hydroxypropylcellulose, hypromellose, light mineral oil, microcrystalline cellulose, polysorbate 20, povidone, propylene glycol, simethicone emulsion, sorbitan monolaurate, stearic acid, titanium dioxide
0067-2045	Inactive ingredients benzoic acid, carnauba wax, D&C red # 27 lake, D&C yellow # 10 lake, FD&C blue # 1 lake, FD&C red # 40, hypromellose, light mineral oil, magnesium stearate, microcrystalline cellulose, polysorbate 20, povidone, pregelatinized starch, propylene glycol, simethicone emulsion, sorbitan monolaurate, stearic acid, titanium dioxide
0067-2053	Inactive ingredients benzoic acid, carnauba wax, croscarmellose sodium, D&C yellow #10 lake, FD&C blue #1 lake, hypromellose, light mineral oil, magnesium stearate, microcrystalline cellulose, polysorbate 20, povidone, pregelatinized starch, propylene glycol, simethicone emulsion, sodium citrate, sorbitan monolaurate, stearic acid, titanium dioxide
0067-2055	Inactive ingredients benzoic acid, carnauba wax, croscarmellose sodium, D&C yellow #10 lake, FD&C blue #1 lake, hypromellose, light mineral oil, magnesium stearate, microcrystalline cellulose, polysorbate 20, povidone, pregelatinized starch, propylene glycol, simethicone emulsion, sodium citrate, sorbitan monolaurate, stearic acid, titanium dioxide
0067-2067	Inactive ingredients ammonium hydroxide, carbomer, cupric sulfate, FD&C blue no. 1, isopropyl alcohol, magnesium sulfate, sodium hydroxide, thymol, water
0067-2070	Inactive ingredients benzoic acid, carnauba wax, corn starch, FD&C blue #1, hypromellose, light mineral oil, microcrystalline cellulose, polysorbate 20, povidone, propylene glycol, simethicone emulsion, sorbitan monolaurate, stearic acid, sucrose, titanium dioxide
