product_ndc	proprietary_name
67877-0241	Alendronate Sodium	
64679-0738	Alfuzosin Hydrochloride	
67546-0111	Alinia	
52609-3001	Alkeran	
46122-0101	All Day Allergy	
0904-5831	All Day Allergy D	
63868-0107	All Day Allergy Relief	
0113-2176	All Day Allergy-d	
0904-5230	All Day Relief	
0904-5777	All-nite Cold and Flu	
0536-0370	Aller-chlor	
49483-0061	Aller-g-time	
15127-0050	Allerfed	
0113-2476	Allergy	
15127-0283	Allergy Medicine	
36800-0690	Allergy Relief	
0113-2013	Allergy and Congestion Relief	
58605-0401	Allfen Dm	
0135-0461	Alli	
16714-0041	Allopurinol	
0536-1011	Almacone	
0536-0025	Almacone Antacid Antigas	
0536-0015	Almacone Double Strength	
0023-8842	Alocril	
43553-3249	Aloe Vesta Protective	
0065-0345	Alomide	
52544-0471	Alora	
0023-9321	Alphagan P	
0603-2127	Alprazolam	
24208-0353	Alrex	
0007-5180	Altabax	
61570-0111	Altace	
0781-5583	Altavera	
59630-0630	Altoprev	
0536-0091	Aluminum Hydroxide	
0259-1139	Aluvea	
63402-0712	Alvesco	
68462-0394	Alyacen 1/35	
68462-0556	Alyacen 7/7/7	
10888-5006	Amantadine Hcl	
0603-1011	Amantadine Hydrochloride	
0039-0221	Amaryl	
0024-5401	Ambien	
51672-4060	Amcinonide	
0173-0562	Amerge	
52544-0268	Amethia	
52544-0228	Amethia Lo	
52544-0295	Amethyst	
49884-0117	Amiloride Hydrochloride	
0378-0577	Amiloride Hydrochloride and Hydrochlorothiazide	
0574-0292	Amiloride Hydrocloride	
0517-9120	Aminocaproic Acid	
51862-0156	Amiodarone Hcl	
63323-0616	Amiodarone Hydrochloride	
64764-0080	Amitiza	
0603-2212	Amitriptyline Hydrochloride	
33342-0016	Amlodipine	
0904-5992	Amlodipine Besylate	
63304-0499	Amlodipine Besylate and Atorvastatin Calcium	
0781-2277	Amlodipine Besylate and Benazepril Hydrochloride	
0378-6167	Amlodipine Besylate/atorvastatin Calcium	
0378-4520	Amlodipine and Atorvastatin	
0378-6897	Amlodipine and Benazepril Hydrochloride	
49884-0575	Amlodipine and Valsartan	
0093-7038	Amlodipine, Valsartan, and Hydrochlorothiazide	
39822-9900	Ammonia Inhalants	
51672-1300	Ammonium Lactate	
0378-6611	Amnesteem	
0591-5716	Amoxapine	
0143-9887	Amoxicillin	
0093-2270	Amoxicillin and Clavulanate Potassium	
63323-0404	Ampicillin	
63459-0700	Amrix	
0078-0614	Amturnide	
0172-5241	Anagrelide Hydrochloride	
0904-5857	Analgesic Creme Rub	
0225-0295	Anaspaz	
0781-5356	Anastrozole	
0573-0218	Anbesol Regular Strength	
52544-0470	Androderm	
0051-8462	Androgel	
50419-0483	Angeliq	
0173-0869	Anoro Ellipta	
0904-1258	Antacid	
15127-0883	Antacid Antigas	
15127-0745	Antacid Antigas Maximum Strength	
15127-0540	Antacid Mint	
27437-0110	Antara	
0904-7725	Anti Diarrheal	
63868-0218	Anti Itch Topical Analgesic	
49348-0602	Anti-dandruff	
46122-0207	Anti-diarrheal	
0536-5150	Anti-fungal	
24385-0210	Anti-itch	
15127-0261	Anti-itch Extra Strength	
37205-0338	Anti-itch Wal-dryl	
67510-0066	Antibiotic	
0472-0735	Antifungal	
66424-0520	Antipyrine and Benzocaine	
0904-7688	Anu-med	
28595-0800	Ap-hist Dm	
10267-0220	Apap	
10337-0395	Apexicon E	
42023-0104	Aplisol	
61314-0665	Apraclonidine	
17478-0716	Apraclonidine Ophthalmic	
0555-9043	Apri	
65649-0103	Apriso	
0904-0250	Aprodine	
63402-0248	Aptiom	
0597-0003	Aptivus	
0555-9066	Aranelle	
0088-2161	Arava	
0078-0619	Arcapta Neohaler	
0310-0201	Arimidex	
0456-0457	Armour Thyroid	
0173-0874	Arnuity Ellipta	
0009-7663	Aromasin	
68084-0777	Arthritis Pain Reliever	
0025-1411	Arthrotec	
17478-0060	Artificial Tears	
0430-0783	Asacol Hd	
51991-0074	Ascomp With Codeine	
0085-1341	Asmanex	
0904-7704	Aspir Low	
0603-0024	Aspirin	
24385-0429	Aspirin Regular Strength	
51224-0162	Astringent	
0186-0008	Atacand	
0430-0979	Atelvia	
68382-0024	Atenolol	
0378-2064	Atenolol and Chlorthalidone	
49348-0790	Athletes Foot	
0641-6003	Ativan	
51079-0211	Atorvastatin Calcium	
65162-0693	Atovaquone	
66993-0060	Atovaquone and Proguanil Hcl	
0378-4160	Atovaquone and Proguanil Hydrochloride	
13548-0070	Atralin	
15584-0101	Atripla	
0409-9629	Atropine Sulfate	
0597-0086	Atrovent	
50102-0120	Aubra	
0024-5831	Auvi-q	
0087-2775	Avalide	
0087-2771	Avapro	
0085-1737	Avelox	
0555-9045	Aviane	
60793-0603	Avinza	
0173-0712	Avodart	
59627-0002	Avonex	
50458-0211	Axert	
31357-0040	Azasite	
0378-1005	Azathioprine	
45802-0026	Azelastine Hcl Nasal	
60505-0848	Azelastine Hydrochloride	
0023-8694	Azelex	
68546-0142	Azilect	
68084-0279	Azithromycin	
68084-0663	Azithromycin Dihydrate	
0065-0275	Azopt	
65597-0110	Azor	
0013-0101	Azulfidine	
52544-0940	Azurette	
0009-0233	Bacitracin	
0168-0011	Bacitracin Zinc	
0168-0273	Bacitracin Zinc and Polymyxin B Sulfate	
16714-0071	Baclofen	
0682-3001	Bacmin	
0409-3977	Bacteriostatic Water	
0029-1526	Bactroban	
0054-0079	Balsalazide Disodium	
0555-9034	Balziva	
0904-2035	Banophen	
0003-1614	Baraclude	
11701-0045	Baza Antifungal	
11701-0046	Baza Protect	
0574-7040	Belladonna and Opium	
0006-0033	Belsomra	
62856-0529	Belviq	
54458-0893	Benazepril	
43547-0338	Benazepril Hydrochloride	
64980-0196	Benazepril Hydrochloride and Hydrochlorothiazide	
65597-0103	Benicar	
65597-0107	Benicar Hct	
63801-0107	Bensal Hp	
0187-5190	Benzaclin	
0187-5205	Benzamycin	
57664-0133	Benzonatate	
45802-0907	Benzoyl Peroxide	
10702-0040	Benzphetamine Hydrochloride	
31722-0218	Benztropine Mesylate	
24208-0629	Bepreve	
24208-0446	Besivance	
0065-0411	Betadine	
0115-1472	Betamethasone	
0781-7074	Betamethasone Dipropionate	
0517-0720	Betamethasone Sodium Phosphate and Betamethasone Acetate	
45802-0053	Betamethasone Valerate	
50419-0109	Betapace	
50419-0116	Betapace Af	
67618-0200	Betasept	
50419-0523	Betaseron	
42806-0039	Betaxolol	
10702-0013	Betaxolol Hydrochloride	
0832-0513	Bethanechol Chloride	
0065-0246	Betoptic S	
50419-0407	Beyaz	
0378-7017	Bicalutamide	
60793-0700	Bicillin L-a	
24338-0010	Bidil	
50419-0747	Biltricide	
0065-0419	Bion Tears	
0713-0109	Bisac-evac	
45802-0710	Bisacodyl	
0536-1355	Biscolax	
0904-5058	Biscolax Laxative	
0904-1314	Bismatrol	
0536-4301	Bismuth Subsalicylate	
29300-0127	Bisoprolol Fumarate	
0378-0505	Bisoprolol Fumarate and Hydrochlorothiazide	
11980-0022	Blephamide	
0023-3921	Botox	
0023-3919	Botox Cosmetic	
0173-0859	Breo Ellipta	
68462-0316	Briellyn	
0186-0777	Brilinta	
17478-0715	Brimonidine	
24208-0411	Brimonidine Tartrate	
64764-0570	Brintellix	
68968-9075	Brisdelle	
0378-7111	Bromfenac	
60505-0595	Bromfenac Ophthalmic Solution, 0.09%	
0574-0106	Bromocriptine Mesylate	
60432-0275	Brompheniramine Maleate, Pseudoephedrine Hydrochloride and Dextromethorphanhydrobromide	
64376-0657	Brompheniramine Maleate, Pseudoephedrine Hydrochloride, and Dextromethorphan Hydrobromide	
54838-0125	Brotapp	
54838-0136	Brotapp Dm Cold and Cough	
63402-0911	Brovana	
0093-6815	Budesonide	
0591-3768	Budesonide Inhalation	
60505-0839	Budesonide Nasal	
62011-0136	Bulk-forming Laxative	
51079-0893	Bumetanide	
59385-0012	Bunavail	
0095-3000	Bupap	
0406-1923	Buprenorphine Hcl and Naloxone Hcl	
50383-0924	Buprenorphine Hydrochloride	
0228-3155	Buprenorphine and Naloxone	
0093-5703	Buproban	
68382-0354	Bupropion	
51079-0109	Bupropion Hydrochloride	
68084-0030	Buspirone Hcl	
0093-1003	Buspirone Hydrochloride	
0603-2540	Butalbital and Acetaminophen	
55154-0832	Butalbital, Acetaminophen and Caffeine	
0143-3000	Butalbital, Acetaminophen and Caffeine With Codeine Phosphate	
51991-0073	Butalbital, Acetaminophen, Caffeine and Codeine Phosphate	
0603-2553	Butalbital, Acetaminophen, Caffeine, and Codeine Phosphate	
0591-2640	Butalbital, Acetaminophen, and Caffeine	
0591-3546	Butalbital, Aspirin, Caffeine and Codeine Phosphate	
0591-3219	Butalbital, Aspirin, and Caffeine	
0378-9639	Butorphanol Tartrate	
59011-0752	Butrans	
66780-0219	Bydureon	
66780-0210	Byetta	
0456-1420	Bystolic	
23359-0105	C-nate Dha	
0378-2800	Cabergoline	
0069-2170	Caduet	
0363-0224	Calamine	
0025-1911	Calan Sr	
50383-0732	Calcipotriene	
0781-7165	Calcipotriene 0.005% and Betamethasone Dipropionate 0.064%	
45802-0989	Calcipotriene and Betamethasone Dipropionate	
60505-0823	Calcitonin Salmon	
51672-5278	Calcitrene	
63304-0239	Calcitriol	
0054-0088	Calcium Acetate	
49348-0954	Calcium Antacid	
0054-4120	Calcium Carbonate	
0536-4742	Calgest	
50192-0113	Cambia	
0555-0715	Camila	
0456-3330	Campral	
0093-3134	Camrese	
0093-6148	Camreselo	
58914-0501	Canasa	
49884-0658	Candesartan Cilexetil	
0378-3003	Candesartan Cilexetil and Hydrochlorothiazide	
49884-0663	Candesartan Cilexetil-hydrochlorothiazide	
58407-0534	Capacet	
0093-7473	Capecitabine	
0378-3007	Captopril	
0378-0083	Captopril and Hydrochlorothiazide	
0066-7150	Carac	
58914-0171	Carafate	
51672-4047	Carbamazepine	
54092-0172	Carbatrol	
68682-0200	Carbidopa	
68001-0171	Carbidopa and Levodopa	
64679-0783	Carbidopa, Levodopa and Entacapone	
0781-5625	Carbidopa, Levodopa, and Entacapone	
51991-0333	Carbinoxamine Maleate	
0187-0798	Cardizem Cd	
0074-3045	Cardizem La	
0049-2780	Cardura	
68084-0380	Carisoprodol	
23155-0145	Carisoprodol and Aspirin	
54482-0148	Carnitor Sf	
24208-0367	Carteolol Hydrochloride	
53808-0218	Carvedilol	
0884-2893	Castellani Paint	
0597-0032	Catapres	
50242-0041	Cathflo Activase	
0009-3778	Caverject	
52544-0959	Caziant	
0093-1087	Cefaclor	
63304-0972	Cefadroxil	
0781-3450	Cefazolin	
0781-6077	Cefdinir	
0781-3301	Cefepime	
0781-5438	Cefpodoxime Proxetil	
64679-0712	Cefprozil	
25021-0127	Ceftazidime	
44183-0180	Ceftibuten	
0173-0740	Ceftin	
63323-0344	Ceftriaxone	
0409-7338	Ceftriaxone Sodium	
68180-0302	Cefuroxime Axetil	
0025-1525	Celebrex	
0456-4010	Celexa	
0004-0260	Cellcept	
0071-0525	Celontin	
23359-0100	Centratex	
0093-2238	Cephalexin	
0603-9063	Cetirizine Hydrochloride	
45802-0721	Cetirizine Hydrochloride and Pseudoephedrine Hydrochloride	
0904-6372	Cetrizine Hydrochloride	
63304-0479	Cevimeline	
16571-0657	Cevimeline Hydrochloride	
0069-0469	Chantix	
50102-0130	Chateal	
0603-1075	Cheratussin Ac	
0603-1078	Cheratussin Dac	
49348-0729	Chest Congestion Relief	
49348-0398	Chest Rub	
45802-0203	Childrens Acetaminophen	
46122-0050	Childrens Acetaminophen Cherry	
0573-0232	Childrens Advil	
0904-5828	Childrens All Day Allergy	
15127-0863	Childrens Allergy	
62011-0093	Childrens Cetirizine Hydrochloride	
0904-5256	Childrens Chewable Mapap	
63868-0070	Childrens Cough Relief	
0031-2235	Childrens Dimetapp Cold and Allergy	
0031-2234	Childrens Dimetapp Cold and Cough	
0031-2238	Childrens Dimetapp Long Acting Cough Plus Cold	
0031-2247	Childrens Dimetapp Nighttime Cold and Congestion	
63868-0758	Childrens Ibuprofen	
51672-2092	Childrens Loratadine	
0904-5791	Childrens Mapap	
0904-1985	Childrens Mapap Acetaminophen	
63824-0285	Childrens Mucinex Chest Congestion	
63824-0281	Childrens Mucinex Cough	
63824-0010	Childrens Mucinex Multi-symptom Cold	
63824-0277	Childrens Mucinex Stuffy Nose and Cold	
63868-0174	Childrens Pain Relief	
37000-0490	Childrens Pepto	
0603-0839	Childrens Qpap	
0031-8694	Childrens Robitussin Cough Long-acting	
0031-8716	Childrens Robitussin Cough and Cold Cf	
0031-8693	Childrens Robitussin Cough and Cold Long-acting	
54838-0144	Childrens Silapap	
54838-0104	Childrens Silfedrine	
12830-0762	Chlo Tuss	
51079-0141	Chlordiazepoxide Hydrochloride	
44183-0401	Chlordiazepoxide Hydrochloride and Clidinium Bromide	
76439-0302	Chlordiazepoxide Hydrochloride/clidinium Bromide	
0378-0277	Chlordiazepoxide and Amitriptyline Hydrochloride	
0116-2001	Chlorhexidine Gluconate	
0143-2125	Chloroquine	
63304-0461	Chloroquine Phosphate	
63323-0658	Chlorothiazide	
15127-0821	Chlorpheniramine	
0536-3467	Chlorpheniramine Maleate	
51079-0130	Chlorpromazine Hydrochloride	
0378-0197	Chlorpropamide	
0378-0222	Chlorthalidone	
0591-2520	Chlorzoxazone	
49884-0466	Cholestyramine	
0185-0939	Cholestyramine Light	
0002-4464	Cialis	
61748-0200	Ciclopirox	
51672-1318	Ciclopirox Olamine	
0093-2064	Cilostazol	
0065-0656	Ciloxan	
0093-8204	Cimetidine	
50383-0050	Cimetidine Hydrochloride Oral Solution	
50474-0700	Cimzia	
50419-0777	Cipro	
0065-8533	Ciprodex	
0172-5311	Ciprofloxacin	
61314-0656	Ciprofloxacin Hydrochloride	
42195-0550	Ciprofloxacin Otic	
0093-4742	Citalopram	
0904-6085	Citalopram Hydrobromide	
0178-0821	Citranatal 90 Dha	
0178-0893	Citranatal Assure	
0178-0832	Citranatal B-calm	
0178-0894	Citranatal Dha	
0178-0796	Citranatal Harmony 3.0	
0904-6304	Citroma	
0135-0089	Citrucel	
0555-1055	Claravis	
0085-1264	Clarinex	
0085-1322	Clarinex-d 12 Hour	
64679-0954	Clarithromycin	
0904-7760	Clear Anti Itch	
0093-0309	Clemastine Fumarate	
0009-3448	Cleocin	
0009-0760	Cleocin Pediatric	
50419-0459	Climara	
50419-0491	Climara Pro	
43538-0171	Clindacin P	
66993-0949	Clindamycin - Benzoyl Peroxide	
64720-0153	Clindamycin Hydrochloride	
59762-0016	Clindamycin Palmitate Hydrochloride	
65862-0596	Clindamycin Palmitate Hydrochloride (pediatric)	
45802-0660	Clindamycin Phosphate	
0378-8688	Clindamycin Phosphate and Benzoyl Peroxide	
64011-0124	Clindesse	
0781-7137	Clobetasol Propionate	
0168-0301	Clobetasol Propionate (emollient)	
40085-0893	Clobetasol Propionate Emulsion	
0299-3849	Clobex	
43598-0341	Clocortolone Pivalate	
43538-0950	Clodan	
67857-0804	Cloderm	
0591-0781	Clomiphene Citrate	
0781-2027	Clomipramine Hydrochloride	
0603-2948	Clonazepam	
39822-2000	Clonidine	
63323-0427	Clonidine Hydrochloride	
0591-3509	Clonidine Transdermal System	
54458-0888	Clopidogrel	
51079-0558	Clopidogrel Bisulfate	
0378-0070	Clorazepate Dipotassium	
51672-1260	Clotrimazole	
0472-0379	Clotrimazole and Betamethasone Dipropionate	
0093-3012	Clozapine	
0078-0126	Clozaril	
46122-0200	Cmc Lubricant Eye Drops	
51224-0300	Codeine Sulfate	
58657-0500	Codeine-guaifenesin	
67618-0101	Colace	
66993-0165	Colchicine	
64764-0119	Colcrys	
15127-0964	Cold Head Congestion Severe	
15127-0927	Cold Multi-symptom	
0009-0370	Colestid	
0115-5213	Colestipol Hydrochloride	
39822-0615	Colistimethate	
23155-0193	Colistimethate Sodium	
0064-5010	Collagenase Santyl	
0574-2020	Colocort	
42023-0108	Coly-mycin S	
68220-0133	Colyte	
0023-9211	Combigan	
0078-0377	Combipatch	
68968-0525	Combipatch (estradiol/norethindrone Acetate Transdermal System)	
0597-0024	Combivent Respimat	
49702-0202	Combivir	
61958-1101	Complera	
0574-7226	Compro	
0078-0327	Comtan	
52747-0621	Concept Dha	
52747-0620	Concept Ob	
50458-0585	Concerta	
52544-0045	Condylox	
0225-0580	Congestac	
45963-0439	Constulose	
64764-0890	Contrave	
68025-0055	Conzip	
68546-0317	Copaxone	
0007-4140	Coreg	
0095-0049	Cormax	
0009-0012	Cortef	
68220-0140	Cortifoam	
0143-9700	Cortisone Acetate	
61570-0031	Cortisporin	
42023-0109	Cortisporin-tc	
17478-0605	Cosopt	
0006-3629	Cosopt Pf	
0536-0825	Cough	
0904-6312	Cough Dm	
63868-0069	Cough Relief	
0904-5817	Cough and Cold	
0056-0189	Coumadin	
0006-0951	Cozaar	
0032-1212	Creon	
0310-0751	Crestor	
11701-0050	Critic Aid Skin	
0172-6406	Cromolyn Sodium	
0555-9049	Cryselle	
25010-0705	Cuprimine	
0259-0501	Cuvposa	
63323-0044	Cyanocobalamin	
0603-7521	Cyclafem 1/35	
0603-7525	Cyclafem 7/7/7	
55253-0277	Cyclobenzaprine Hydrochloride	
0065-0395	Cyclogyl	
17478-0100	Cyclopentolate Hydrochloride	
10019-0988	Cyclophosphamide	
68012-0258	Cycloset	
0172-7313	Cyclosporine	
0002-3270	Cymbalta	
51991-0838	Cyproheptadine Hydrochloride	
60793-0115	Cytomel	
0456-0095	Daliresp	
0527-1392	Danazol	
0115-4422	Dantrolene Sodium	
49938-0101	Dapsone	
52054-0330	Daraprim	
16714-0348	Dasetta 1/35	
16714-0346	Dasetta 7/7/7	
0904-5763	Day Time Cold and Flu Relief	
0025-1381	Daypro	
68180-0846	Daysee	
68968-5555	Daytrana	
0075-0026	Ddavp	
16714-0440	Deblitane	
50991-0582	Deconex	
42023-0112	Delestrogen	
63824-0172	Delsym	
51660-0572	Delyla	
0430-0753	Delzicol	
62584-0159	Demeclocycline Hydrochloride	
0024-0335	Demerol	
40076-0624	Denavir	
64980-0306	Denta 5000 Plus	
0074-5682	Depakene	
0074-6212	Depakote	
0009-0271	Depo-estradiol	
0009-0306	Depo-medrol	
0009-0626	Depo-provera	
0009-0086	Depo-testosterone	
68791-0101	Derma-smoothe/fs	
58980-0811	Dermazene	
68791-0103	Dermotic	
0067-0959	Desenex	
0955-1035	Desipramine Hydrochloride	
0781-5226	Desloratadine	
55566-5061	Desmopressin Acetate	
16714-0367	Desogestrel and Ethinyl Estradiol	
0378-7296	Desogestrel and Ethinyl Estradiol and Ethinyl Estradiol	
50419-0828	Desonate	
51672-1281	Desonide	
51672-1261	Desoximetasone	
63304-0191	Desvenlafaxine	
0009-4541	Detrol	
0009-5190	Detrol La	
0095-0089	Dexamethasone	
0054-4184	Dexamethasone Intensol	
0641-0367	Dexamethasone Sodium Phosphate	
64764-0175	Dexilant	
0093-5552	Dexmethylphenidate Hydrochloride	
49884-0430	Dexmethylphenidate Hydrochloride Extended-release	
0185-0404	Dextroamphetamine Saccharate, Amphetamine Aspartate Monohydrate, Dextroamphetamine Sulfate and Amphetamine Sulfate	
0228-3059	Dextroamphetamine Saccharate, Amphetamine Aspartate Monohydrate, Dextroamphetamine Sulfate, Amphetamine Sulfate	
68084-0815	Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate	
0555-0791	Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate, and Amphetamine Sulfate	
45963-0304	Dextroamphetamine Sulfate	
60432-0604	Dextromethorphan Hydrobromide and Promethazine Hydrochloride	
45802-0433	Dextromethorphan Polistirex Extended Release	
0264-7520	Dextrose	
0264-7605	Dextrose and Sodium Chloride	
0096-0737	Dhs Tar	
54838-0140	Diabetic Maximum Strength Siltussin Dm Das-na	
54838-0138	Diabetic Siltussin Das-na	
54838-0139	Diabetic Siltussin Dm Das-na	
10542-0010	Dialyvite	
10542-0012	Dialyvite With Zinc	
0187-0659	Diastat	
0093-6137	Diazepam	
0054-3185	Diazepam Intensol	
68084-0764	Dibasic Sodium Phosphate, Monobasic Potassium Phosphate and Monobasic Sodium Phosphate	
45802-0050	Dibucaine	
55494-0100	Diclegis	
17478-0892	Diclofenac	
0378-2474	Diclofenac Potassium	
60505-0399	Diclofenac Sodium	
59762-0028	Diclofenac Sodium and Misoprostol	
0781-2258	Dicloxacillin Sodium	
0143-3126	Dicyclomine	
0591-0795	Dicyclomine Hydrochloride	
0378-8888	Didanosine	
0009-0024	Didrex	
0591-0782	Diethylpropion Hcl Controlled-release	
0527-1475	Diethylpropion Hydrochloride	
0299-5918	Differin	
52015-0080	Dificid	
51672-1296	Diflorasone Diacetate	
0049-3420	Diflucan	
0093-0755	Diflunisal	
0527-1324	Digox	
0054-0057	Digoxin	
68682-0357	Dihydroergotamine Mesylate	
0071-0369	Dilantin	
0071-2214	Dilantin-125	
59011-0442	Dilaudid	
60505-0007	Dilt-cd	
68682-0521	Diltiazem Hcl Cd	
0781-2453	Diltiazem Hydrochloride	
60505-0210	Diltzac	
63323-0366	Dimenhydrinate	
0536-0600	Diocto	
0078-0423	Diovan	
0078-0472	Diovan Hct	
68220-0160	Dipentum	
0536-1010	Diphenhist	
63323-0664	Diphenhydramine	
10267-0835	Diphenhydramine Hcl	
45802-0358	Diphenhydramine Hcl and Zinc Acetate	
67457-0124	Diphenhydramine Hydrochloride	
51672-2089	Diphenhydramine Hydrochloride and Zinc Acetate	
0054-3194	Diphenoxylate Hydrochloride and Atropine Sulfate	
0115-1072	Dipyridamole	
0093-3127	Disopyramide Phosphate	
0603-3433	Disulfiram	
65649-0311	Diuril	
68382-0133	Divalproex Sodium	
68382-0315	Divalproex Sodium Extended-release	
0245-0881	Divigel	
0603-0150	Docqlace	
0603-0149	Docqlax	
50383-0771	Docu	
45802-0486	Docusate Sodium	
0536-0355	Docusate Sodium and Senna	
0904-5869	Dok	
0904-7891	Dok Extra Strength Stool Softener	
0904-6243	Donepezil Hydrochloride	
0430-0112	Doryx	
24208-0485	Dorzolamide Hcl	
24208-0486	Dorzolamide Hcl /timolol Maleate	
17478-0514	Dorzolamide Hcl and Timolol Maleate	
50383-0232	Dorzolamide Hydrochloride	
50383-0233	Dorzolamide Hydrochloride and Timolol Maleate	
0168-0021	Double Antibiotic	
50222-0403	Dovonex	
0093-2068	Doxazosin	
59762-2380	Doxazosin Mesylate	
0378-3125	Doxepin Hydrochloride	
66993-0186	Doxercalciferol	
0143-9803	Doxycyclate Hyclate	
68180-0650	Doxycycline	
0378-4532	Doxycycline Hyclate	
0591-0410	Doxycycline Monohydrate	
0178-0330	Dr Smiths Diaper	
0904-2051	Driminate	
0573-1191	Dristan 12 Hr	
0573-1238	Dristan Cold Multisymptom	
0378-8172	Dronabinol	
68180-0902	Drospirenone and Ethinyl Estradiol	
0145-5371	Duac	
0008-1123	Duavee	
64764-0302	Duetact	
75987-0010	Duexis	
0597-0012	Dulcolax	
0085-4610	Dulera	
68382-0386	Duloxetine	
0904-6366	Duloxetine Hydrochloride	
50991-0510	Duraflu	
50458-0094	Duragesic	
0065-9240	Durezol	
0310-1095	Dutoprol	
0007-3650	Dyazide	
0904-6004	Ear Wax Remover	
0536-3000	Ear Wax Treatment	
0904-6316	Earwax Removal Aid	
37205-0458	Earwax Removal Kit	
0168-0312	Econazole Nitrate	
0485-0254	Ed A-hist	
0485-0171	Ed A-hist Dm	
0485-0210	Ed-a-hist Pse	
0485-0085	Ed-chlortan	
0485-0082	Ed-spaz	
60631-0040	Edarbi	
60631-0412	Edarbyclor	
25010-0205	Edecrin	
0037-6050	Edluar	
59676-0278	Edurant	
0002-5123	Effient	
0187-3203	Efudex	
0023-9201	Elestat	
18860-0480	Elestrin	
0187-5100	Elidel	
16714-0365	Elinest	
0003-0894	Eliquis	
50458-0098	Elmiron	
0085-3149	Elocon	
60793-0437	Embeda	
0006-3941	Emend	
0603-7540	Emoquette	
49502-0902	Emsam	
61958-0601	Emtriva	
0430-0171	Enablex	
68084-0390	Enalapril Maleate	
51672-4046	Enalapril Maleate and Hydrochlorothiazide	
58406-0435	Enbrel	
68047-0143	Endacof Dm	
60951-0712	Endocet	
60951-0310	Endodan	
55566-6500	Endometrin	
17433-9876	Enemeez	
51285-0410	Enjuvia	
64661-0711	Enlyte	
0781-3122	Enoxaparin Sodium	
0555-9047	Enpresse	
68180-0882	Enskyce	
64679-0781	Entacapone	
49884-0104	Entecavir	
63868-0898	Enteric Aspirin	
0603-0169	Enteric Coated Aspirin	
0536-3381	Enteric Coated Stimulant Laxative	
45963-0438	Enulose	
52652-1001	Epaned	
0299-5908	Epiduo	
0574-4005	Epinastine Hydrochloride	
54505-0102	Epinephrine	
49502-0501	Epipen	
0093-0090	Epitol	
53808-0245	Epivir	
59762-1720	Eplerenone	
55513-0823	Epogen	
0378-6629	Eprosartan Mesylate	
37205-0602	Epsom Salt	
30698-0419	Equetro	
0955-0251	Ergocalciferol	
0555-0344	Errin	
0187-5115	Ertaczo	
45802-0962	Ery	
24338-0132	Ery-ped	
24338-0124	Ery-tab	
40076-0315	Erygel	
24338-0106	Erythrocin Stearate	
24338-0102	Erythromycin	
24338-0110	Erythromycin Ethylsuccinate	
0781-7054	Erythromycin and Benzoyl Peroxide	
45802-0083	Erythromycin-benzoyl Peroxide	
58809-0888	Escavite	
54458-0892	Escitalopram	
0378-3855	Escitalopram Oxalate	
65162-0955	Esomeprazole Strontium	
0781-4058	Estarylla	
0093-0129	Estazolam	
0430-3754	Estrace	
0555-0887	Estradiol	
51991-0623	Estradiol / Norethindrone Acetate	
47781-0209	Estradiol Transdermal System	
0574-0870	Estradiol Valerate	
