dea_schedule	description	labeler	nonproprietary_name	package_code	package_ndc	price_per_unit	product_code	product_ndc	proprietary_name	unit
	ABSORICA 40 MG CAPSULE	10631	Isotretinoin	31	10631-0118-31	27.72341	0118	10631-0118	Absorica	EA	
	ACAMPROSATE CALC DR 333 MG TAB	0378	Acamprosate Calcium Enteric-coated	80	0378-6333-80	0.78273	6333	0378-6333	Acamprosate Calcium	EA	
	ACAMPROSATE CALC DR 333 MG TAB	51079	Acamprosate Calcium Enteric-coated	01	51079-0241-01	0.78273	0241	51079-0241	Acamprosate Calcium	EA	
	ACAMPROSATE CALC DR 333 MG TAB	51079	Acamprosate Calcium Enteric-coated	06	51079-0241-06	0.78273	0241	51079-0241	Acamprosate Calcium	EA	
	ACAMPROSATE CALC DR 333 MG TAB	68462	Acamprosate Calcium	18	68462-0435-18	0.78273	0435	68462-0435	Acamprosate Calcium	EA	
	ACANYA GEL PUMP	13548	Clindamycin Phosphate and Benzoyl Peroxide	50	13548-0132-50	7.83990	0132	13548-0132	Acanya	GM	
	ACARBOSE 100 MG TABLET	0054	Acarbose	25	0054-0142-25	0.33187	0142	0054-0142	Acarbose	EA	
	ACARBOSE 100 MG TABLET	0115	Acarbose	01	0115-1152-01	0.33187	1152	0115-1152	Acarbose	EA	
	ACARBOSE 100 MG TABLET	0115	Acarbose	02	0115-1152-02	0.33187	1152	0115-1152	Acarbose	EA	
	ACARBOSE 100 MG TABLET	0378	Acarbose	77	0378-2822-77	0.33187	2822	0378-2822	Acarbose	EA	
	ACARBOSE 100 MG TABLET	16252	Acarbose	01	16252-0525-01	0.33187	0525	16252-0525	Acarbose	EA	
	ACARBOSE 100 MG TABLET	23155	Acarbose	01	23155-0149-01	0.33187	0149	23155-0149	Acarbose	EA	
	ACARBOSE 100 MG TABLET	23155	Acarbose	05	23155-0149-05	0.33187	0149	23155-0149	Acarbose	EA	
	ACARBOSE 100 MG TABLET	23155	Acarbose	10	23155-0149-10	0.33187	0149	23155-0149	Acarbose	EA	
	ACARBOSE 100 MG TABLET	47781	Acarbose	01	47781-0342-01	0.33187	0342	47781-0342	Acarbose	EA	
	ACARBOSE 100 MG TABLET	64380	Acarbose	06	64380-0760-06	0.33187	0760	64380-0760	Acarbose	EA	
	ACARBOSE 100 MG TABLET	76439	Acarbose	10	76439-0122-10	0.33187	0122	76439-0122	Acarbose	EA	
	ACARBOSE 100 MG TABLET	76439	Acarbose	11	76439-0122-11	0.33187	0122	76439-0122	Acarbose	EA	
	ACARBOSE 25 MG TABLET	0054	Acarbose	25	0054-0140-25	0.34978	0140	0054-0140	Acarbose	EA	
	ACARBOSE 25 MG TABLET	0115	Acarbose	01	0115-1150-01	0.34978	1150	0115-1150	Acarbose	EA	
	ACARBOSE 25 MG TABLET	0115	Acarbose	02	0115-1150-02	0.34978	1150	0115-1150	Acarbose	EA	
	ACARBOSE 25 MG TABLET	0378	Acarbose	77	0378-2820-77	0.34978	2820	0378-2820	Acarbose	EA	
	ACARBOSE 25 MG TABLET	16252	Acarbose	01	16252-0523-01	0.34978	0523	16252-0523	Acarbose	EA	
	ACARBOSE 25 MG TABLET	23155	Acarbose	01	23155-0147-01	0.34978	0147	23155-0147	Acarbose	EA	
	ACARBOSE 25 MG TABLET	23155	Acarbose	10	23155-0147-10	0.34978	0147	23155-0147	Acarbose	EA	
	ACARBOSE 25 MG TABLET	47781	Acarbose	01	47781-0340-01	0.34978	0340	47781-0340	Acarbose	EA	
	ACARBOSE 25 MG TABLET	64380	Acarbose	06	64380-0758-06	0.34978	0758	64380-0758	Acarbose	EA	
	ACARBOSE 25 MG TABLET	76439	Acarbose	10	76439-0120-10	0.34978	0120	76439-0120	Acarbose	EA	
	ACARBOSE 25 MG TABLET	76439	Acarbose	11	76439-0120-11	0.34978	0120	76439-0120	Acarbose	EA	
	ACARBOSE 50 MG TABLET	0054	Acarbose	20	0054-0141-20	0.32447	0141	0054-0141	Acarbose	EA	
	ACARBOSE 50 MG TABLET	0054	Acarbose	25	0054-0141-25	0.32447	0141	0054-0141	Acarbose	EA	
	ACARBOSE 50 MG TABLET	0115	Acarbose	01	0115-1151-01	0.32447	1151	0115-1151	Acarbose	EA	
	ACARBOSE 50 MG TABLET	0115	Acarbose	02	0115-1151-02	0.32447	1151	0115-1151	Acarbose	EA	
	ACARBOSE 50 MG TABLET	0378	Acarbose	77	0378-2821-77	0.32447	2821	0378-2821	Acarbose	EA	
	ACARBOSE 50 MG TABLET	16252	Acarbose	01	16252-0524-01	0.32447	0524	16252-0524	Acarbose	EA	
	ACARBOSE 50 MG TABLET	23155	Acarbose	01	23155-0148-01	0.32447	0148	23155-0148	Acarbose	EA	
	ACARBOSE 50 MG TABLET	23155	Acarbose	05	23155-0148-05	0.32447	0148	23155-0148	Acarbose	EA	
	ACARBOSE 50 MG TABLET	23155	Acarbose	10	23155-0148-10	0.32447	0148	23155-0148	Acarbose	EA	
	ACARBOSE 50 MG TABLET	47781	Acarbose	01	47781-0341-01	0.32447	0341	47781-0341	Acarbose	EA	
	ACARBOSE 50 MG TABLET	64380	Acarbose	06	64380-0759-06	0.32447	0759	64380-0759	Acarbose	EA	
	ACARBOSE 50 MG TABLET	76439	Acarbose	10	76439-0121-10	0.32447	0121	76439-0121	Acarbose	EA	
	ACARBOSE 50 MG TABLET	76439	Acarbose	11	76439-0121-11	0.32447	0121	76439-0121	Acarbose	EA	
	ACCUPRIL 10 MG TABLET	0071	Quinapril Hydrochloride	23	0071-0530-23	2.99259	0530	0071-0530	Accupril	EA	
	ACCUPRIL 10 MG TABLET	0071	Quinapril Hydrochloride	40	0071-0530-40	2.99259	0530	0071-0530	Accupril	EA	
	ACCUPRIL 20 MG TABLET	0071	Quinapril Hydrochloride	23	0071-0532-23	3.01058	0532	0071-0532	Accupril	EA	
	ACCUPRIL 20 MG TABLET	0071	Quinapril Hydrochloride	40	0071-0532-40	3.01058	0532	0071-0532	Accupril	EA	
	ACCUPRIL 40 MG TABLET	0071	Quinapril Hydrochloride	23	0071-0535-23	3.00972	0535	0071-0535	Accupril	EA	
	ACEBUTOLOL 200 MG CAPSULE	0378	Acebutolol Hydrochloride	01	0378-1200-01	0.17800	1200	0378-1200	Acebutolol Hydrochloride	EA	
	ACEBUTOLOL 200 MG CAPSULE	65162	Acebutolol Hydrochloride	10	65162-0669-10	0.17800	0669	65162-0669	Acebutolol Hydrochloride	EA	
	ACEBUTOLOL 400 MG CAPSULE	0378	Acebutolol Hydrochloride	01	0378-1400-01	0.21829	1400	0378-1400	Acebutolol Hydrochloride	EA	
	ACEBUTOLOL 400 MG CAPSULE	65162	Acebutolol Hydrochloride	10	65162-0670-10	0.21829	0670	65162-0670	Acebutolol Hydrochloride	EA	
	ACEPHEN 120 MG SUPPOSITORY	0713	Acetaminophen	01	0713-0118-01	0.34245	0118	0713-0118	Acephen	EA	
	ACEPHEN 120 MG SUPPOSITORY	0713	Acetaminophen	12	0713-0118-12	0.34245	0118	0713-0118	Acephen	EA	
	ACEPHEN 120 MG SUPPOSITORY	0713	Acetaminophen	50	0713-0118-50	0.34245	0118	0713-0118	Acephen	EA	
	ACEPHEN 325 MG SUPPOSITORY	0713	Acetaminophen	01	0713-0164-01	0.51972	0164	0713-0164	Acephen	EA	
	ACEPHEN 325 MG SUPPOSITORY	0713	Acetaminophen	12	0713-0164-12	0.51972	0164	0713-0164	Acephen	EA	
	ACEPHEN 325 MG SUPPOSITORY	0713	Acetaminophen	50	0713-0164-50	0.51972	0164	0713-0164	Acephen	EA	
	ACEPHEN 650 MG SUPPOSITORY	0713	Acetaminophen	01	0713-0165-01	0.39393	0165	0713-0165	Acephen	EA	
	ACEPHEN 650 MG SUPPOSITORY	0713	Acetaminophen	12	0713-0165-12	0.39393	0165	0713-0165	Acephen	EA	
	ACEPHEN 650 MG SUPPOSITORY	0713	Acetaminophen	50	0713-0165-50	0.39393	0165	0713-0165	Acephen	EA	
	ACETA-GESIC 325-12.5 MG TABLET	0536	Acetaminophen and Diphenhydramine Hydrochloride	01	0536-1003-01	0.01892	1003	0536-1003	Aceta-gesic	EA	
	ACETA-GESIC 325-12.5 MG TABLET	0536	Acetagesic	01	0536-3605-01	0.01892	3605	0536-3605	Acetaminophen and Diphenhydramine Hcl	EA	
	ACETAMINOPHEN 120 MG SUPPOS	45802	Acetaminophen	30	45802-0732-30	0.34245	0732	45802-0732	Acetaminophen	EA	
	ACETAMINOPHEN 120 MG SUPPOS	45802	Acetaminophen	33	45802-0732-33	0.34245	0732	45802-0732	Acetaminophen	EA	
	ACETAMINOPHEN 325 MG TABLET	51645	Acetaminophen	01	51645-0703-01	0.01351	0703	51645-0703	Plus Pharma	EA	
	ACETAMINOPHEN 325 MG TABLET	51645	Acetaminophen	10	51645-0703-10	0.01351	0703	51645-0703	Plus Pharma	EA	
	ACETAMINOPHEN 325 MG TABLET	51645	Acetaminophen	99	51645-0703-99	0.01351	0703	51645-0703	Plus Pharma	EA	
	ACETAMINOPHEN 325 MG TABLET	63739	Acetaminophen	01	63739-0440-01	0.01351	0440	63739-0440	Acetaminophen	EA	
	ACETAMINOPHEN 500 MG CAPLET	10267	Acetaminophen	01	10267-1190-01	0.02310	1190	10267-1190	Apap	EA	
	ACETAMINOPHEN 500 MG CAPLET	10267	Acetaminophen	04	10267-1190-04	0.02310	1190	10267-1190	Apap	EA	
	ACETAMINOPHEN 500 MG CAPLET	10267	Acetaminophen	05	10267-1190-05	0.02310	1190	10267-1190	Apap	EA	
	ACETAMINOPHEN 500 MG CAPLET	10267	Acetaminophen	06	10267-1190-06	0.02310	1190	10267-1190	Apap	EA	
	ACETAMINOPHEN 500 MG CAPLET	45802	Acetaminophen	78	45802-0484-78	0.02310	0484	45802-0484	Acetaminophen	EA	
	ACETAMINOPHEN 500 MG CAPLET	45802	Acetaminophen	90	45802-0484-90	0.02310	0484	45802-0484	Acetaminophen	EA	
	ACETAMINOPHEN 500 MG CAPLET	51645	Acetaminophen	01	51645-0705-01	0.02310	0705	51645-0705	Pluspharma Extra Strength	EA	
	ACETAMINOPHEN 500 MG CAPLET	51645	Acetaminophen	10	51645-0705-10	0.02310	0705	51645-0705	Pluspharma Extra Strength	EA	
	ACETAMINOPHEN 500 MG TABLET	51645	Acetaminophen	01	51645-0706-01	0.02310	0706	51645-0706	Pluspharma Extra Strength	EA	
	ACETAMINOPHEN 500 MG TABLET	51645	Acetaminophen	10	51645-0706-10	0.02310	0706	51645-0706	Pluspharma Extra Strength	EA	
	ACETAMINOPHEN 650 MG SUPPOS	45802	Acetaminophen	30	45802-0730-30	0.39393	0730	45802-0730	Acetaminophen	EA	
	ACETAMINOPHEN 650 MG SUPPOS	45802	Acetaminophen	32	45802-0730-32	0.39393	0730	45802-0730	Acetaminophen	EA	
	ACETAMINOPHEN 650 MG SUPPOS	45802	Acetaminophen	33	45802-0730-33	0.39393	0730	45802-0730	Acetaminophen	EA	
	ACETAMINOPHEN ER 650 MG TABLET	68084	Acetaminophen	25	68084-0777-25	0.06081	0777	68084-0777	Arthritis Pain Reliever	EA	
	ACETAMINOPHEN PM CAPLET	51645	Acetaminophen,diphenhydramine Hcl	05	51645-0709-05	0.03742	0709	51645-0709	Plus Pharma Extra Strength Acetaminophen Pm	EA	
	ACETAMINOPHEN-BUTALBITAL 325-50 TAB	0603	Butalbital and Acetaminophen	21	0603-2540-21	0.94509	2540	0603-2540	Butalbital and Acetaminophen	EA	
CIII	ACETAMINOPHEN-COD #2 TABLET	0093	Acetaminophen and Codeine Phosphate	01	0093-0050-01	0.12116	0050	0093-0050	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #2 TABLET	0406	Acetaminophen and Codeine Phosphate	01	0406-0483-01	0.12116	0483	0406-0483	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #2 TABLET	0603	Acetaminophen and Codeine Phosphate	21	0603-2337-21	0.12116	2337	0603-2337	Acetaminophen and Codeine	EA	
CIII	ACETAMINOPHEN-COD #2 TABLET	13107	Acetaminophen and Codeine Phosphate	01	13107-0058-01	0.12116	0058	13107-0058	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	0093	Acetaminophen and Codeine Phosphate	01	0093-0150-01	0.10441	0150	0093-0150	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	0093	Acetaminophen and Codeine Phosphate	10	0093-0150-10	0.10441	0150	0093-0150	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	0406	Acetaminophen and Codeine Phosphate	01	0406-0484-01	0.10441	0484	0406-0484	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	0406	Acetaminophen and Codeine Phosphate	03	0406-0484-03	0.10441	0484	0406-0484	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	0406	Acetaminophen and Codeine Phosphate	10	0406-0484-10	0.10441	0484	0406-0484	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	0406	Acetaminophen and Codeine Phosphate	20	0406-0484-20	0.10441	0484	0406-0484	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	0406	Acetaminophen and Codeine Phosphate	50	0406-0484-50	0.10441	0484	0406-0484	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	0406	Acetaminophen and Codeine Phosphate	62	0406-0484-62	0.10441	0484	0406-0484	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	0603	Acetaminophen and Codeine Phosphate	02	0603-2338-02	0.10441	2338	0603-2338	Acetaminophen and Codeine	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	0603	Acetaminophen and Codeine Phosphate	04	0603-2338-04	0.10441	2338	0603-2338	Acetaminophen and Codeine	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	0603	Acetaminophen and Codeine Phosphate	16	0603-2338-16	0.10441	2338	0603-2338	Acetaminophen and Codeine	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	0603	Acetaminophen and Codeine Phosphate	20	0603-2338-20	0.10441	2338	0603-2338	Acetaminophen and Codeine	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	0603	Acetaminophen and Codeine Phosphate	21	0603-2338-21	0.10441	2338	0603-2338	Acetaminophen and Codeine	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	0603	Acetaminophen and Codeine Phosphate	22	0603-2338-22	0.10441	2338	0603-2338	Acetaminophen and Codeine	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	0603	Acetaminophen and Codeine Phosphate	32	0603-2338-32	0.10441	2338	0603-2338	Acetaminophen and Codeine	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	13107	Acetaminophen and Codeine Phosphate	01	13107-0059-01	0.10441	0059	13107-0059	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	13107	Acetaminophen and Codeine Phosphate	99	13107-0059-99	0.10441	0059	13107-0059	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	51079	Acetaminophen and Codeine Phosphate	01	51079-0161-01	0.10441	0161	51079-0161	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	51079	Acetaminophen and Codeine Phosphate	20	51079-0161-20	0.10441	0161	51079-0161	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	51079	Acetaminophen and Codeine Phosphate	21	51079-0161-21	0.10441	0161	51079-0161	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	63739	Acetaminophen and Codeine Phosphate	10	63739-0004-10	0.10441	0004	63739-0004	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	65162	Acetaminophen and Codeine	10	65162-0033-10	0.10441	0033	65162-0033	Acetaminophen and Codeine	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	65162	Acetaminophen and Codeine	11	65162-0033-11	0.10441	0033	65162-0033	Acetaminophen and Codeine	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	68084	Acetaminophen and Codeine Phosphate	01	68084-0372-01	0.10441	0372	68084-0372	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #3 TABLET	68084	Acetaminophen and Codeine Phosphate	11	68084-0372-11	0.10441	0372	68084-0372	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #4 TABLET	0093	Acetaminophen and Codeine Phosphate	01	0093-0350-01	0.22051	0350	0093-0350	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #4 TABLET	0093	Acetaminophen and Codeine Phosphate	05	0093-0350-05	0.22051	0350	0093-0350	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #4 TABLET	0093	Acetaminophen and Codeine Phosphate	10	0093-0350-10	0.22051	0350	0093-0350	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #4 TABLET	0406	Acetaminophen and Codeine Phosphate	01	0406-0485-01	0.22051	0485	0406-0485	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #4 TABLET	0406	Acetaminophen and Codeine Phosphate	05	0406-0485-05	0.22051	0485	0406-0485	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #4 TABLET	0603	Acetaminophen and Codeine Phosphate	21	0603-2339-21	0.22051	2339	0603-2339	Acetaminophen and Codeine	EA	
CIII	ACETAMINOPHEN-COD #4 TABLET	0603	Acetaminophen and Codeine Phosphate	28	0603-2339-28	0.22051	2339	0603-2339	Acetaminophen and Codeine	EA	
CIII	ACETAMINOPHEN-COD #4 TABLET	13107	Acetaminophen and Codeine Phosphate	01	13107-0060-01	0.22051	0060	13107-0060	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #4 TABLET	13107	Acetaminophen and Codeine Phosphate	05	13107-0060-05	0.22051	0060	13107-0060	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #4 TABLET	13107	Acetaminophen and Codeine Phosphate	99	13107-0060-99	0.22051	0060	13107-0060	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #4 TABLET	68084	Acetaminophen and Codeine Phosphate	01	68084-0373-01	0.22051	0373	68084-0373	Acetaminophen and Codeine Phosphate	EA	
CIII	ACETAMINOPHEN-COD #4 TABLET	68084	Acetaminophen and Codeine Phosphate	11	68084-0373-11	0.22051	0373	68084-0373	Acetaminophen and Codeine Phosphate	EA	
CV	ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML SOLUTION	0121	Acetaminophen and Codeine Phosphate	16	0121-0504-16	0.01238	0504	0121-0504	Acetaminophen and Codeine Phosphate	ML	
	ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML SOLUTION	0603		58	0603-1020-58	0.01238	1020	0603-1020		ML	
CV	ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML SOLUTION	0603	Acetaminophen and Codeine Phosphate	58	0603-9013-58	0.01238	9013	0603-9013	Acetaminophen and Codeine	ML	
CV	ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML SOLUTION	50383	Acetaminophen and Codeine Phosphate	16	50383-0079-16	0.01238	0079	50383-0079	Acetaminophen and Codeine Phosphate	ML	
CV	ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML SOLUTION	60432	Acetaminophen and Codeine Phosphate	16	60432-0245-16	0.01238	0245	60432-0245	Acetaminophen and Codeine Phosphate	ML	
CV	ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML SOLUTION	0121	Acetaminophen and Codeine Phosphate	04	0121-0504-04	0.02340	0504	0121-0504	Acetaminophen and Codeine Phosphate	ML	
CV	ACETAMINOPHEN-CODEINE 120 MG-12 MG/5 ML SOLUTION	60432	Acetaminophen and Codeine Phosphate	04	60432-0245-04	0.02340	0245	60432-0245	Acetaminophen and Codeine Phosphate	ML	
	ACETAMINOPHEN-DIPHENHYDRAMINE 500 MG-25 MG TABLET	0536	Acetaminophen,diphenhydramine Hcl	06	0536-1015-06	0.03742	1015	0536-1015	Rugby Acetaminophen 500 Mg and	EA	
	ACETAMINOPHEN-DIPHENHYDRAMINE 500 MG-25 MG TABLET	0536	Acetaminophen and Diphenhydramine Hcl	06	0536-3479-06	0.03742	3479	0536-3479	Acetaminophen and Diphenhydramine Hcl	EA	
	ACETASOL HC EAR DROPS	0472	Hydorcortisone and Acetic Acid	82	0472-0882-82	8.95948	0882	0472-0882	Acetasol Hc	ML	
	ACETAZOLAMIDE 125 MG TABLET	51672	Acetazolamide	01	51672-4022-01	1.68603	4022	51672-4022	Acetazolamide	EA	
	ACETAZOLAMIDE 250 MG TABLET	0527	Acetazolamide	01	0527-1050-01	2.24013	1050	0527-1050	Acetazolamide	EA	
	ACETAZOLAMIDE 250 MG TABLET	51672	Acetazolamide	01	51672-4023-01	2.24013	4023	51672-4023	Acetazolamide	EA	
	ACETAZOLAMIDE 250 MG TABLET	68084	Acetazolamide	01	68084-0541-01	2.24013	0541	68084-0541	Acetazolamide	EA	
	ACETAZOLAMIDE 250 MG TABLET	68084	Acetazolamide	11	68084-0541-11	2.24013	0541	68084-0541	Acetazolamide	EA	
	ACETAZOLAMIDE ER 500 MG CAP	0555	Acetazolamide	02	0555-0513-02	2.58189	0513	0555-0513	Acetazolamide	EA	
	ACETAZOLAMIDE ER 500 MG CAP	23155	Acetazolamide	01	23155-0120-01	2.58189	0120	23155-0120	Acetazolamide	EA	
	ACETAZOLAMIDE ER 500 MG CAP	68084	Acetazolamide	11	68084-0401-11	2.58189	0401	68084-0401	Acetazolamide	EA	
	ACETAZOLAMIDE ER 500 MG CAP	68084	Acetazolamide	21	68084-0401-21	2.58189	0401	68084-0401	Acetazolamide	EA	
	ACETAZOLAMIDE ER 500 MG CAP	68382	Acetazolamide	01	68382-0261-01	2.58189	0261	68382-0261	Acetazolamide	EA	
	ACETIC ACID 0.25% IRRIG SOLN	0409	Acetic Acid	09	0409-6143-09	0.00302	6143	0409-6143	Acetic Acid	ML	
	ACETIC ACID 2% EAR SOLUTION	0603	Acetic Acid	41	0603-7038-41	1.39950	7038	0603-7038	Acetic Acid	ML	
	ACETIC ACID 2% EAR SOLUTION	50383	Acetic Acid	15	50383-0889-15	1.39950	0889	50383-0889	Acetic Acid	ML	
	ACETIC ACID 2% EAR SOLUTION	60432	Acetic Acid	15	60432-0741-15	1.39950	0741	60432-0741	Acetic Acid	ML	
