product_ndc	class_name
0009-5136	Oxazolidinone Antibacterial
0009-5137	Oxazolidinone Antibacterial
0009-5139	Oxazolidinone Antibacterial
0009-5140	Oxazolidinone Antibacterial
0009-5181	Prostaglandin E1 Agonist
0009-5181	Prostaglandin Analog
0009-5182	Prostaglandin Analog
0009-5182	Prostaglandin E1 Agonist
0009-5190	Cholinergic Muscarinic Antagonist
0009-5191	Cholinergic Muscarinic Antagonist
0009-5400	Cholinergic Nicotinic Agonist
0009-5401	Cholinergic Nicotinic Agonist
0009-7224	Immunoglobulin G
0009-7529	Topoisomerase Inhibitor
0009-7663	Aromatase Inhibitor
0009-7667	Lincosamide Antibacterial
0009-7686	Prostaglandin E1 Agonist
0009-7686	Prostaglandin Analog
0013-0101	Aminosalicylate
0013-0102	Aminosalicylate
0013-0132	Alkylating Drug
0013-2150	Estrogen
0013-2200	Anthracycline Topoisomerase Inhibitor
0013-2201	Anthracycline Topoisomerase Inhibitor
0013-2202	Anthracycline Topoisomerase Inhibitor
0013-2576	Anthracycline Topoisomerase Inhibitor
0013-2586	Anthracycline Topoisomerase Inhibitor
0013-2596	Anthracycline Topoisomerase Inhibitor
0013-5301	Rifamycin Antimycobacterial
0013-8303	Prostaglandin Analog
0013-8717	Cytoprotective Agent
0013-8727	Cytoprotective Agent
0023-0042	Retinoid
0023-0066	Aminoglycoside Antibacterial
0023-0106	Aminoglycoside Antibacterial
0023-0313	Corticosteroid
0023-0316	Corticosteroid
0023-1145	Acetylcholine Release Inhibitor
0023-2181	Nonsteroidal Anti-inflammatory Drug
0023-3205	Prostaglandin Analog
0023-3240	Non-standardized Chemical Allergen
0023-3348	Corticosteroid
0023-3416	Non-standardized Chemical Allergen
0023-3507	Nonsteroidal Anti-inflammatory Drug
0023-3513	Cholinergic Muscarinic Antagonist
0023-3616	Prostaglandin Analog
0023-3670	Sulfone
0023-3919	Acetylcholine Release Inhibitor
0023-3921	Acetylcholine Release Inhibitor
0023-4307	Non-standardized Chemical Allergen
0023-4385	Beta-adrenergic Blocker
0023-4491	Non-standardized Chemical Allergen
0023-4526	Beta-adrenergic Blocker
0023-4857	Antiprotozoal
0023-4857	Decarboxylase Inhibitor
0023-7824	Polymyxin-class Antibacterial
0023-8335	Retinoid
0023-8842	Mast Cell Stabilizer
0023-9155	Retinoid
0023-9156	Retinoid
0023-9163	Calcineurin Inhibitor Immunosuppressant
0023-9177	Alpha-adrenergic Agonist
0023-9187	Prostaglandin Analog
0023-9201	Adrenergic Receptor Agonist
0023-9201	Histamine-1 Receptor Inhibitor
0023-9211	Alpha-adrenergic Agonist
0023-9232	Acetylcholine Release Inhibitor
0023-9236	Retinoid
0023-9277	Nonsteroidal Anti-inflammatory Drug
0023-9321	Alpha-adrenergic Agonist
0023-9350	Cholinergic Muscarinic Antagonist
0024-0335	Opioid Agonist
0024-0337	Opioid Agonist
0024-0393	Provitamin D2 Compound
0024-0590	Platinum-based Drug
0024-0591	Platinum-based Drug
0024-1535	Antiseptic
0024-1562	Antirheumatic Agent
0024-1596	Antimalarial
0024-2791	Parental Iron Replacement
0024-2792	Parental Iron Replacement
0024-2794	Parental Iron Replacement
0024-4142	Antiarrhythmic
0024-4200	Alpha-adrenergic Blocker
0024-5401	Gamma-aminobutyric Acid-ergic Agonist
0024-5421	Gamma-aminobutyric Acid-ergic Agonist
0024-5501	Gamma-aminobutyric Acid-ergic Agonist
0024-5521	Gamma-aminobutyric Acid-ergic Agonist
0024-5800	Histamine-1 Receptor Antagonist
0024-5801	Histamine-1 Receptor Antagonist
0024-5810	Aminoketone
0024-5811	Aminoketone
0024-5812	Aminoketone
0024-5820	Nucleoside Metabolic Inhibitor
0024-5831	Beta-adrenergic Agonist
0024-5831	Alpha-adrenergic Agonist
0024-5831	Catecholamine
0024-5833	Catecholamine
0024-5833	Beta-adrenergic Agonist
0024-5833	Alpha-adrenergic Agonist
0024-5843	Leukocyte Growth Factor
0024-5844	Leukocyte Growth Factor
0024-5850	Angiotensin 2 Receptor Blocker
0024-5851	Angiotensin 2 Receptor Blocker
0024-5852	Angiotensin 2 Receptor Blocker
0024-5855	Thiazide Diuretic
0024-5856	Thiazide Diuretic
0024-5858	Anthracycline Topoisomerase Inhibitor
0024-5860	Nucleoside Metabolic Inhibitor
0024-5862	Hematopoietic Stem Cell Mobilizer
0024-5874	Insulin
0024-5882	Insulin
0024-5884	Insulin
0025-0061	Cholinergic Muscarinic Antagonist
0025-0061	Anticholinergic
0025-0066	Anticholinergic
0025-0066	Cholinergic Muscarinic Antagonist
0025-0166	Gonadotropin Releasing Hormone Receptor Agonist
0025-1001	Aldosterone Antagonist
0025-1011	Aldosterone Antagonist
0025-1021	Aldosterone Antagonist
0025-1031	Aldosterone Antagonist
0025-1041	Aldosterone Antagonist
0025-1381	Nonsteroidal Anti-inflammatory Drug
0025-1411	Nonsteroidal Anti-inflammatory Drug
0025-1421	Nonsteroidal Anti-inflammatory Drug
0025-1451	Prostaglandin E1 Analog
0025-1461	Prostaglandin E1 Analog
0025-1515	Nonsteroidal Anti-inflammatory Drug
0025-1520	Nonsteroidal Anti-inflammatory Drug
0025-1525	Nonsteroidal Anti-inflammatory Drug
0025-1530	Nonsteroidal Anti-inflammatory Drug
0025-1821	Nitroimidazole Antimicrobial
0025-1831	Nitroimidazole Antimicrobial
0025-1851	Calcium Channel Blocker
0025-1861	Calcium Channel Blocker
0025-1891	Calcium Channel Blocker
0025-1901	Calcium Channel Blocker
0025-1911	Calcium Channel Blocker
0025-1942	Nitroimidazole Antimicrobial
0025-1961	Nitroimidazole Antimicrobial
0025-2011	Calcium Channel Blocker
0025-2021	Calcium Channel Blocker
0025-2732	Antiarrhythmic
0025-2742	Antiarrhythmic
0025-2752	Antiarrhythmic
0025-2762	Antiarrhythmic
0029-1525	Rna Synthetase Inhibitor Antibacterial
0029-1526	Rna Synthetase Inhibitor Antibacterial
0029-1527	Rna Synthetase Inhibitor Antibacterial
0029-6571	Penicillin-class Antibacterial
0029-6575	Penicillin-class Antibacterial
0029-6579	Penicillin-class Antibacterial
0031-2234	Uncompetitive N-methyl-d-aspartate Receptor Antagonist
0031-2234	Sigma-1 Agonist
0031-2235	Alpha-1 Adrenergic Agonist
0031-2238	Histamine-1 Receptor Antagonist
0031-2246	Histamine-1 Receptor Antagonist
0031-2247	Histamine-1 Receptor Antagonist
0031-2249	Histamine-1 Receptor Antagonist
0031-2293	Alpha-1 Adrenergic Agonist
0031-8649	Uncompetitive N-methyl-d-aspartate Receptor Antagonist
0031-8649	Sigma-1 Agonist
0031-8692	Histamine-1 Receptor Antagonist
0031-8693	Histamine-1 Receptor Antagonist
0031-8694	Sigma-1 Agonist
0031-8694	Uncompetitive N-methyl-d-aspartate Receptor Antagonist
0031-8698	Histamine-1 Receptor Antagonist
0031-8712	Uncompetitive N-methyl-d-aspartate Receptor Antagonist
0031-8712	Sigma-1 Agonist
0031-8713	Sigma-1 Agonist
0031-8713	Uncompetitive N-methyl-d-aspartate Receptor Antagonist
0031-8715	Sigma-1 Agonist
0031-8715	Uncompetitive N-methyl-d-aspartate Receptor Antagonist
0031-8716	Uncompetitive N-methyl-d-aspartate Receptor Antagonist
0031-8716	Sigma-1 Agonist
0031-8717	Sigma-1 Agonist
0031-8717	Uncompetitive N-methyl-d-aspartate Receptor Antagonist
0031-8719	Sigma-1 Agonist
0031-8719	Uncompetitive N-methyl-d-aspartate Receptor Antagonist
0031-8721	Uncompetitive N-methyl-d-aspartate Receptor Antagonist
0031-8721	Sigma-1 Agonist
0031-8722	Uncompetitive N-methyl-d-aspartate Receptor Antagonist
0031-8722	Sigma-1 Agonist
0031-8731	Alpha-1 Adrenergic Agonist
0031-8732	Histamine-1 Receptor Antagonist
0031-8734	Sigma-1 Agonist
0031-8734	Uncompetitive N-methyl-d-aspartate Receptor Antagonist
0031-8735	Histamine-1 Receptor Antagonist
0031-8736	Uncompetitive N-methyl-d-aspartate Receptor Antagonist
0031-8736	Sigma-1 Agonist
0031-8737	Sigma-1 Agonist
0031-8737	Uncompetitive N-methyl-d-aspartate Receptor Antagonist
0031-8738	Sigma-1 Agonist
0031-8738	Uncompetitive N-methyl-d-aspartate Receptor Antagonist
0031-8740	Sigma-1 Agonist
0031-8740	Uncompetitive N-methyl-d-aspartate Receptor Antagonist
0031-8741	Sigma-1 Agonist
0031-8741	Uncompetitive N-methyl-d-aspartate Receptor Antagonist
0031-8742	Uncompetitive N-methyl-d-aspartate Receptor Antagonist
0031-8742	Sigma-1 Agonist
0032-1101	Angiotensin Converting Enzyme Inhibitor
0032-1102	Angiotensin Converting Enzyme Inhibitor
0032-1103	Angiotensin Converting Enzyme Inhibitor
0032-1708	Progesterone
0032-1711	Progesterone
0037-0241	Histamine-1 Receptor Antagonist
0037-0430	Anti-epileptic Agent
0037-0431	Anti-epileptic Agent
0037-0442	Anti-epileptic Agent
0037-1221	Cannabinoid
0037-2001	Muscle Relaxant
0037-2250	Muscle Relaxant
0037-4401	Antirheumatic Agent
0037-5001	Loop Diuretic
0037-5005	Loop Diuretic
0037-5010	Loop Diuretic
0037-5020	Loop Diuretic
0037-6010	Gamma-aminobutyric Acid-ergic Agonist
0037-6050	Gamma-aminobutyric Acid-ergic Agonist
0037-6820	Osmotic Laxative
0037-6822	Corticosteroid
0037-6824	Corticosteroid
0037-6885	Vitamin B12
0037-7025	Histamine-1 Receptor Antagonist
0037-8110	Prostaglandin Analog
0037-8110	Prostaglandin E1 Agonist
0037-8120	Prostaglandin E1 Agonist
0037-8120	Prostaglandin Analog
0037-8130	Prostaglandin Analog
0037-8130	Prostaglandin E1 Agonist
0037-8140	Prostaglandin E1 Agonist
0037-8140	Prostaglandin Analog
0039-0017	Cephalosporin Antibacterial
0039-0018	Cephalosporin Antibacterial
0039-0019	Cephalosporin Antibacterial
0039-0020	Cephalosporin Antibacterial
0039-0023	Cephalosporin Antibacterial
0039-0024	Cephalosporin Antibacterial
0039-0037	Cephalosporin Antibacterial
0039-0038	Cephalosporin Antibacterial
0039-0051	Sulfonylurea
0039-0052	Sulfonylurea
0039-0053	Sulfonylurea
0039-0060	Loop Diuretic
0039-0066	Loop Diuretic
0039-0067	Loop Diuretic
0039-0221	Sulfonylurea
0039-0222	Sulfonylurea
0039-0223	Sulfonylurea
0046-0749	Estrogen
0046-0872	Estrogen
0046-1100	Estrogen
0046-1101	Estrogen
0046-1102	Estrogen
0046-1103	Estrogen
0046-1104	Estrogen
0049-0013	Penicillin-class Antibacterial
0049-0014	Penicillin-class Antibacterial
0049-0022	Penicillin-class Antibacterial
0049-0023	Penicillin-class Antibacterial
0049-0024	Penicillin-class Antibacterial
0049-0031	Penicillin-class Antibacterial
0049-0032	Penicillin-class Antibacterial
0049-0052	Atypical Antipsychotic
0049-0054	Atypical Antipsychotic
0049-0056	Atypical Antipsychotic
0049-0058	Atypical Antipsychotic
0049-0170	Sulfonylurea
0049-0174	Sulfonylurea
0049-0178	Sulfonylurea
0049-0520	Penicillin-class Antibacterial
0049-0530	Penicillin-class Antibacterial
0049-1550	Sulfonylurea
0049-1560	Sulfonylurea
0049-1620	Sulfonylurea
0049-2100	Antiemetic
0049-2110	Antiemetic
0049-2140	Antiemetic
0049-2710	Alpha-adrenergic Blocker
0049-2720	Alpha-adrenergic Blocker
0049-2750	Alpha-adrenergic Blocker
0049-2760	Alpha-adrenergic Blocker
0049-2770	Alpha-adrenergic Blocker
0049-2780	Alpha-adrenergic Blocker
0049-3160	Azole Antifungal
0049-3170	Azole Antifungal
0049-3180	Azole Antifungal
0049-3190	Azole Antifungal
0049-3371	Azole Antifungal
0049-3372	Azole Antifungal
0049-3410	Azole Antifungal
0049-3420	Azole Antifungal
0049-3430	Azole Antifungal
0049-3435	Azole Antifungal
0049-3436	Azole Antifungal
0049-3437	Azole Antifungal
0049-3438	Azole Antifungal
0049-3440	Azole Antifungal
0049-3450	Azole Antifungal
0049-3500	Azole Antifungal
0049-3920	Atypical Antipsychotic
0049-3960	Atypical Antipsychotic
0049-3970	Atypical Antipsychotic
0049-3980	Atypical Antipsychotic
0049-3990	Atypical Antipsychotic
0049-4110	Sulfonylurea
0049-4120	Sulfonylurea
0049-4190	Azole Antifungal
0049-4900	Serotonin Reuptake Inhibitor
0049-4910	Serotonin Reuptake Inhibitor
0049-4940	Serotonin Reuptake Inhibitor
0049-4960	Serotonin Reuptake Inhibitor
0049-5460	Antihistamine
0049-5710	Typical Antipsychotic
0049-5720	Typical Antipsychotic
0049-5730	Typical Antipsychotic
0049-5740	Typical Antipsychotic
0049-5750	Typical Antipsychotic
0049-5770	Typical Antipsychotic
0051-8425	Androgen
0051-8450	Androgen
0051-8462	Androgen
0051-8488	Androgen
0052-0118	Atypical Antipsychotic
0052-0119	Atypical Antipsychotic
0052-0272	Progestin
0052-0273	Estrogen
0052-0274	Progestin
0052-0301	Gonadotropin Releasing Hormone Antagonist
0052-0308	Gonadotropin
0052-0309	Gonadotropin
0052-0313	Gonadotropin
0052-0316	Gonadotropin
0052-0326	Gonadotropin
0052-0450	Nondepolarizing Neuromuscular Blocker
0052-0602	Live Attenuated Bacillus Calmette-guerin Vaccine
0052-0602	Live Attenuated Bacillus Calmette-guerin Immunotherapy
0052-2139	Atypical Antipsychotic
0052-2142	Atypical Antipsychotic
0052-4330	Progestin
0053-6871	Factor Viii Activator
0053-6871	Vasopressin Analog
0053-7596	Human Immunoglobulin G
0054-0002	Azole Antifungal
0054-0003	Azole Antifungal
0054-0007	Vitamin D3 Analog
0054-0010	Antiarrhythmic
0054-0011	Antiarrhythmic
0054-0012	Antiarrhythmic
0054-0025	Antimalarial
0054-0045	Anticholinergic
0054-0046	Anticholinergic
0054-0052	Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor
0054-0056	Cholinergic Receptor Agonist
0054-0057	Cardiac Glycoside
0054-0062	Serotonin Reuptake Inhibitor
0054-0063	Atypical Antipsychotic
0054-0077	Loop Diuretic
0054-0079	Aminosalicylate
0054-0080	Aromatase Inhibitor
0054-0084	Gamma-aminobutyric Acid A Receptor Agonist
0054-0085	Gamma-aminobutyric Acid A Receptor Agonist
0054-0086	Gamma-aminobutyric Acid-ergic Agonist
0054-0087	Gamma-aminobutyric Acid-ergic Agonist
0054-0088	Phosphate Binder
0054-0088	Calcium
0054-0097	Anti-epileptic Agent
0054-0098	Anti-epileptic Agent
0054-0099	Anti-epileptic Agent
0054-0100	Dihydropyridine Calcium Channel Blocker
