product_ndc	route
0009-0057	Oral
0009-0059	Oral
0009-0064	Oral
0009-0066	Oral
0009-0068	Oral
0009-0073	Oral
0009-0085	Intramuscular
0009-0086	Intramuscular
0009-0090	Oral
0009-0094	Oral
0009-0113	Intramuscular
0009-0113	Intravenous
0009-0176	Oral
0009-0190	Intramuscular
0009-0190	Intravenous
0009-0233	Intramuscular
0009-0234	Intramuscular
0009-0241	Intramuscular
0009-0260	Oral
0009-0271	Intramuscular
0009-0274	Soft Tissue
0009-0274	Intralesional
0009-0274	Intrasynovial
0009-0274	Intramuscular
0009-0280	Intrasynovial
0009-0280	Soft Tissue
0009-0280	Intralesional
0009-0280	Intramuscular
0009-0286	Oral
0009-0302	Intravenous
0009-0302	Intramuscular
0009-0306	Intralesional
0009-0306	Soft Tissue
0009-0306	Intramuscular
0009-0306	Intrasynovial
0009-0341	Oral
0009-0352	Oral
0009-0370	Oral
0009-0436	Intravenous
0009-0450	Oral
0009-0520	Intramuscular
0009-0602	Intravenous
0009-0602	Intramuscular
0009-0626	Intramuscular
0009-0698	Intramuscular
0009-0698	Intravenous
0009-0728	Intramuscular
0009-0728	Intravenous
0009-0758	Intramuscular
0009-0758	Intravenous
0009-0760	Oral
0009-0765	Intravenous
0009-0765	Intramuscular
0009-0775	Intramuscular
0009-0775	Intravenous
0009-0796	Intramuscular
0009-0796	Intravenous
0009-0825	Intramuscular
0009-0825	Intravenous
0009-0827	Vaginal
0009-0856	Intramuscular
0009-0870	Intravenous
0009-0870	Intramuscular
0009-0900	Intramuscular
0009-0900	Intravascular
0009-0901	Intravenous
0009-0901	Intramuscular
0009-0902	Intravenous
0009-0902	Intramuscular
0009-0909	Intravascular
0009-0909	Intramuscular
0009-0912	Intravascular
0009-0912	Intramuscular
0009-0920	Intravascular
0009-0920	Intramuscular
0009-1111	Intravenous
0009-3073	Intra-articular
0009-3073	Soft Tissue
0009-3073	Intramuscular
0009-3073	Intralesional
0009-3073	Intrasynovial
0009-3116	Topical
0009-3124	Intravenous
0009-3124	Intramuscular
0009-3169	Intravascular
0009-3169	Intravenous
0009-3329	Topical
0009-3331	Topical
0009-3359	Vaginal
0009-3375	Intravenous
0009-3375	Intramuscular
0009-3381	Intravenous
0009-3381	Intramuscular
0009-3382	Intravenous
0009-3382	Intramuscular
0009-3389	Intramuscular
0009-3389	Intravenous
0009-3447	Intramuscular
0009-3447	Intravenous
0009-3448	Vaginal
0009-3449	Oral
0009-3475	Intrasynovial
0009-3475	Intramuscular
0009-3475	Soft Tissue
0009-3475	Intralesional
0009-3475	Intra-articular
0009-3701	Intracavernous
0009-3778	Intracavernous
0009-3794	Intravenous
0009-4541	Oral
0009-4544	Oral
0009-5012	Oral
0009-5013	Oral
0009-5014	Oral
0009-5091	Intravenous
0009-5093	Intravenous
0009-5131	Intracavernous
0009-5134	Oral
0009-5135	Oral
0009-5136	Oral
0009-5137	Oral
0009-5139	Oral
0009-5140	Oral
0009-5181	Intracavernous
0009-5182	Intracavernous
0009-5190	Oral
0009-5191	Oral
0009-5400	Respiratory (inhalation)
0009-5401	Nasal
0009-7224	Intravenous
0009-7529	Intravenous
0009-7663	Oral
0009-7667	Vaginal
0009-7686	Intracavernous
0013-0101	Oral
0013-0102	Oral
0013-0132	Oral
0013-2150	Vaginal
0013-2200	Intravenous
0013-2201	Intravenous
0013-2202	Intravenous
0013-2576	Intravenous
0013-2586	Intravenous
0013-2596	Intravenous
0013-5301	Oral
0013-8303	Ophthalmic
0013-8717	Intravenous
0013-8727	Intravenous
0023-0042	Cutaneous
0023-0066	Ophthalmic
0023-0106	Ophthalmic
0023-0240	Ophthalmic
0023-0312	Ophthalmic
0023-0313	Ophthalmic
0023-0316	Ophthalmic
0023-0403	Ophthalmic
0023-0506	Ophthalmic
0023-0798	Ophthalmic
0023-1145	Intramuscular
0023-1145	Intradermal
0023-2181	Ophthalmic
0023-3205	Ophthalmic
0023-3240	Ophthalmic
0023-3348	Intravitreal
0023-3416	Ophthalmic
0023-3459	Topical
0023-3507	Ophthalmic
0023-3513	Oral
0023-3615	Ophthalmic
0023-3616	Ophthalmic
0023-3670	Topical
0023-3919	Intramuscular
0023-3921	Intramuscular
0023-3921	Intradermal
0023-4290	Ophthalmic
0023-4307	Ophthalmic
0023-4383	Topical
0023-4385	Ophthalmic
0023-4491	Ophthalmic
0023-4526	Ophthalmic
0023-4554	Ophthalmic
0023-4857	Topical
0023-4948	Topical
0023-4951	Topical
0023-4953	Topical
0023-4963	Topical
0023-4964	Topical
0023-4965	Topical
0023-7824	Ophthalmic
0023-8335	Cutaneous
0023-8694	Cutaneous
0023-8842	Ophthalmic
0023-9155	Cutaneous
0023-9156	Cutaneous
0023-9163	Ophthalmic
0023-9177	Ophthalmic
0023-9187	Ophthalmic
0023-9201	Ophthalmic
0023-9205	Ophthalmic
0023-9211	Ophthalmic
0023-9232	Intramuscular
0023-9236	Cutaneous
0023-9277	Ophthalmic
0023-9321	Ophthalmic
0023-9350	Oral
0024-0335	Oral
0024-0337	Oral
0024-0393	Oral
0024-0590	Intravenous
0024-0591	Intravenous
0024-1535	Topical
0024-1562	Oral
0024-1596	Oral
0024-2791	Intravenous
0024-2792	Intravenous
0024-2794	Intravenous
0024-4142	Oral
0024-4200	Oral
0024-5401	Oral
0024-5421	Oral
0024-5501	Oral
0024-5521	Oral
0024-5800	Oral
0024-5801	Oral
0024-5810	Oral
0024-5811	Oral
0024-5812	Oral
0024-5820	Oral
0024-5831	Intramuscular
0024-5831	Subcutaneous
0024-5833	Intramuscular
0024-5833	Subcutaneous
0024-5840	Intravenous
0024-5841	Intravenous
0024-5843	Subcutaneous
0024-5843	Intravenous
0024-5844	Intravenous
0024-5844	Subcutaneous
0024-5850	Oral
0024-5851	Oral
0024-5852	Oral
0024-5855	Oral
0024-5856	Oral
0024-5858	Intravenous
0024-5860	Intravenous
0024-5862	Subcutaneous
0024-5874	Respiratory (inhalation)
0024-5882	Respiratory (inhalation)
0024-5884	Respiratory (inhalation)
0025-0061	Oral
0025-0066	Oral
0025-0166	Nasal
0025-1001	Oral
0025-1011	Oral
0025-1021	Oral
0025-1031	Oral
0025-1041	Oral
0025-1381	Oral
0025-1411	Oral
0025-1421	Oral
0025-1451	Oral
0025-1461	Oral
0025-1515	Oral
0025-1520	Oral
0025-1525	Oral
0025-1530	Oral
0025-1821	Oral
0025-1831	Oral
0025-1851	Oral
0025-1861	Oral
0025-1891	Oral
0025-1901	Oral
0025-1911	Oral
0025-1942	Oral
0025-1961	Oral
0025-2011	Oral
0025-2021	Oral
0025-2732	Oral
0025-2742	Oral
0025-2752	Oral
0025-2762	Oral
0029-1525	Topical
0029-1526	Topical
0029-1527	Topical
0029-6571	Intravenous
0029-6575	Intravenous
0029-6579	Intravenous
0031-2234	Oral
0031-2235	Oral
0031-2238	Oral
0031-2246	Oral
0031-2247	Oral
0031-2249	Oral
0031-2293	Oral
0031-8649	Oral
0031-8692	Oral
0031-8693	Oral
0031-8694	Oral
0031-8698	Oral
0031-8712	Oral
0031-8713	Oral
0031-8715	Oral
0031-8716	Oral
0031-8717	Oral
0031-8719	Oral
0031-8721	Oral
0031-8722	Oral
0031-8724	Oral
0031-8731	Oral
0031-8732	Oral
0031-8734	Oral
0031-8735	Oral
0031-8736	Oral
0031-8737	Oral
0031-8738	Oral
0031-8740	Oral
0031-8741	Oral
0031-8742	Oral
0032-1101	Oral
0032-1102	Oral
0032-1103	Oral
0032-1203	Oral
0032-1206	Oral
0032-1212	Oral
0032-1224	Oral
0032-1708	Oral
0032-1711	Oral
0032-3016	Oral
0037-0110	Oral
0037-0113	Oral
0037-0114	Oral
0037-0241	Nasal
0037-0430	Oral
0037-0431	Oral
0037-0442	Oral
0037-0521	Oral
0037-0731	Oral
0037-1221	Oral
0037-2001	Oral
0037-2250	Oral
0037-4401	Oral
0037-5001	Oral
0037-5005	Oral
0037-5010	Oral
0037-5020	Oral
0037-6010	Oral
0037-6050	Oral
0037-6820	Nasogastric
0037-6822	Topical
0037-6823	Rectal
0037-6824	Topical
0037-6885	Oral
0037-7025	Intraocular
0037-8110	Urethral
0037-8120	Urethral
0037-8130	Urethral
0037-8140	Urethral
0039-0017	Intravenous
0039-0017	Intramuscular
0039-0018	Intravenous
0039-0018	Intramuscular
0039-0019	Intramuscular
0039-0019	Intravenous
0039-0020	Intramuscular
0039-0020	Intravenous
0039-0023	Intravenous
0039-0023	Intramuscular
0039-0024	Intramuscular
0039-0024	Intravenous
0039-0037	Intravenous
0039-0037	Intramuscular
0039-0038	Intramuscular
0039-0038	Intravenous
0039-0051	Oral
0039-0052	Oral
0039-0053	Oral
0039-0060	Oral
0039-0066	Oral
0039-0067	Oral
0039-0221	Oral
0039-0222	Oral
0039-0223	Oral
0046-0749	Intravenous
0046-0749	Intramuscular
0046-0872	Vaginal
0046-1100	Oral
0046-1101	Oral
0046-1102	Oral
0046-1103	Oral
0046-1104	Oral
0049-0013	Intramuscular
0049-0013	Intravenous
0049-0014	Intramuscular
0049-0014	Intravenous
0049-0022	Intramuscular
0049-0022	Intravenous
0049-0023	Intravenous
0049-0023	Intramuscular
0049-0024	Intramuscular
0049-0024	Intravenous
0049-0031	Intramuscular
0049-0031	Intravenous
0049-0032	Intramuscular
0049-0032	Intravenous
0049-0052	Oral
0049-0054	Oral
0049-0056	Oral
0049-0058	Oral
0049-0170	Oral
0049-0174	Oral
0049-0178	Oral
0049-0520	Intrathecal
0049-0520	Intramuscular
0049-0520	Intrapleural
0049-0520	Intravenous
0049-0530	Intrathecal
0049-0530	Intramuscular
0049-0530	Intravenous
0049-0530	Intrapleural
0049-1550	Oral
0049-1560	Oral
0049-1620	Oral
0049-2100	Oral
0049-2110	Oral
0049-2140	Oral
0049-2710	Oral
0049-2720	Oral
0049-2750	Oral
0049-2760	Oral
0049-2770	Oral
0049-2780	Oral
0049-3160	Oral
0049-3170	Oral
0049-3180	Oral
0049-3190	Intravenous
0049-3190	Oral
0049-3371	Oral
0049-3372	Oral
0049-3410	Oral
0049-3420	Oral
0049-3430	Oral
0049-3435	Oral
0049-3436	Oral
0049-3437	Oral
0049-3438	Oral
0049-3440	Oral
0049-3450	Oral
0049-3500	Oral
0049-3920	Oral
0049-3960	Oral
0049-3970	Oral
0049-3980	Oral
0049-3990	Oral
0049-4110	Oral
0049-4120	Oral
0049-4190	Intravenous
0049-4900	Oral
0049-4910	Oral
0049-4940	Oral
0049-4960	Oral
0049-5460	Intramuscular
0049-5710	Oral
0049-5720	Oral
0049-5730	Oral
0049-5740	Oral
0049-5750	Oral
0049-5770	Oral
0051-8425	Transdermal
0051-8450	Transdermal
0051-8462	Transdermal
0051-8488	Transdermal
0052-0105	Oral
0052-0106	Oral
0052-0107	Oral
0052-0108	Oral
0052-0109	Oral
0052-0110	Oral
0052-0118	Sublingual
0052-0119	Sublingual
0052-0272	Subcutaneous
0052-0273	Vaginal
0052-0274	Subcutaneous
0052-0301	Subcutaneous
0052-0308	Intramuscular
0052-0308	Subcutaneous
0052-0309	Subcutaneous
0052-0309	Intramuscular
0052-0313	Subcutaneous
0052-0316	Subcutaneous
0052-0326	Subcutaneous
0052-0450	Intravenous
0052-0602	Intravesical
0052-2139	Sublingual
0052-2142	Sublingual
0052-4330	Subcutaneous
0053-6871	Nasal
0053-7596	Subcutaneous
0054-0002	Oral
0054-0003	Oral
0054-0007	Oral
0054-0010	Oral
0054-0011	Oral
0054-0012	Oral
0054-0017	Oral
0054-0018	Oral
0054-0019	Oral
0054-0020	Oral
0054-0021	Oral
0054-0025	Oral
0054-0045	Nasal
0054-0046	Nasal
0054-0052	Oral
0054-0056	Oral
0054-0057	Oral
0054-0062	Oral
0054-0063	Oral
0054-0077	Oral
0054-0079	Oral
0054-0080	Oral
0054-0084	Oral
0054-0085	Oral
0054-0086	Oral
0054-0087	Oral
0054-0088	Oral
0054-0097	Oral
0054-0098	Oral
0054-0099	Oral
0054-0100	Oral
0054-0101	Oral
0054-0102	Oral
0054-0106	Oral
0054-0107	Oral
0054-0108	Oral
0054-0109	Oral
0054-0110	Oral
0054-0111	Oral
0054-0112	Oral
0054-0114	Oral
0054-0115	Oral
0054-0116	Oral
0054-0117	Oral
0054-0118	Oral
0054-0119	Oral
0054-0120	Oral
0054-0121	Oral
0054-0122	Oral
0054-0123	Oral
0054-0124	Oral
0054-0125	Oral
0054-0126	Oral
0054-0127	Oral
0054-0137	Oral
0054-0140	Oral
0054-0141	Oral
0054-0142	Oral
0054-0143	Oral
0054-0163	Oral
0054-0164	Oral
0054-0166	Oral
0054-0196	Oral
0054-0197	Oral
0054-0198	Oral
0054-0199	Oral
0054-0210	Oral
0054-0211	Oral
0054-0220	Oral
0054-0221	Oral
0054-0222	Oral
0054-0223	Oral
0054-0224	Oral
0054-0228	Oral
0054-0229	Oral
0054-0230	Oral
0054-0235	Oral
0054-0236	Oral
0054-0237	Oral
0054-0238	Oral
0054-0243	Oral
0054-0244	Oral
0054-0245	Oral
0054-0250	Oral
0054-0251	Oral
0054-0252	Oral
0054-0254	Oral
0054-0255	Oral
0054-0259	Oral
0054-0264	Oral
0054-0265	Oral
0054-0269	Oral
0054-0273	Oral
0054-0274	Oral
0054-0275	Oral
0054-0276	Oral
0054-0277	Oral
0054-0278	Oral
0054-0279	Oral
0054-0283	Oral
0054-0284	Oral
0054-0288	Oral
0054-0289	Oral
0054-0290	Oral
0054-0291	Oral
0054-0292	Oral
0054-0334	Oral
0054-0338	Oral
0054-0339	Oral
0054-0347	Oral
0054-0348	Oral
0054-0379	Oral
0054-0379	Rectal
0054-0382	Oral
0054-0383	Oral
0054-0386	Oral
0054-0388	Oral
0054-0391	Oral
0054-0392	Oral
0054-0404	Oral
0054-0434	Oral
0054-0435	Oral
0054-0436	Oral
0054-0438	Oral
0054-0450	Oral
0054-0459	Oral
0054-0522	Oral
0054-0542	Oral
0054-0543	Oral
0054-0544	Oral
0054-0545	Oral
0054-0546	Oral
0054-0547	Oral
0054-0551	Oral
0054-2526	Oral
0054-2527	Oral
0054-2531	Oral
0054-2795	Oral
0054-3025	Oral
0054-3025	Respiratory (inhalation)
0054-3026	Respiratory (inhalation)
0054-3026	Oral
0054-3027	Oral
0054-3027	Respiratory (inhalation)
0054-3028	Respiratory (inhalation)
0054-3028	Oral
0054-3068	Oral
0054-3090	Nasal
0054-3117	Oral
0054-3120	Oral
0054-3176	Oral
0054-3177	Oral
0054-3185	Oral
0054-3188	Oral
0054-3194	Oral
0054-3270	Nasal
0054-3294	Oral
0054-3298	Oral
0054-3486	Oral
0054-3500	Oral
0054-3500	Topical
0054-3505	Topical
0054-3527	Oral
0054-3532	Oral
0054-3542	Oral
0054-3545	Oral
0054-3553	Oral
0054-3555	Oral
0054-3556	Oral
0054-3566	Oral
0054-3567	Oral
0054-3686	Oral
0054-3721	Oral
0054-3722	Oral
0054-3727	Oral
0054-3730	Oral
0054-4084	Oral
0054-4120	Oral
0054-4129	Oral
0054-4130	Oral
0054-4146	Oral
0054-4146	Topical
0054-4179	Oral
0054-4180	Oral
0054-4181	Oral
0054-4182	Oral
0054-4183	Oral
0054-4184	Oral
0054-4186	Oral
0054-4218	Oral
0054-4219	Oral
0054-4297	Oral
0054-4299	Oral
0054-4301	Oral
0054-4496	Oral
0054-4497	Oral
0054-4498	Oral
0054-4499	Oral
0054-4527	Oral
0054-4538	Oral
0054-4550	Oral
0054-4570	Oral
0054-4571	Oral
0054-4581	Oral
0054-4595	Oral
0054-4596	Oral
0054-4603	Oral
0054-4604	Oral
0054-4650	Oral
0054-4721	Oral
0054-4728	Oral
0054-4741	Oral
0054-4742	Oral
0054-4784	Oral
0054-4858	Oral
0054-4859	Oral
0054-8084	Oral
0054-8120	Oral
0054-8146	Oral
0054-8146	Topical
0054-8174	Oral
0054-8175	Oral
0054-8176	Oral
0054-8179	Oral
0054-8180	Oral
0054-8181	Oral
0054-8183	Oral
0054-8207	Oral
0054-8297	Oral
0054-8298	Oral
0054-8299	Oral
0054-8301	Oral
0054-8486	Oral
0054-8496	Oral
0054-8500	Topical
0054-8500	Oral
0054-8526	Oral
0054-8527	Oral
0054-8528	Oral
0054-8529	Oral
0054-8531	Oral
0054-8550	Oral
0054-8553	Oral
0054-8554	Oral
0054-8595	Oral
0054-8603	Oral
0054-8604	Oral
0054-8648	Oral
0054-8650	Oral
0054-8722	Oral
0054-8724	Oral
0054-8739	Oral
0054-8740	Oral
0054-8858	Oral
0054-8859	Oral
0056-0168	Oral
0056-0169	Oral
0056-0170	Oral
0056-0172	Oral
0056-0173	Oral
0056-0174	Oral
0056-0176	Oral
0056-0188	Oral
0056-0189	Oral
0056-0470	Oral
0056-0474	Oral
0056-0510	Oral
0062-0165	Topical
0062-0175	Topical
0062-0187	Topical
0062-0190	Topical
0062-0204	Topical
0062-0275	Topical
0062-0475	Topical
0062-0575	Topical
0062-2080	Oral
0062-2085	Oral
0062-5350	Vaginal
0062-5351	Vaginal
0062-5356	Vaginal
0064-0300	Topical
0064-0810	Topical
0064-0850	Topical
0064-1011	Topical
0064-1030	Topical
0064-1040	Topical
0064-1050	Topical
0064-1080	Topical
0064-3600	Topical
0064-5010	Topical
0065-0002	Ophthalmic
0065-0006	Ophthalmic
0065-0023	Ophthalmic
0065-0085	Ophthalmic
0065-0092	Ophthalmic
0065-0096	Ophthalmic
0065-0246	Ophthalmic
0065-0260	Ophthalmic
0065-0271	Ophthalmic
0065-0272	Ophthalmic
0065-0275	Ophthalmic
0065-0325	Ophthalmic
0065-0332	Nasal
0065-0333	Ophthalmic
0065-0342	Ophthalmic
0065-0345	Ophthalmic
0065-0355	Ophthalmic
0065-0359	Ophthalmic
0065-0395	Ophthalmic
0065-0396	Ophthalmic
0065-0397	Ophthalmic
0065-0411	Ophthalmic
0065-0416	Ophthalmic
0065-0418	Ophthalmic
0065-0419	Ophthalmic
0065-0426	Ophthalmic
0065-0429	Ophthalmic
0065-0431	Ophthalmic
0065-0454	Ophthalmic
0065-0474	Ophthalmic
0065-0509	Ophthalmic
0065-0530	Ophthalmic
0065-0543	Ophthalmic
0065-0627	Ophthalmic
0065-0631	Ophthalmic
0065-0638	Ophthalmic
0065-0643	Ophthalmic
0065-0644	Ophthalmic
0065-0645	Ophthalmic
0065-0647	Ophthalmic
0065-0648	Ophthalmic
0065-0652	Ophthalmic
0065-0654	Ophthalmic
0065-0656	Ophthalmic
0065-0660	Ophthalmic
0065-0665	Ophthalmic
0065-0702	Ophthalmic
0065-0741	Ophthalmic
0065-0795	Ophthalmic
0065-1431	Ophthalmic
0065-1432	Ophthalmic
0065-1433	Ophthalmic
0065-1750	Ophthalmic
0065-1795	Ophthalmic
0065-2800	Ophthalmic
0065-4011	Ophthalmic
0065-4013	Ophthalmic
0065-4147	Ophthalmic
0065-8531	Auricular (otic)
0065-8533	Auricular (otic)
0065-9240	Ophthalmic
0066-0507	Topical
0066-0508	Topical
0066-7150	Topical
0066-9850	Topical
0067-0003	Oral
0067-0005	Oral
0067-0016	Oral
0067-0113	Oral
0067-0116	Oral
0067-0117	Oral
0067-0129	Oral
0067-0134	Oral
0067-0143	Oral
0067-0149	Oral
0067-0949	Topical
0067-0959	Topical
0067-0969	Topical
0067-1170	Cutaneous
0067-1190	Oral
0067-2000	Oral
0067-2021	Oral
0067-2030	Oral
0067-2035	Oral
0067-2037	Oral
0067-2039	Oral
0067-2045	Oral
0067-2053	Oral
0067-2055	Oral
0067-2067	Topical
0067-2070	Oral
0067-2077	Oral
0067-2086	Nasal
0067-2090	Vaginal
0067-2094	Nasal
0067-3998	Topical
0067-3999	Topical
0067-4000	Topical
0067-4345	Transdermal
0067-4850	Transdermal
0067-4860	Transdermal
0067-4870	Transdermal
0067-4990	Topical
0067-5000	Topical
0067-5010	Topical
0067-5020	Topical
0067-5050	Topical
0067-5070	Topical
0067-5080	Topical
0067-5124	Topical
0067-5125	Topical
0067-5126	Topical
0067-6012	Topical
0067-6024	Topical
0067-6025	Oral
0067-6046	Topical
0067-6066	Oral
0067-6070	Oral
0067-6114	Topical
0067-6117	Oral
0067-6122	Oral
0067-6128	Topical
0067-6129	Topical
0067-6130	Topical
0067-6171	Topical
0067-6238	Oral
0067-6239	Topical
0067-6266	Topical
0067-6274	Oral
0067-6275	Oral
0067-6280	Oral
0067-6281	Oral
0067-6282	Oral
0067-6286	Oral
0067-6290	Oral
0067-6291	Oral
0067-6292	Topical
0067-6293	Topical
0067-6318	Oral
0067-6319	Oral
0067-6341	Oral
0067-6344	Oral
0067-6345	Oral
0067-6346	Oral
0067-6347	Oral
0067-6348	Oral
0067-6350	Oral
0067-6394	Oral
0067-6395	Oral
0067-6396	Oral
0067-6416	Topical
0067-6424	Oral
0067-6426	Oral
0067-6427	Oral
0067-6431	Oral
0067-6432	Oral
0067-6440	Oral
0067-6441	Oral
0067-6716	Oral
0067-7916	Oral
0067-7918	Oral
0067-8100	Topical
0067-8103	Oral
0067-8104	Oral
0067-8105	Oral
0067-8106	Oral
0067-8114	Topical
0067-8115	Oral
0067-8116	Oral
0067-8117	Oral
0067-8118	Oral
0067-8119	Oral
0068-0007	Oral
0068-0011	Oral
0068-0015	Oral
0068-0019	Oral
0068-0020	Oral
0068-0021	Oral
0068-0037	Oral
0068-0508	Oral
0068-0510	Oral
0068-0597	Oral
0069-0006	Intravenous
0069-0038	Intravenous
0069-0043	Subcutaneous
0069-0043	Intravenous
0069-0045	Intravenous
0069-0058	Intravenous
0069-0058	Subcutaneous
